ts, default broker, COLDPower18, EWIIS3, VidyutVanika, AgentUDE, total
359, 57512, 0, 0, 0, 0, 57512
360, 57512, 0, 0, 0, 0, 57512
361, 14, 0, 1505, 9363, 46630, 57512
367, 12, 0, 367, 9504, 47629, 57512
373, 14, 0, 237, 9506, 47755, 57512
379, 13, 0, 239, 9509, 47751, 57512
385, 11, 0, 217, 9525, 47759, 57512
391, 11, 0, 225, 9510, 47766, 57512
397, 13, 0, 218, 9511, 47770, 57512
403, 11, 0, 11635, 26104, 19762, 57512
409, 7, 0, 5680, 32027, 19798, 57512
415, 7, 0, 2710, 34470, 20325, 57512
421, 6, 0, 1549, 35354, 20603, 57512
427, 6, 0, 1127, 35644, 20735, 57512
433, 7, 0, 800, 35854, 20851, 57512
439, 8, 0, 616, 36052, 20836, 57512
445, 15, 0, 6690, 49459, 1348, 57512
451, 15, 0, 4040, 52895, 562, 57512
457, 14, 0, 1859, 55016, 623, 57512
463, 14, 0, 879, 55990, 629, 57512
469, 13, 0, 436, 56480, 583, 57512
475, 12, 0, 317, 56604, 579, 57512
481, 11, 0, 272, 56649, 580, 57512
487, 10, 0, 249, 56867, 386, 57512
493, 9, 0, 240, 56715, 548, 57512
499, 8, 0, 230, 56670, 604, 57512
505, 6, 0, 227, 56520, 759, 57512
511, 7, 0, 221, 55470, 1814, 57512
517, 6, 0, 215, 50018, 7273, 57512
523, 6, 0, 216, 45553, 11737, 57512
529, 4, 0, 221, 42516, 14771, 57512
535, 3, 0, 214, 37206, 20089, 57512
541, 2, 0, 216, 33057, 24237, 57512
547, 3, 0, 213, 31701, 25595, 57512
553, 2, 0, 212, 30278, 27020, 57512
559, 2, 0, 215, 29462, 27833, 57512
565, 2, 0, 216, 27543, 29751, 57512
571, 11, 0, 214, 46968, 10319, 57512
577, 11, 0, 213, 45971, 11317, 57512
583, 11, 0, 212, 45293, 11996, 57512
589, 13, 0, 208, 44500, 12791, 57512
595, 13, 0, 210, 43846, 13443, 57512
601, 13, 0, 206, 43090, 14203, 57512
607, 13, 0, 206, 42505, 14788, 57512
613, 11, 0, 193, 40412, 16896, 57512
619, 11, 0, 188, 37418, 19895, 57512
625, 10, 0, 189, 35146, 22167, 57512
631, 10, 0, 186, 34638, 22678, 57512
637, 11, 0, 177, 34770, 22554, 57512
643, 11, 0, 157, 34457, 22887, 57512
649, 10, 0, 157, 34802, 22543, 57512
655, 15, 0, 156, 55401, 1940, 57512
661, 14, 0, 156, 56841, 501, 57512
667, 15, 0, 155, 57071, 271, 57512
673, 16, 0, 156, 57028, 312, 57512
679, 15, 0, 157, 56954, 386, 57512
685, 16, 0, 157, 56715, 624, 57512
691, 15, 0, 158, 55510, 1829, 57512
697, 14, 0, 160, 52138, 5200, 57512
703, 10, 0, 157, 46500, 10845, 57512
709, 11, 0, 156, 43828, 13517, 57512
715, 9, 0, 155, 41852, 15496, 57512
721, 7, 0, 157, 40845, 16503, 57512
727, 7, 0, 155, 38442, 18908, 57512
733, 6, 0, 154, 37746, 19606, 57512
739, 5, 0, 155, 40485, 16867, 57512
745, 4, 0, 159, 34673, 22676, 57512
751, 4, 0, 160, 31056, 26292, 57512
757, 2, 0, 161, 27696, 29653, 57512
763, 2, 0, 160, 25960, 31390, 57512
769, 1, 0, 161, 22986, 34364, 57512
775, 1, 0, 158, 22805, 34548, 57512
781, 2, 0, 157, 29303, 28050, 57512
787, 2, 0, 157, 28823, 28530, 57512
793, 0, 0, 148, 27661, 29703, 57512
799, 0, 0, 149, 27784, 29579, 57512
805, 0, 0, 149, 30425, 26938, 57512
