ts, default broker, SPOT, Bunnie, total
359, 57510, 0, 0, 57510
360, 57510, 0, 0, 57510
361, 6896, 44, 50570, 57510
367, 6892, 44, 50574, 57510
373, 6935, 45, 50530, 57510
379, 6911, 51, 50548, 57510
385, 6923, 61, 50526, 57510
391, 6896, 82, 50532, 57510
397, 6904, 95, 50511, 57510
403, 6925, 97, 50488, 57510
409, 6948, 95, 50467, 57510
415, 6916, 94, 50500, 57510
421, 6835, 95, 50580, 57510
427, 6782, 94, 50634, 57510
433, 6777, 95, 50638, 57510
439, 6841, 96, 50573, 57510
445, 6800, 97, 50613, 57510
451, 6793, 97, 50620, 57510
457, 6803, 96, 50611, 57510
463, 6718, 98, 50694, 57510
469, 6664, 97, 50749, 57510
475, 6571, 98, 50841, 57510
481, 6643, 96, 50771, 57510
487, 6777, 96, 50637, 57510
493, 6861, 96, 50553, 57510
499, 6895, 97, 50518, 57510
505, 6842, 96, 50572, 57510
511, 6851, 96, 50563, 57510
517, 6883, 95, 50532, 57510
523, 6851, 95, 50564, 57510
529, 6868, 94, 50548, 57510
535, 6847, 94, 50569, 57510
541, 6853, 94, 50563, 57510
547, 6883, 94, 50533, 57510
553, 6871, 93, 50546, 57510
559, 6822, 94, 50594, 57510
565, 6873, 94, 50543, 57510
571, 6881, 93, 50536, 57510
577, 6882, 95, 50533, 57510
583, 6883, 95, 50532, 57510
589, 6863, 95, 50552, 57510
595, 6876, 95, 50539, 57510
601, 6861, 98, 50551, 57510
607, 6816, 98, 50596, 57510
613, 6816, 97, 50597, 57510
619, 6861, 95, 50554, 57510
625, 6901, 97, 50512, 57510
631, 6918, 96, 50496, 57510
637, 6776, 96, 50638, 57510
643, 6800, 96, 50614, 57510
649, 6719, 93, 50698, 57510
655, 6737, 94, 50679, 57510
661, 6823, 94, 50593, 57510
667, 6864, 95, 50551, 57510
673, 6871, 95, 50544, 57510
679, 6800, 97, 50613, 57510
685, 6908, 96, 50506, 57510
691, 6940, 100, 50470, 57510
697, 6948, 96, 50466, 57510
703, 6887, 97, 50526, 57510
709, 6846, 99, 50565, 57510
715, 6867, 99, 50544, 57510
721, 6822, 95, 50593, 57510
727, 6855, 96, 50559, 57510
