ts, default broker, SPOT, COLDPower18, VidyutVanika, AgentUDE, total
359, 57517, 0, 0, 0, 0, 57517
360, 57517, 0, 0, 0, 0, 57517
361, 19, 0, 0, 19597, 37901, 57517
367, 16, 0, 0, 19603, 37898, 57517
373, 15, 28, 0, 19585, 37889, 57517
379, 15, 38, 0, 19570, 37894, 57517
385, 16, 45, 0, 19568, 37888, 57517
391, 14, 49, 0, 19568, 37886, 57517
397, 14, 50, 0, 19580, 37873, 57517
403, 4, 21233, 0, 32515, 3765, 57517
409, 5, 23366, 0, 33573, 573, 57517
415, 4, 23538, 0, 33642, 333, 57517
421, 4, 23538, 0, 33671, 304, 57517
427, 4, 23537, 0, 33702, 274, 57517
433, 6, 24377, 0, 32888, 246, 57517
439, 5, 24792, 0, 32500, 220, 57517
445, 17, 1524, 0, 55900, 76, 57517
451, 17, 61, 0, 57400, 39, 57517
457, 16, 0, 0, 57462, 39, 57517
463, 18, 0, 0, 57462, 37, 57517
469, 17, 0, 0, 57463, 37, 57517
475, 14, 0, 0, 57463, 40, 57517
481, 14, 0, 0, 57462, 41, 57517
487, 6, 0, 0, 57464, 47, 57517
493, 6, 0, 0, 57463, 48, 57517
499, 8, 0, 0, 57459, 50, 57517
505, 7, 0, 0, 57459, 51, 57517
511, 7, 0, 0, 57457, 53, 57517
517, 3, 0, 0, 57458, 56, 57517
523, 3, 0, 0, 57460, 54, 57517
529, 7, 0, 0, 57459, 51, 57517
535, 7, 0, 0, 57459, 51, 57517
541, 7, 0, 0, 57455, 55, 57517
547, 6, 0, 0, 57455, 56, 57517
553, 6, 0, 0, 57455, 56, 57517
559, 5, 0, 0, 57455, 57, 57517
571, 11, 0, 0, 57460, 46, 57517
577, 11, 0, 0, 57462, 44, 57517
583, 14, 0, 0, 57451, 52, 57517
589, 13, 0, 0, 57310, 194, 57517
595, 16, 0, 0, 57309, 192, 57517
601, 15, 0, 0, 57310, 192, 57517
607, 13, 0, 0, 57310, 194, 57517
613, 12, 0, 0, 57460, 45, 57517
619, 10, 0, 0, 57457, 50, 57517
625, 11, 0, 0, 57455, 51, 57517
631, 13, 0, 0, 57455, 49, 57517
637, 13, 0, 0, 57456, 48, 57517
643, 11, 0, 0, 57457, 49, 57517
649, 14, 0, 0, 57457, 46, 57517
655, 13, 0, 0, 57460, 44, 57517
661, 11, 0, 0, 57460, 46, 57517
667, 10, 0, 0, 57460, 47, 57517
673, 11, 0, 0, 56948, 558, 57517
679, 11, 0, 0, 56701, 805, 57517
685, 9, 0, 0, 56011, 1497, 57517
691, 9, 0, 0, 56007, 1501, 57517
697, 8, 0, 0, 57330, 179, 57517
703, 7, 0, 0, 57409, 101, 57517
709, 7, 0, 0, 57405, 105, 57517
715, 7, 0, 0, 57413, 97, 57517
721, 8, 0, 0, 57409, 100, 57517
727, 6, 0, 0, 57411, 100, 57517
733, 6, 0, 0, 57265, 246, 57517
739, 7, 0, 0, 57444, 66, 57517
745, 7, 0, 0, 57445, 65, 57517
751, 4, 0, 0, 57444, 69, 57517
757, 5, 0, 0, 57346, 166, 57517
763, 4, 0, 0, 57346, 167, 57517
769, 4, 0, 0, 57346, 167, 57517
775, 3, 0, 0, 57347, 167, 57517
