ts, default broker, CrocodileAgent, COLDPower18, EWIIS3, AgentUDE, total
359, 57510, 0, 0, 0, 0, 57510
360, 57510, 0, 0, 0, 0, 57510
361, 6859, 551, 0, 1297, 48803, 57510
367, 6729, 680, 0, 736, 49365, 57510
373, 6795, 611, 0, 548, 49556, 57510
379, 6752, 652, 0, 418, 49688, 57510
385, 6753, 655, 0, 348, 49754, 57510
391, 6806, 600, 0, 281, 49823, 57510
397, 6796, 610, 0, 281, 49823, 57510
403, 6844, 567, 0, 49092, 1007, 57510
409, 6881, 671, 0, 48662, 1296, 57510
415, 6838, 714, 0, 48659, 1299, 57510
421, 6775, 779, 0, 48655, 1301, 57510
427, 6773, 779, 0, 48514, 1444, 57510
433, 6736, 927, 0, 47276, 2571, 57510
439, 6795, 809, 0, 47335, 2571, 57510
445, 6806, 1021, 0, 48781, 902, 57510
451, 6869, 1181, 0, 48270, 1190, 57510
457, 6760, 2914, 0, 46643, 1193, 57510
463, 6860, 5303, 0, 44152, 1195, 57510
469, 6860, 8867, 0, 40614, 1169, 57510
475, 6926, 14635, 0, 34898, 1051, 57510
481, 6880, 19248, 0, 30508, 874, 57510
487, 6968, 22797, 0, 27650, 95, 57510
493, 6952, 26355, 0, 24137, 66, 57510
499, 6927, 31324, 0, 19223, 36, 57510
505, 6928, 35188, 0, 15357, 37, 57510
511, 6930, 38143, 0, 12400, 37, 57510
517, 6952, 38377, 0, 12144, 37, 57510
523, 6995, 38417, 0, 12062, 36, 57510
529, 6984, 38423, 0, 12066, 37, 57510
535, 6970, 38430, 0, 12070, 40, 57510
541, 6983, 38323, 0, 12119, 85, 57510
547, 6927, 36179, 0, 12516, 1888, 57510
553, 6830, 35385, 0, 12558, 2737, 57510
559, 6908, 33597, 0, 13208, 3797, 57510
565, 6956, 32625, 0, 12939, 4990, 57510
571, 7005, 35111, 0, 13470, 1924, 57510
577, 7004, 35137, 0, 13300, 2069, 57510
583, 6957, 34913, 0, 13464, 2176, 57510
589, 6912, 34524, 0, 13275, 2799, 57510
595, 6903, 34243, 0, 13184, 3180, 57510
601, 6987, 34130, 0, 13003, 3390, 57510
607, 6973, 34234, 0, 12914, 3389, 57510
613, 6696, 37510, 0, 12666, 638, 57510
619, 6700, 37890, 0, 12278, 642, 57510
625, 6743, 38019, 0, 12106, 642, 57510
631, 6817, 38194, 0, 11857, 642, 57510
637, 6909, 38821, 0, 11139, 641, 57510
643, 6895, 39537, 0, 10434, 644, 57510
649, 6912, 40077, 0, 9875, 646, 57510
655, 6961, 41105, 0, 9439, 5, 57510
661, 6771, 42131, 0, 8603, 5, 57510
667, 6851, 43003, 0, 7650, 6, 57510
673, 6957, 43738, 0, 6810, 5, 57510
679, 6951, 44547, 0, 6008, 4, 57510
685, 6864, 44691, 0, 5951, 4, 57510
691, 6856, 44691, 0, 5959, 4, 57510
697, 6828, 44707, 0, 5968, 7, 57510
703, 6819, 44439, 0, 6108, 144, 57510
709, 6699, 44134, 0, 6261, 416, 57510
715, 6796, 42621, 0, 6888, 1205, 57510
721, 6785, 42445, 0, 6766, 1514, 57510
727, 6702, 39879, 0, 8079, 2850, 57510
733, 6665, 39463, 0, 7702, 3680, 57510
739, 6700, 39749, 0, 9064, 1997, 57510
745, 6618, 39541, 0, 9129, 2222, 57510
751, 6685, 39452, 0, 8686, 2687, 57510
757, 6675, 39386, 0, 8519, 2930, 57510
763, 6763, 39027, 0, 8579, 3141, 57510
769, 6858, 39119, 0, 8344, 3189, 57510
775, 6813, 39777, 0, 7730, 3190, 57510
781, 6933, 42910, 0, 7136, 531, 57510
787, 6885, 43509, 0, 6774, 342, 57510
793, 6833, 43806, 0, 6590, 281, 57510
799, 6841, 43956, 0, 6432, 281, 57510
805, 6763, 44177, 0, 6289, 281, 57510
811, 6654, 44482, 0, 6093, 281, 57510
817, 6681, 44479, 0, 6069, 281, 57510
823, 6832, 45048, 0, 5615, 15, 57510
829, 6937, 45296, 0, 5254, 23, 57510
835, 6986, 45588, 0, 4907, 29, 57510
841, 7049, 45746, 0, 4677, 38, 57510
847, 6986, 46083, 0, 4402, 39, 57510
853, 7019, 45995, 0, 4311, 185, 57510
859, 7026, 45712, 0, 4443, 329, 57510
865, 7007, 45923, 0, 4440, 140, 57510
871, 6968, 45700, 0, 4558, 284, 57510
877, 6861, 43827, 0, 4504, 2318, 57510
883, 6871, 41670, 0, 4600, 4369, 57510
889, 6874, 40692, 0, 4689, 5255, 57510
895, 6963, 40338, 0, 4590, 5619, 57510
901, 6941, 39986, 0, 4594, 5989, 57510
907, 6994, 40716, 0, 5501, 4299, 57510
913, 7000, 38558, 0, 5560, 6392, 57510
919, 6952, 37535, 0, 6246, 6777, 57510
925, 6998, 33862, 0, 5800, 10850, 57510
931, 7004, 32540, 0, 5875, 12091, 57510
937, 6895, 32803, 0, 5457, 12355, 57510
943, 6887, 32912, 0, 5267, 12444, 57510
949, 6814, 44926, 0, 5086, 684, 57510
955, 6843, 45037, 0, 4944, 686, 57510
961, 6803, 45101, 0, 4828, 778, 57510
967, 6812, 45208, 0, 4743, 747, 57510
973, 6748, 45597, 0, 4418, 747, 57510
979, 6702, 45651, 0, 4408, 749, 57510
985, 6769, 45898, 0, 4239, 604, 57510
991, 6818, 46705, 0, 3944, 43, 57510
997, 6885, 47241, 0, 3337, 47, 57510
1003, 6810, 47397, 0, 3252, 51, 57510
1009, 6759, 47819, 0, 2881, 51, 57510
1015, 6770, 47945, 0, 2740, 55, 57510
1021, 6956, 47817, 0, 2680, 57, 57510
1027, 6910, 47851, 0, 2690, 59, 57510
1033, 6859, 47938, 0, 2697, 16, 57510
1039, 6879, 47767, 0, 2848, 16, 57510
1045, 6923, 47741, 0, 2831, 15, 57510
1051, 6938, 46090, 0, 3136, 1346, 57510
1057, 6974, 45542, 0, 2961, 2033, 57510
1063, 6995, 45117, 0, 3005, 2393, 57510
1069, 7015, 44412, 0, 2868, 3215, 57510
1075, 6948, 42531, 0, 3435, 4596, 57510
1081, 6945, 42396, 0, 3353, 4816, 57510
