ts, default broker, CrocodileAgent, SPOT, COLDPower18, AgentUDE, total
359, 57508, 0, 0, 0, 0, 57508
360, 57508, 0, 0, 0, 0, 57508
361, 6618, 8653, 0, 0, 42237, 57508
367, 6613, 8564, 110, 0, 42221, 57508
373, 6586, 8581, 128, 0, 42213, 57508
379, 6568, 8603, 127, 0, 42210, 57508
385, 6684, 8482, 116, 0, 42226, 57508
391, 6750, 8414, 108, 0, 42236, 57508
397, 6903, 8264, 102, 0, 42239, 57508
403, 6939, 12569, 34412, 0, 3588, 57508
409, 6944, 13075, 36957, 0, 532, 57508
415, 6773, 13266, 37066, 0, 403, 57508
421, 6778, 13264, 37065, 0, 401, 57508
427, 6800, 13240, 37067, 0, 401, 57508
433, 6767, 10313, 39995, 0, 433, 57508
439, 6816, 8957, 41273, 0, 462, 57508
445, 6874, 21264, 29366, 0, 4, 57508
451, 6845, 37671, 12985, 0, 7, 57508
457, 6675, 44401, 6429, 0, 3, 57508
463, 6806, 45837, 4860, 0, 5, 57508
469, 6815, 46117, 4569, 0, 7, 57508
475, 6823, 48746, 1932, 0, 7, 57508
481, 6847, 50206, 445, 0, 10, 57508
487, 6849, 50299, 346, 0, 14, 57508
493, 6830, 50343, 312, 0, 23, 57508
499, 6843, 50342, 303, 0, 20, 57508
505, 6862, 50326, 299, 0, 21, 57508
511, 6925, 50260, 300, 0, 23, 57508
517, 6798, 50391, 299, 0, 20, 57508
523, 6640, 49743, 876, 0, 249, 57508
529, 6757, 45458, 5278, 0, 15, 57508
535, 6731, 42828, 7934, 0, 15, 57508
541, 6643, 34642, 16208, 0, 15, 57508
547, 6639, 18385, 32468, 0, 16, 57508
553, 6563, 8054, 42676, 0, 215, 57508
559, 6620, 4453, 46194, 0, 241, 57508
565, 6708, 2034, 48491, 0, 275, 57508
571, 6810, 901, 49674, 0, 123, 57508
577, 6708, 997, 49645, 0, 158, 57508
583, 6718, 1269, 49204, 0, 317, 57508
589, 6797, 2350, 47541, 0, 820, 57508
595, 6821, 3033, 46719, 0, 935, 57508
601, 6864, 4495, 44449, 0, 1700, 57508
607, 6708, 11331, 37407, 0, 2062, 57508
