ts, default broker, CrocodileAgent, SPOT, EWIIS3, AgentUDE, total
359, 57503, 0, 0, 0, 0, 57503
360, 57503, 0, 0, 0, 0, 57503
361, 6809, 42263, 96, 1342, 6993, 57503
367, 6944, 42433, 94, 890, 7142, 57503
373, 6992, 42449, 95, 668, 7299, 57503
379, 6971, 42466, 95, 577, 7394, 57503
385, 6815, 42622, 93, 548, 7425, 57503
391, 6819, 42620, 93, 494, 7477, 57503
397, 6849, 42593, 94, 452, 7515, 57503
403, 6789, 42672, 95, 6723, 1224, 57503
409, 6750, 42709, 95, 7015, 934, 57503
415, 6805, 42653, 95, 7008, 942, 57503
421, 6622, 42834, 95, 6980, 972, 57503
427, 6707, 42663, 94, 6977, 1062, 57503
433, 6728, 34118, 94, 14907, 1656, 57503
439, 6758, 24884, 95, 23752, 2014, 57503
445, 6778, 18421, 216, 31144, 944, 57503
451, 6808, 15577, 259, 34004, 855, 57503
457, 6802, 11806, 297, 37646, 952, 57503
463, 6860, 9436, 687, 37763, 2757, 57503
469, 6867, 8046, 857, 37281, 4452, 57503
475, 6908, 8077, 970, 36590, 4958, 57503
481, 6854, 8822, 1109, 34699, 6019, 57503
487, 6836, 15074, 1077, 34418, 98, 57503
493, 6689, 20385, 1035, 29304, 90, 57503
499, 6594, 25609, 946, 24263, 91, 57503
505, 6628, 31035, 825, 18955, 60, 57503
511, 6659, 34007, 685, 16089, 63, 57503
517, 6721, 35468, 624, 14626, 64, 57503
523, 6699, 37162, 574, 13004, 64, 57503
529, 6706, 40400, 436, 9922, 39, 57503
535, 6718, 47957, 49, 2738, 41, 57503
541, 6706, 48692, 42, 2000, 63, 57503
547, 6742, 48176, 115, 1994, 476, 57503
553, 6745, 45927, 419, 2056, 2356, 57503
559, 6681, 42563, 895, 2029, 5335, 57503
565, 6727, 32718, 1599, 2015, 14444, 57503
571, 6681, 30606, 4113, 2692, 13411, 57503
577, 6671, 28128, 4798, 2661, 15245, 57503
583, 6647, 25129, 5547, 2792, 17388, 57503
589, 6716, 22926, 5831, 2650, 19380, 57503
595, 6763, 20278, 6275, 2712, 21475, 57503
601, 6819, 18839, 6630, 2571, 22644, 57503
607, 6795, 14139, 7420, 2589, 26560, 57503
613, 6631, 12434, 9700, 2638, 26100, 57503
619, 6109, 11143, 9520, 2604, 28127, 57503
625, 6293, 9111, 9111, 2477, 30511, 57503
631, 6513, 8677, 8734, 2503, 31076, 57503
637, 6571, 8764, 7560, 2291, 32317, 57503
643, 6746, 9375, 6720, 2155, 32507, 57503
649, 6780, 11003, 5507, 2009, 32204, 57503
655, 6850, 43668, 4307, 2083, 595, 57503
661, 6906, 45939, 2373, 2003, 282, 57503
667, 6892, 46473, 1882, 1975, 281, 57503
673, 6935, 47212, 1192, 1879, 285, 57503
679, 6854, 47647, 921, 1857, 224, 57503
685, 6720, 48590, 551, 1500, 142, 57503
691, 6665, 48937, 401, 1388, 112, 57503
697, 6720, 49042, 382, 1313, 46, 57503
703, 6753, 49290, 302, 1112, 46, 57503
709, 6412, 49657, 273, 1117, 44, 57503
715, 6433, 49614, 263, 1126, 67, 57503
721, 6518, 49185, 454, 1137, 209, 57503
