ts, default broker, SPOT, COLDPower18, EWIIS3, Bunnie, total
359, 57510, 0, 0, 0, 0, 57510
360, 57510, 0, 0, 0, 0, 57510
361, 6861, 14, 0, 119, 50516, 57510
367, 6910, 47, 0, 89, 50464, 57510
373, 6673, 63, 0, 86, 50688, 57510
379, 6469, 84, 0, 83, 50874, 57510
385, 6730, 86, 0, 82, 50612, 57510
391, 6744, 92, 0, 76, 50598, 57510
397, 6859, 92, 0, 80, 50479, 57510
403, 6854, 93, 0, 79, 50484, 57510
409, 6868, 93, 0, 73, 50476, 57510
415, 6895, 94, 0, 72, 50449, 57510
421, 6879, 95, 0, 69, 50467, 57510
427, 6899, 94, 0, 186, 50331, 57510
433, 6900, 95, 0, 188, 50327, 57510
439, 6853, 95, 0, 181, 50381, 57510
445, 6928, 95, 0, 152, 50335, 57510
451, 6949, 95, 0, 153, 50313, 57510
457, 6902, 94, 0, 128, 50386, 57510
463, 6869, 94, 0, 105, 50442, 57510
469, 6516, 94, 0, 102, 50798, 57510
475, 6401, 94, 0, 91, 50924, 57510
481, 6478, 94, 0, 79, 50859, 57510
487, 6607, 94, 0, 78, 50731, 57510
493, 6423, 244, 0, 76, 50767, 57510
499, 6542, 244, 0, 77, 50647, 57510
505, 6675, 244, 0, 74, 50517, 57510
511, 6721, 214, 0, 49, 50526, 57510
517, 6820, 154, 0, 47, 50489, 57510
523, 6876, 154, 0, 47, 50433, 57510
529, 6954, 94, 0, 48, 50414, 57510
535, 6902, 95, 0, 45, 50468, 57510
541, 6854, 96, 0, 45, 50515, 57510
547, 6903, 95, 0, 46, 50466, 57510
553, 6879, 94, 0, 37, 50500, 57510
559, 6839, 94, 0, 37, 50540, 57510
565, 6867, 94, 0, 37, 50512, 57510
571, 6881, 95, 0, 37, 50497, 57510
577, 6879, 93, 0, 38, 50500, 57510
583, 6880, 93, 0, 38, 50499, 57510
589, 6825, 93, 0, 38, 50554, 57510
595, 6715, 93, 0, 34, 50668, 57510
601, 6746, 94, 0, 30, 50640, 57510
607, 6780, 94, 0, 28, 50608, 57510
613, 6802, 93, 0, 26, 50589, 57510
619, 6817, 93, 0, 27, 50573, 57510
625, 6846, 93, 0, 23, 50548, 57510
631, 6868, 93, 0, 22, 50527, 57510
637, 6932, 93, 0, 21, 50464, 57510
643, 6938, 93, 0, 23, 50456, 57510
649, 6904, 93, 0, 23, 50490, 57510
655, 6911, 93, 0, 23, 50483, 57510
661, 6933, 93, 0, 23, 50461, 57510
667, 6939, 95, 0, 23, 50453, 57510
673, 6911, 94, 0, 24, 50481, 57510
679, 6930, 95, 0, 23, 50462, 57510
685, 6883, 96, 0, 22, 50509, 57510
691, 6869, 96, 0, 20, 50525, 57510
697, 6891, 96, 0, 20, 50503, 57510
703, 6872, 96, 0, 21, 50521, 57510
709, 6868, 62, 0, 20, 50560, 57510
715, 6881, 58, 0, 21, 50550, 57510
721, 6937, 43, 0, 22, 50508, 57510
727, 6903, 68, 0, 17, 50522, 57510
733, 6863, 71, 0, 16, 50560, 57510
739, 6920, 71, 0, 15, 50504, 57510
745, 6899, 71, 0, 14, 50526, 57510
751, 6905, 71, 0, 13, 50521, 57510
757, 6904, 71, 0, 13, 50522, 57510
763, 6808, 70, 0, 12, 50620, 57510
769, 6895, 87, 0, 13, 50515, 57510
775, 6830, 93, 0, 16, 50571, 57510
781, 6774, 94, 0, 17, 50625, 57510
787, 6788, 94, 0, 17, 50611, 57510
793, 6721, 94, 0, 15, 50680, 57510
799, 6755, 95, 0, 15, 50645, 57510
805, 6818, 94, 0, 18, 50580, 57510
811, 6825, 94, 0, 18, 50573, 57510
817, 6766, 93, 0, 19, 50632, 57510
823, 6798, 94, 0, 16, 50602, 57510
829, 6774, 93, 0, 16, 50627, 57510
835, 6763, 94, 0, 15, 50638, 57510
841, 6783, 94, 0, 15, 50618, 57510
847, 6673, 94, 0, 16, 50727, 57510
853, 6691, 94, 0, 17, 50708, 57510
859, 6676, 95, 0, 16, 50723, 57510
865, 6702, 94, 0, 17, 50697, 57510
871, 6815, 94, 0, 16, 50585, 57510
877, 6844, 94, 0, 15, 50557, 57510
883, 6904, 95, 0, 15, 50496, 57510
889, 6846, 64, 0, 13, 50587, 57510
895, 6888, 57, 0, 14, 50551, 57510
901, 6744, 198, 0, 15, 50553, 57510
907, 6809, 205, 0, 14, 50482, 57510
913, 6795, 220, 0, 15, 50480, 57510
919, 6758, 242, 0, 15, 50495, 57510
925, 6734, 243, 0, 16, 50517, 57510
931, 6712, 243, 0, 16, 50539, 57510
937, 6714, 245, 0, 15, 50536, 57510
943, 6763, 245, 0, 15, 50487, 57510
949, 6765, 154, 0, 16, 50575, 57510
955, 6843, 154, 0, 17, 50496, 57510
961, 6762, 93, 0, 18, 50637, 57510
967, 6771, 93, 0, 17, 50629, 57510
973, 6806, 93, 0, 17, 50594, 57510
979, 6814, 94, 0, 15, 50587, 57510
985, 6801, 93, 0, 16, 50600, 57510
991, 6762, 93, 0, 17, 50638, 57510
997, 6521, 93, 0, 17, 50879, 57510
1003, 6153, 94, 0, 16, 51247, 57510
1009, 6375, 94, 0, 16, 51025, 57510
1015, 6473, 93, 0, 17, 50927, 57510
1021, 6644, 94, 0, 17, 50755, 57510
1027, 6764, 95, 0, 15, 50636, 57510
1033, 6855, 94, 0, 15, 50546, 57510
1039, 6787, 94, 0, 16, 50613, 57510
1045, 6731, 94, 0, 17, 50668, 57510
1051, 6720, 93, 0, 15, 50682, 57510
1057, 6813, 93, 0, 16, 50588, 57510
1063, 6850, 94, 0, 14, 50552, 57510
1069, 6783, 95, 0, 13, 50619, 57510
1075, 6781, 95, 0, 13, 50621, 57510
1081, 6762, 94, 0, 14, 50640, 57510
1087, 6738, 95, 0, 13, 50664, 57510
1093, 6472, 94, 0, 13, 50931, 57510
1099, 6451, 95, 0, 14, 50950, 57510
1105, 6639, 97, 0, 14, 50760, 57510
1111, 6657, 98, 0, 14, 50741, 57510
1117, 6791, 97, 0, 12, 50610, 57510
1123, 6834, 97, 0, 12, 50567, 57510
