ts, default broker, COLDPower18, EWIIS3, VidyutVanika, AgentUDE, total
359, 57509, 0, 0, 0, 0, 57509
360, 57509, 0, 0, 0, 0, 57509
361, 13, 0, 2445, 9683, 45368, 57509
367, 13, 0, 1384, 9768, 46344, 57509
373, 13, 0, 880, 9770, 46846, 57509
379, 13, 0, 711, 9769, 47016, 57509
385, 13, 0, 550, 9821, 47125, 57509
391, 13, 0, 509, 9822, 47165, 57509
397, 14, 0, 451, 9849, 47195, 57509
403, 9, 0, 1244, 56249, 7, 57509
409, 9, 0, 986, 56507, 7, 57509
415, 8, 0, 739, 56755, 7, 57509
421, 8, 0, 646, 56844, 11, 57509
427, 10, 0, 590, 56899, 10, 57509
433, 10, 0, 508, 56980, 11, 57509
439, 8, 0, 471, 57019, 11, 57509
445, 8, 0, 449, 57041, 11, 57509
451, 7, 0, 503, 56952, 47, 57509
457, 5, 0, 505, 56949, 50, 57509
463, 5, 0, 503, 56888, 113, 57509
469, 5, 0, 501, 56858, 145, 57509
475, 4, 0, 500, 56175, 830, 57509
481, 2, 0, 470, 56192, 845, 57509
487, 10, 0, 469, 57012, 18, 57509
493, 9, 0, 450, 57033, 17, 57509
499, 10, 0, 419, 57063, 17, 57509
505, 10, 0, 418, 56626, 455, 57509
511, 8, 0, 417, 56627, 457, 57509
517, 8, 0, 418, 56627, 456, 57509
523, 8, 0, 417, 56629, 455, 57509
529, 7, 0, 415, 57052, 35, 57509
535, 7, 0, 414, 57054, 34, 57509
541, 7, 0, 413, 57054, 35, 57509
547, 8, 0, 392, 57074, 35, 57509
553, 6, 0, 392, 57076, 35, 57509
559, 8, 0, 379, 57087, 35, 57509
565, 7, 0, 311, 57156, 35, 57509
571, 6, 0, 299, 57198, 6, 57509
577, 6, 0, 285, 57211, 7, 57509
583, 5, 0, 255, 57239, 10, 57509
589, 3, 0, 231, 57264, 11, 57509
595, 3, 0, 230, 57264, 12, 57509
601, 3, 0, 229, 57263, 14, 57509
607, 1, 0, 229, 57262, 17, 57509
613, 7, 0, 216, 57281, 5, 57509
619, 6, 0, 210, 57288, 5, 57509
625, 7, 0, 207, 57139, 156, 57509
631, 7, 0, 206, 57135, 161, 57509
637, 8, 0, 215, 57123, 163, 57509
643, 8, 0, 213, 57129, 159, 57509
649, 9, 0, 211, 57129, 160, 57509
655, 9, 0, 211, 57284, 5, 57509
661, 9, 0, 211, 57285, 4, 57509
667, 9, 0, 208, 57288, 4, 57509
673, 8, 0, 207, 57286, 8, 57509
679, 8, 0, 208, 57286, 7, 57509
685, 6, 0, 213, 57284, 6, 57509
691, 6, 0, 213, 57285, 5, 57509
697, 4, 0, 213, 56987, 305, 57509
703, 3, 0, 354, 56848, 304, 57509
709, 3, 0, 206, 56993, 307, 57509
715, 2, 0, 204, 56995, 308, 57509
721, 1, 0, 208, 56697, 603, 57509
727, 1, 0, 212, 56694, 602, 57509
733, 0, 0, 204, 56793, 512, 57509
739, 0, 0, 204, 57294, 11, 57509
745, 0, 0, 194, 57303, 12, 57509
751, 0, 0, 194, 57304, 11, 57509
757, 1, 0, 203, 57294, 11, 57509
763, 2, 0, 202, 57292, 13, 57509
769, 2, 0, 192, 57301, 14, 57509
775, 1, 0, 194, 57300, 14, 57509
781, 2, 0, 193, 57298, 16, 57509
787, 3, 0, 191, 57148, 167, 57509
793, 3, 0, 191, 56461, 854, 57509
799, 2, 0, 193, 56455, 859, 57509
805, 1, 0, 197, 55911, 1400, 57509
811, 1, 0, 197, 55621, 1690, 57509
817, 1, 0, 195, 55479, 1834, 57509
823, 1, 0, 194, 56876, 438, 57509
829, 1, 0, 194, 56647, 667, 57509
835, 0, 0, 193, 56628, 688, 57509
841, 0, 0, 192, 56750, 567, 57509
847, 0, 0, 192, 56863, 454, 57509
853, 0, 0, 184, 56616, 709, 57509
859, 0, 0, 185, 56644, 680, 57509
865, 3, 0, 160, 57320, 26, 57509
871, 2, 0, 127, 57354, 26, 57509
877, 2, 0, 114, 57367, 26, 57509
883, 2, 0, 97, 57384, 26, 57509
889, 1, 0, 114, 53566, 3828, 57509
895, 0, 0, 114, 53591, 3804, 57509
901, 2083, 0, 102, 51949, 3375, 57509
907, 2083, 0, 102, 55252, 72, 57509
913, 2292, 0, 99, 55011, 107, 57509
919, 2930, 0, 101, 54401, 77, 57509
925, 3236, 0, 98, 54097, 78, 57509
931, 3305, 0, 95, 54060, 49, 57509
937, 3360, 0, 93, 53971, 85, 57509
943, 3514, 0, 92, 53817, 86, 57509
949, 3596, 0, 94, 53814, 5, 57509
955, 3525, 0, 97, 53847, 40, 57509
961, 3487, 0, 99, 53492, 431, 57509
967, 3497, 0, 128, 53572, 312, 57509
973, 3387, 0, 106, 53486, 530, 57509
979, 3270, 0, 101, 53557, 581, 57509
985, 3323, 0, 98, 53682, 406, 57509
991, 3125, 0, 86, 54196, 102, 57509
997, 3129, 0, 87, 53487, 806, 57509
1003, 3256, 0, 89, 53288, 876, 57509
1009, 3586, 0, 85, 51709, 2129, 57509
1015, 3648, 0, 88, 51925, 1848, 57509
1021, 3689, 0, 90, 51694, 2036, 57509
1027, 3516, 0, 90, 51500, 2403, 57509
1033, 3498, 0, 92, 53795, 124, 57509
1039, 3444, 0, 93, 53937, 35, 57509
1045, 3484, 0, 94, 53926, 5, 57509
1051, 3419, 0, 89, 53995, 6, 57509
1057, 3511, 0, 91, 53902, 5, 57509
1063, 3529, 0, 88, 53887, 5, 57509
1069, 3584, 0, 88, 53832, 5, 57509
1075, 3418, 0, 87, 53995, 9, 57509
1081, 3492, 0, 87, 53914, 16, 57509
1087, 3628, 0, 87, 53774, 20, 57509
1093, 3736, 0, 86, 53667, 20, 57509
1099, 3455, 0, 85, 53947, 22, 57509
1105, 3339, 0, 86, 54061, 23, 57509
1111, 3340, 0, 83, 54063, 23, 57509
1117, 3292, 0, 91, 54114, 12, 57509
1123, 3252, 0, 88, 54157, 12, 57509
1129, 3371, 0, 86, 54037, 15, 57509
1135, 3397, 0, 89, 54005, 18, 57509
1141, 3332, 0, 97, 53421, 659, 57509
1147, 3419, 0, 95, 53315, 680, 57509
1153, 3563, 0, 93, 53383, 470, 57509
1159, 3559, 0, 97, 53567, 286, 57509
1165, 3796, 0, 97, 53330, 286, 57509
1171, 3791, 0, 97, 53360, 261, 57509
1177, 3619, 0, 96, 53432, 362, 57509
1183, 3684, 0, 90, 53373, 362, 57509
1189, 3463, 0, 94, 53673, 279, 57509
1195, 3505, 0, 94, 53691, 219, 57509
1201, 3572, 0, 93, 53839, 5, 57509
1207, 3546, 0, 94, 53865, 4, 57509
1213, 3385, 0, 90, 54029, 5, 57509
1219, 3600, 0, 90, 53814, 5, 57509
1225, 3576, 0, 90, 53697, 146, 57509
1231, 3299, 0, 91, 53973, 146, 57509
1237, 3327, 0, 88, 53949, 145, 57509
1243, 3122, 0, 84, 54294, 9, 57509
1249, 3359, 0, 83, 54055, 12, 57509
1255, 3344, 0, 83, 54071, 11, 57509
1261, 3260, 0, 86, 54150, 13, 57509
1267, 3224, 0, 88, 54183, 14, 57509
1273, 3460, 0, 86, 53947, 16, 57509
1279, 3548, 0, 88, 53851, 22, 57509
1285, 3546, 0, 84, 53565, 314, 57509
1291, 3448, 0, 85, 53510, 466, 57509
1297, 3381, 0, 83, 53574, 471, 57509
1303, 3409, 0, 92, 53391, 617, 57509
1309, 3506, 0, 109, 52641, 1253, 57509
1315, 3559, 0, 90, 52459, 1401, 57509
1321, 3518, 0, 94, 52500, 1397, 57509
1327, 3553, 0, 94, 53857, 5, 57509
1333, 3667, 0, 95, 53599, 148, 57509
1339, 3568, 0, 96, 53698, 147, 57509
1345, 3557, 0, 93, 53710, 149, 57509
1351, 3370, 0, 91, 53897, 151, 57509
1357, 3571, 0, 92, 53694, 152, 57509
1363, 3329, 0, 93, 53936, 151, 57509
1369, 3407, 0, 95, 54000, 7, 57509
1375, 3471, 0, 94, 53935, 9, 57509
1381, 3424, 0, 94, 53981, 10, 57509
1387, 3469, 0, 92, 53939, 9, 57509
1393, 3409, 0, 94, 53996, 10, 57509
1399, 3625, 0, 98, 53779, 7, 57509
1405, 3693, 0, 94, 53715, 7, 57509
1411, 3508, 0, 95, 53901, 5, 57509
1417, 3634, 0, 94, 53777, 4, 57509
1423, 3590, 0, 93, 53822, 4, 57509
1429, 3591, 0, 88, 53826, 4, 57509
1435, 3653, 0, 89, 53763, 4, 57509
1441, 3577, 0, 89, 53838, 5, 57509
1447, 3570, 0, 85, 53850, 4, 57509
1453, 3709, 0, 84, 53562, 154, 57509
1459, 3725, 0, 88, 53541, 155, 57509
1465, 3518, 0, 91, 53591, 309, 57509
1471, 3535, 0, 95, 53023, 856, 57509
1477, 3683, 0, 109, 52177, 1540, 57509
