ts, default broker, CrocodileAgent, SPOT, COLDPower18, VidyutVanika, total
359, 57505, 0, 0, 0, 0, 57505
360, 57505, 0, 0, 0, 0, 57505
361, 16, 216, 828, 0, 56445, 57505
367, 14, 222, 826, 0, 56443, 57505
373, 12, 224, 828, 0, 56441, 57505
379, 9, 225, 827, 0, 56444, 57505
385, 10, 284, 15, 0, 57196, 57505
391, 11, 283, 16, 0, 57195, 57505
397, 13, 284, 14, 0, 57194, 57505
403, 12, 287, 14, 0, 57192, 57505
409, 11, 294, 14, 0, 57186, 57505
415, 8, 295, 12, 0, 57190, 57505
421, 9, 304, 12, 0, 57180, 57505
427, 7, 307, 10, 0, 57181, 57505
433, 7, 891, 2, 0, 56605, 57505
439, 7, 2089, 4, 0, 55405, 57505
445, 8, 2558, 13, 0, 54926, 57505
451, 8, 2637, 152, 0, 54708, 57505
457, 9, 2882, 281, 0, 54333, 57505
463, 9, 2825, 283, 0, 54388, 57505
469, 7, 2827, 286, 0, 54385, 57505
475, 7, 2823, 287, 0, 54388, 57505
481, 7, 2791, 32, 0, 54675, 57505
487, 7, 2791, 34, 0, 54673, 57505
493, 7, 2735, 170, 0, 54593, 57505
499, 7, 2735, 170, 0, 54593, 57505
505, 7, 2552, 173, 0, 54773, 57505
511, 7, 2088, 176, 0, 55234, 57505
517, 6, 1517, 175, 0, 55807, 57505
523, 7, 1257, 174, 0, 56067, 57505
529, 8, 899, 173, 0, 56425, 57505
535, 9, 662, 281, 0, 56553, 57505
541, 10, 778, 231, 0, 56486, 57505
547, 10, 579, 111, 0, 56805, 57505
553, 9, 479, 111, 0, 56906, 57505
559, 8, 427, 115, 0, 56955, 57505
565, 9, 521, 114, 0, 56861, 57505
571, 10, 621, 113, 0, 56761, 57505
577, 10, 1823, 64, 0, 55608, 57505
583, 9, 2695, 34, 0, 54767, 57505
589, 10, 3510, 34, 0, 53951, 57505
595, 10, 4857, 39, 0, 52599, 57505
601, 11, 5153, 40, 0, 52301, 57505
607, 9, 5967, 11, 0, 51518, 57505
613, 9, 6124, 12, 0, 51360, 57505
619, 9, 6340, 10, 0, 51146, 57505
625, 8, 6435, 10, 0, 51052, 57505
631, 8, 6389, 11, 0, 51097, 57505
637, 8, 6317, 13, 0, 51167, 57505
643, 8, 6188, 15, 0, 51294, 57505
649, 8, 5702, 17, 0, 51778, 57505
655, 8, 5031, 15, 0, 52451, 57505
661, 8, 4591, 11, 0, 52895, 57505
667, 8, 3822, 130, 0, 53545, 57505
673, 8, 3468, 256, 0, 53773, 57505
679, 9, 2986, 256, 0, 54254, 57505
685, 10, 2092, 381, 0, 55022, 57505
691, 10, 1272, 379, 0, 55844, 57505
697, 8, 1049, 63, 0, 56385, 57505
703, 8, 800, 66, 0, 56631, 57505
709, 8, 739, 67, 0, 56691, 57505
715, 6, 730, 66, 0, 56703, 57505
721, 6, 681, 66, 0, 56752, 57505
727, 6, 461, 65, 0, 56973, 57505
733, 6, 654, 63, 0, 56782, 57505
739, 10, 894, 32, 0, 56569, 57505
745, 8, 1653, 2, 0, 55842, 57505
751, 7, 2806, 4, 0, 54688, 57505
757, 6, 4749, 5, 0, 52745, 57505
763, 6, 5100, 6, 0, 52393, 57505
769, 7, 6211, 6, 0, 51281, 57505
775, 8, 6590, 5, 0, 50902, 57505
781, 10, 6654, 4, 0, 50837, 57505
787, 9, 6686, 4, 0, 50806, 57505
793, 9, 6622, 5, 0, 50869, 57505
799, 9, 6703, 16, 0, 50777, 57505
805, 9, 6623, 129, 0, 50744, 57505
811, 10, 6472, 128, 0, 50895, 57505
817, 9, 6274, 129, 0, 51093, 57505
823, 9, 5442, 128, 0, 51926, 57505
829, 8, 4215, 156, 0, 53126, 57505
835, 9, 3645, 158, 0, 53693, 57505
841, 8, 3036, 3, 0, 54458, 57505
847, 8, 2455, 3, 0, 55039, 57505
853, 7, 1805, 6, 0, 55687, 57505
859, 7, 1354, 7, 0, 56137, 57505
865, 1, 1062, 7, 0, 56435, 57505
871, 2, 955, 9, 0, 56539, 57505
877, 6, 723, 165, 0, 56611, 57505
883, 3, 571, 164, 0, 56767, 57505
889, 2207, 554, 310, 0, 54434, 57505
895, 2641, 498, 306, 0, 54060, 57505
901, 2820, 1271, 306, 0, 53108, 57505
907, 2795, 1318, 301, 0, 53091, 57505
913, 3082, 2103, 301, 0, 52019, 57505
919, 3240, 2866, 271, 0, 51128, 57505
925, 3500, 3170, 240, 0, 50595, 57505
931, 3533, 3793, 220, 0, 49959, 57505
937, 3529, 4619, 220, 0, 49137, 57505
943, 3680, 4799, 191, 0, 48835, 57505
949, 3342, 5503, 164, 0, 48496, 57505
