ts, default broker, CrocodileAgent, SPOT, COLDPower18, VidyutVanika, EWIIS3, AgentUDE, total
359, 57502, 0, 0, 0, 0, 0, 0, 57502
360, 57502, 0, 0, 0, 0, 0, 0, 57502
361, 5, 11093, 3, 0, 40058, 562, 5781, 57502
367, 7, 11110, 4, 0, 40214, 354, 5813, 57502
373, 7, 11107, 3, 0, 40279, 299, 5807, 57502
379, 7, 11088, 2, 0, 40334, 256, 5815, 57502
385, 8, 11100, 2, 0, 40378, 197, 5817, 57502
391, 7, 11098, 2, 0, 40375, 190, 5830, 57502
397, 7, 11107, 2, 0, 40372, 192, 5822, 57502
403, 8, 11238, 2, 0, 43153, 2394, 707, 57502
409, 7, 11226, 3, 0, 43330, 2537, 399, 57502
415, 7, 11257, 3, 0, 43410, 2477, 348, 57502
421, 3, 11257, 3, 0, 43420, 2439, 380, 57502
427, 3, 11265, 4, 0, 43439, 2412, 379, 57502
433, 3, 8925, 44, 0, 44177, 3892, 461, 57502
439, 2, 6053, 45, 0, 44141, 6434, 827, 57502
445, 6, 3544, 45, 0, 44839, 9036, 32, 57502
451, 8, 2653, 45, 0, 44667, 10098, 31, 57502
457, 7, 1830, 135, 0, 45255, 10244, 31, 57502
463, 7, 1438, 132, 0, 46290, 9605, 30, 57502
469, 6, 1247, 131, 0, 47110, 8978, 30, 57502
475, 8, 1085, 132, 0, 48743, 7503, 31, 57502
481, 5, 883, 131, 0, 50142, 6309, 32, 57502
487, 2, 566, 121, 0, 51462, 5174, 177, 57502
493, 2, 451, 122, 0, 51929, 4574, 424, 57502
499, 2, 413, 61, 0, 52680, 3662, 684, 57502
505, 1, 534, 61, 0, 52841, 3318, 747, 57502
511, 2, 644, 61, 0, 53525, 2523, 747, 57502
517, 2, 634, 64, 0, 54251, 1802, 749, 57502
523, 1, 1261, 32, 0, 54172, 1282, 754, 57502
529, 2, 1725, 33, 0, 54638, 1067, 37, 57502
535, 0, 2247, 33, 0, 54351, 817, 54, 57502
541, 1, 3629, 2, 0, 53097, 715, 58, 57502
547, 3, 4783, 2, 0, 51981, 549, 184, 57502
553, 1, 5381, 2, 0, 51587, 341, 190, 57502
559, 1, 6124, 2, 0, 50859, 323, 193, 57502
565, 3, 6703, 1, 0, 50166, 269, 360, 57502
571, 2, 7249, 2, 0, 49227, 248, 774, 57502
577, 3, 7127, 0, 0, 47608, 175, 2589, 57502
583, 3, 7048, 0, 0, 46411, 157, 3883, 57502
589, 3, 6888, 108, 0, 42842, 162, 7499, 57502
595, 2, 6625, 107, 0, 42950, 134, 7684, 57502
601, 1, 6421, 107, 0, 43052, 95, 7826, 57502
607, 2, 5870, 107, 0, 43444, 93, 7986, 57502
613, 3, 5421, 107, 0, 46515, 91, 5365, 57502
619, 0, 4601, 108, 0, 46737, 91, 5965, 57502
625, 0, 3647, 0, 0, 46120, 89, 7646, 57502
631, 0, 2817, 0, 0, 46356, 87, 8242, 57502
637, 2, 2332, 2, 0, 46314, 86, 8766, 57502
643, 2, 1926, 2, 0, 46048, 87, 9437, 57502
649, 2, 1353, 1, 0, 45380, 90, 10676, 57502
655, 2, 1265, 0, 0, 53429, 90, 2716, 57502
661, 3, 1061, 0, 0, 54111, 91, 2236, 57502
667, 1, 932, 0, 0, 54211, 91, 2267, 57502
673, 1, 948, 1, 0, 54171, 88, 2293, 57502
679, 1, 1045, 2, 0, 54075, 89, 2290, 57502
685, 1, 1141, 3, 0, 53979, 87, 2291, 57502
691, 1, 1064, 1, 0, 54176, 69, 2191, 57502
697, 0, 2278, 2, 0, 54870, 67, 285, 57502
703, 0, 2858, 1, 0, 54517, 64, 62, 57502
709, 0, 3581, 1, 0, 53791, 65, 64, 57502
715, 5, 4156, 0, 0, 53218, 60, 63, 57502
721, 3, 5037, 0, 0, 52334, 62, 66, 57502
727, 0, 5574, 0, 0, 51798, 63, 67, 57502
733, 1, 5451, 0, 0, 51916, 61, 73, 57502
739, 0, 5759, 1, 0, 51472, 66, 204, 57502
745, 0, 5855, 4, 0, 51264, 59, 320, 57502
751, 0, 5765, 3, 0, 51041, 66, 627, 57502
757, 2, 5707, 3, 0, 50360, 52, 1378, 57502
763, 1, 5538, 1, 0, 50534, 49, 1379, 57502
769, 1, 5071, 1, 0, 50915, 46, 1468, 57502
775, 2, 4518, 2, 0, 51477, 36, 1467, 57502
781, 3, 3826, 2, 0, 52889, 38, 744, 57502
787, 4, 3042, 2, 0, 53235, 40, 1179, 57502
793, 4, 2294, 2, 0, 53866, 38, 1298, 57502
799, 4, 1843, 3, 0, 54165, 36, 1451, 57502
805, 3, 1394, 1, 0, 54181, 40, 1883, 57502
811, 3, 1154, 1, 0, 54057, 40, 2247, 57502
817, 3, 914, 1, 0, 54175, 38, 2371, 57502
823, 3, 834, 1, 0, 56225, 37, 402, 57502
829, 1, 649, 1, 0, 56155, 38, 658, 57502
835, 1, 807, 2, 0, 56054, 38, 600, 57502
841, 1, 1291, 2, 0, 55330, 37, 841, 57502
847, 0, 1175, 1, 0, 55449, 33, 844, 57502
853, 1, 1253, 1, 0, 55372, 35, 840, 57502
859, 2, 1608, 1, 0, 55026, 30, 835, 57502
865, 1, 1459, 1, 0, 55944, 31, 66, 57502
871, 2, 1337, 1, 0, 56100, 27, 35, 57502
877, 1, 1354, 1, 0, 56116, 22, 8, 57502
883, 0, 1475, 2, 0, 55996, 25, 4, 57502
889, 0, 1867, 4, 0, 55600, 25, 6, 57502
895, 0, 1836, 3, 0, 55631, 28, 4, 57502
901, 1, 1834, 2, 0, 55633, 29, 3, 57502
907, 1, 1794, 2, 0, 55669, 28, 8, 57502
913, 1, 1640, 4, 0, 55813, 28, 16, 57502
919, 1, 1519, 4, 0, 55924, 19, 35, 57502
925, 1, 1249, 2, 0, 56213, 20, 17, 57502
931, 1, 1159, 1, 0, 56304, 21, 16, 57502
937, 1, 888, 1, 0, 56576, 20, 16, 57502
943, 1, 674, 1, 0, 56757, 22, 47, 57502
949, 1, 674, 1, 0, 56803, 20, 3, 57502
955, 2, 646, 1, 0, 56831, 18, 4, 57502
961, 2, 314, 1, 0, 57161, 19, 5, 57502
967, 2, 224, 0, 0, 57249, 20, 7, 57502
973, 6968, 232, 90, 0, 4307, 22, 45883, 57502
979, 6947, 242, 90, 0, 342, 23, 49858, 57502
985, 6894, 297, 90, 0, 80, 18, 50123, 57502
991, 6875, 7245, 539, 0, 20, 776, 42047, 57502
997, 6774, 7927, 619, 0, 0, 510, 41672, 57502
1003, 6787, 8285, 619, 0, 0, 303, 41508, 57502
1009, 6702, 8884, 90, 0, 0, 246, 41580, 57502
1015, 6697, 9057, 90, 0, 0, 191, 41467, 57502
1021, 6726, 9443, 90, 0, 0, 190, 41053, 57502
1027, 6780, 11353, 90, 0, 0, 123, 39156, 57502
1033, 6787, 47375, 90, 0, 0, 91, 3159, 57502
1039, 6692, 50089, 90, 0, 0, 84, 547, 57502
1045, 6622, 50438, 90, 0, 0, 55, 297, 57502
1051, 6682, 50412, 90, 0, 0, 20, 298, 57502
1057, 6690, 50422, 90, 0, 0, 22, 278, 57502
1063, 6706, 50396, 90, 0, 0, 19, 291, 57502
1069, 6678, 50403, 91, 0, 0, 22, 308, 57502
1075, 6683, 49863, 91, 0, 0, 26, 839, 57502
1081, 6678, 48948, 91, 0, 0, 25, 1760, 57502
1087, 6713, 47775, 91, 0, 0, 24, 2899, 57502
