ts, default broker, COLDPower18, VidyutVanika, EWIIS3, Bunnie, total
359, 57511, 0, 0, 0, 0, 57511
360, 57511, 0, 0, 0, 0, 57511
361, 3, 0, 22665, 196, 34647, 57511
367, 3, 0, 22688, 90, 34730, 57511
373, 3, 0, 22894, 32, 34582, 57511
379, 2, 0, 22997, 32, 34480, 57511
385, 3, 0, 23097, 44, 34367, 57511
391, 4, 0, 23093, 46, 34368, 57511
397, 5, 0, 23094, 62, 34350, 57511
403, 5, 0, 23301, 52, 34153, 57511
409, 4, 0, 23302, 63, 34142, 57511
415, 4, 0, 23405, 53, 34049, 57511
421, 3, 0, 23404, 50, 34054, 57511
427, 2, 0, 23606, 49, 33854, 57511
433, 1, 0, 21263, 36, 36211, 57511
439, 2, 0, 19177, 34, 38298, 57511
445, 3, 0, 15759, 32, 41717, 57511
451, 3, 0, 14260, 36, 43212, 57511
457, 3, 0, 12999, 51, 44458, 57511
463, 4, 0, 11898, 39, 45570, 57511
469, 5, 0, 10717, 38, 46751, 57511
475, 5, 0, 9936, 36, 47534, 57511
481, 5, 0, 9446, 34, 48026, 57511
487, 23, 0, 9382, 32, 48074, 57511
493, 33, 0, 10846, 19, 46613, 57511
499, 12, 0, 13475, 17, 44007, 57511
505, 4, 0, 16203, 16, 41288, 57511
511, 3, 0, 19755, 15, 37738, 57511
517, 3, 0, 21565, 16, 35927, 57511
523, 1, 0, 23393, 17, 34100, 57511
529, 1, 0, 24050, 16, 33444, 57511
535, 1, 0, 24343, 15, 33152, 57511
541, 3, 0, 24031, 16, 33461, 57511
547, 3, 0, 23833, 16, 33659, 57511
553, 5, 0, 23721, 14, 33771, 57511
559, 6, 0, 23199, 13, 34293, 57511
565, 5, 0, 22818, 14, 34674, 57511
571, 6, 0, 21429, 13, 36063, 57511
577, 6, 0, 20519, 13, 36973, 57511
583, 6, 0, 18055, 13, 39437, 57511
589, 6, 0, 16656, 12, 40837, 57511
595, 23, 0, 13148, 12, 44328, 57511
601, 28, 0, 12308, 14, 45161, 57511
607, 35, 0, 11542, 15, 45919, 57511
613, 32, 0, 10045, 17, 47417, 57511
619, 11, 0, 8496, 17, 48987, 57511
625, 4, 0, 7999, 17, 49491, 57511
631, 2, 0, 7753, 17, 49739, 57511
637, 1, 0, 7659, 19, 49832, 57511
643, 2, 0, 7580, 18, 49911, 57511
649, 2, 0, 7620, 16, 49873, 57511
655, 2, 0, 8222, 16, 49271, 57511
661, 1, 0, 10608, 17, 46885, 57511
667, 2, 0, 12429, 17, 45063, 57511
673, 2, 0, 16479, 18, 41012, 57511
679, 2, 0, 19469, 18, 38022, 57511
685, 2, 0, 21346, 18, 36145, 57511
691, 2, 0, 24005, 17, 33487, 57511
697, 1, 0, 25520, 18, 31972, 57511
703, 2, 0, 26122, 17, 31370, 57511
709, 2, 0, 26066, 17, 31426, 57511
715, 2, 0, 25933, 18, 31558, 57511
721, 2, 0, 25867, 18, 31624, 57511
727, 2, 0, 25732, 18, 31759, 57511
733, 3, 0, 24280, 17, 33211, 57511
739, 3, 0, 23325, 17, 34166, 57511
745, 4, 0, 21215, 15, 36277, 57511
751, 4, 0, 19944, 14, 37549, 57511
757, 6, 0, 17238, 14, 40253, 57511
763, 4, 0, 14177, 16, 43314, 57511
769, 4, 0, 12860, 16, 44631, 57511
775, 2, 0, 11839, 18, 45652, 57511
781, 3, 0, 10811, 16, 46681, 57511
787, 5, 0, 10082, 15, 47409, 57511
793, 5, 0, 9420, 16, 48070, 57511
799, 6, 0, 9204, 15, 48286, 57511
805, 4, 0, 8748, 16, 48743, 57511
811, 3, 0, 8681, 16, 48811, 57511
817, 2, 0, 8151, 17, 49341, 57511
823, 3, 0, 8151, 17, 49340, 57511
829, 4, 0, 10496, 16, 46995, 57511
835, 2, 0, 11912, 18, 45579, 57511
841, 2, 0, 14384, 19, 43106, 57511
847, 2, 0, 16767, 18, 40724, 57511
853, 2, 0, 22358, 18, 35133, 57511
859, 2, 0, 23202, 17, 34290, 57511
865, 3, 0, 25712, 14, 31782, 57511
871, 2, 0, 26267, 15, 31227, 57511
877, 2, 0, 26457, 13, 31039, 57511
883, 2, 0, 26789, 12, 30708, 57511
889, 1839, 0, 29620, 12, 26040, 57511
895, 2478, 0, 21818, 14, 33201, 57511
901, 2646, 0, 23870, 15, 30980, 57511
907, 2790, 0, 26163, 15, 28543, 57511
913, 2892, 0, 30111, 15, 24493, 57511
919, 3009, 0, 32203, 15, 22284, 57511
925, 2966, 0, 36271, 16, 18258, 57511
931, 3187, 0, 36548, 16, 17760, 57511
937, 3231, 0, 34953, 17, 19310, 57511
943, 3423, 0, 33777, 17, 20294, 57511
949, 3306, 0, 35973, 18, 18214, 57511
955, 3336, 0, 36922, 19, 17234, 57511
961, 3489, 0, 33860, 17, 20145, 57511
967, 3455, 0, 5673, 16, 48367, 57511
973, 3507, 0, 6772, 17, 47215, 57511
979, 3441, 0, 13523, 17, 40530, 57511
985, 3364, 0, 19758, 18, 34371, 57511
991, 3338, 0, 6124, 17, 48032, 57511
997, 3475, 0, 8253, 17, 45766, 57511
1003, 3568, 0, 16342, 17, 37584, 57511
1009, 3481, 0, 19663, 17, 34350, 57511
1015, 3609, 0, 23390, 17, 30495, 57511
1021, 3435, 0, 27373, 16, 26687, 57511
1027, 3455, 0, 29513, 18, 24525, 57511
1033, 3485, 0, 32164, 19, 21843, 57511
1039, 3452, 0, 33449, 19, 20591, 57511
1045, 3437, 0, 34962, 19, 19093, 57511
1051, 3523, 0, 35367, 19, 18602, 57511
1057, 3377, 0, 34594, 18, 19522, 57511
1063, 3500, 0, 13952, 17, 40042, 57511
1069, 3663, 0, 15604, 18, 38226, 57511
1075, 3682, 0, 20637, 18, 33174, 57511
1081, 3511, 0, 23734, 16, 30250, 57511
1087, 3527, 0, 23933, 17, 30034, 57511
