ts, default broker, AgentUDE, Bunnie, total
359, 57518, 0, 0, 57518
360, 57518, 0, 0, 57518
361, 6896, 20626, 29996, 57518
367, 6966, 20644, 29908, 57518
373, 7008, 24213, 26297, 57518
379, 6972, 26165, 24381, 57518
385, 6942, 27461, 23115, 57518
391, 6896, 28935, 21687, 57518
397, 6897, 30388, 20233, 57518
403, 6829, 47259, 3430, 57518
409, 6883, 49201, 1434, 57518
415, 6927, 49788, 803, 57518
421, 6959, 49814, 745, 57518
427, 6893, 49934, 691, 57518
433, 6881, 50203, 434, 57518
439, 6900, 50084, 534, 57518
445, 6913, 43719, 6886, 57518
451, 6859, 42877, 7782, 57518
457, 6873, 46446, 4199, 57518
463, 6912, 48802, 1804, 57518
469, 6949, 49566, 1003, 57518
475, 6943, 50061, 514, 57518
481, 6890, 49993, 635, 57518
487, 6937, 50028, 553, 57518
493, 6913, 50333, 272, 57518
499, 6911, 50395, 212, 57518
505, 6816, 50395, 307, 57518
511, 6850, 50392, 276, 57518
517, 6885, 50393, 240, 57518
523, 6915, 50392, 211, 57518
529, 6918, 49918, 682, 57518
535, 6954, 49922, 642, 57518
541, 6960, 50382, 176, 57518
547, 6881, 50383, 254, 57518
553, 6890, 50354, 274, 57518
559, 6819, 50352, 347, 57518
565, 6763, 50383, 372, 57518
571, 6805, 47624, 3089, 57518
577, 6767, 47340, 3411, 57518
583, 6764, 47873, 2881, 57518
589, 6542, 48403, 2573, 57518
595, 6532, 48524, 2462, 57518
601, 6651, 48942, 1925, 57518
607, 6762, 49256, 1500, 57518
613, 6892, 43979, 6647, 57518
619, 6934, 43788, 6796, 57518
625, 6964, 46813, 3741, 57518
631, 6954, 48205, 2359, 57518
637, 6908, 49502, 1108, 57518
643, 6924, 49765, 829, 57518
649, 6951, 49924, 643, 57518
655, 6958, 46290, 4270, 57518
661, 6971, 46412, 4135, 57518
667, 7011, 49376, 1131, 57518
673, 6977, 50157, 384, 57518
679, 6956, 49956, 606, 57518
