ts, default broker, CrocodileAgent, SPOT, VidyutVanika, AgentUDE, total
359, 57518, 0, 0, 0, 0, 57518
360, 57518, 0, 0, 0, 0, 57518
361, 12, 11160, 6, 45181, 1159, 57518
367, 11, 11162, 4, 45195, 1146, 57518
373, 13, 11159, 5, 45195, 1146, 57518
379, 9, 11157, 4, 45190, 1158, 57518
385, 11, 11159, 3, 45194, 1151, 57518
391, 9, 11158, 5, 45196, 1150, 57518
397, 12, 11151, 6, 45190, 1159, 57518
403, 12, 11182, 4, 45736, 584, 57518
409, 10, 11183, 3, 45736, 586, 57518
415, 9, 11184, 3, 45730, 592, 57518
421, 9, 11180, 5, 45717, 607, 57518
427, 8, 11177, 3, 45715, 615, 57518
433, 8, 6746, 3, 47250, 3511, 57518
439, 7, 4976, 0, 47682, 4853, 57518
445, 7, 3469, 5, 52883, 1154, 57518
451, 8, 2858, 4, 53505, 1143, 57518
457, 8, 2742, 5, 53516, 1247, 57518
463, 8, 2414, 112, 53736, 1248, 57518
469, 9, 1758, 114, 54151, 1486, 57518
475, 8, 1265, 114, 54508, 1623, 57518
481, 7, 913, 113, 54746, 1739, 57518
487, 6, 748, 144, 55964, 656, 57518
493, 7, 613, 143, 55729, 1026, 57518
499, 7, 674, 142, 55145, 1550, 57518
505, 5, 721, 112, 54505, 2175, 57518
511, 22, 936, 93, 54282, 2185, 57518
517, 21, 1400, 108, 53838, 2151, 57518
523, 28, 2137, 52, 53183, 2118, 57518
529, 17, 3366, 25, 53891, 219, 57518
535, 10, 4653, 27, 52791, 37, 57518
541, 9, 5783, 26, 51666, 34, 57518
547, 7, 6566, 27, 50904, 14, 57518
553, 5, 7404, 27, 50068, 14, 57518
559, 2, 7741, 25, 49736, 14, 57518
565, 2, 7994, 22, 49484, 16, 57518
571, 6, 7816, 17, 48662, 1017, 57518
577, 8, 8121, 15, 47409, 1965, 57518
583, 8, 8304, 12, 46153, 3041, 57518
589, 8, 7816, 97, 39328, 10269, 57518
595, 9, 7320, 95, 38784, 11310, 57518
601, 7, 6839, 6, 38839, 11827, 57518
607, 6, 5748, 6, 39338, 12420, 57518
613, 5, 5222, 42, 49462, 2787, 57518
619, 5, 4522, 125, 50535, 2331, 57518
625, 5, 3541, 125, 51227, 2620, 57518
631, 4, 3224, 124, 51548, 2618, 57518
637, 4, 2593, 154, 51727, 3040, 57518
643, 5, 2161, 154, 52041, 3157, 57518
