ts, default broker, COLDPower18, VidyutVanika, AgentUDE, Bunnie, total
359, 57520, 0, 0, 0, 0, 57520
360, 57520, 0, 0, 0, 0, 57520
361, 48, 0, 13246, 23964, 20262, 57520
367, 36, 0, 13231, 23987, 20266, 57520
373, 30, 0, 13396, 27512, 16582, 57520
379, 27, 0, 13392, 30156, 13945, 57520
385, 29, 0, 13388, 31967, 12136, 57520
391, 27, 0, 13362, 32715, 11416, 57520
397, 35, 0, 13393, 34596, 9496, 57520
403, 37, 0, 13393, 138, 43952, 57520
409, 39, 0, 13424, 102, 43955, 57520
415, 34, 0, 13431, 106, 43949, 57520
421, 34, 0, 13428, 100, 43958, 57520
427, 31, 0, 13551, 101, 43837, 57520
433, 34, 0, 12374, 96, 45016, 57520
439, 18, 0, 11439, 83, 45980, 57520
445, 12, 0, 10390, 4, 47114, 57520
451, 9, 0, 9409, 3, 48099, 57520
457, 10, 0, 9029, 2, 48479, 57520
463, 10, 0, 8671, 2, 48837, 57520
469, 8, 0, 8053, 2, 49457, 57520
475, 8, 0, 8153, 3, 49356, 57520
481, 8, 0, 7980, 7, 49525, 57520
487, 11, 0, 7976, 11, 49522, 57520
493, 10, 0, 8518, 159, 48833, 57520
499, 9, 0, 11410, 164, 45937, 57520
505, 8, 0, 14324, 168, 43020, 57520
511, 8, 0, 18623, 78, 38811, 57520
517, 8, 0, 22106, 22, 35384, 57520
523, 8, 0, 25045, 24, 32443, 57520
529, 6, 0, 26971, 8, 30535, 57520
535, 6, 0, 27206, 9, 30299, 57520
541, 6, 0, 27351, 10, 30153, 57520
547, 6, 0, 27155, 11, 30348, 57520
553, 7, 0, 26943, 9, 30561, 57520
559, 6, 0, 26813, 9, 30692, 57520
565, 6, 0, 26566, 9, 30939, 57520
571, 4, 0, 25969, 12, 31535, 57520
577, 5, 0, 24441, 15, 33059, 57520
583, 6, 0, 21840, 18, 35656, 57520
589, 7, 0, 20356, 20, 37137, 57520
595, 7, 0, 18262, 20, 39231, 57520
601, 6, 0, 14971, 23, 42520, 57520
607, 6, 0, 13319, 24, 44171, 57520
613, 7, 0, 11579, 10, 45924, 57520
619, 7, 0, 10578, 9, 46926, 57520
625, 6, 0, 10040, 7, 47467, 57520
631, 4, 0, 9640, 9, 47867, 57520
637, 5, 0, 9179, 8, 48328, 57520
643, 4, 0, 8795, 10, 48711, 57520
649, 4, 0, 8305, 11, 49200, 57520
655, 5, 0, 8201, 10, 49304, 57520
661, 5, 0, 10017, 11, 47487, 57520
667, 5, 0, 12482, 8, 45025, 57520
673, 7, 0, 16754, 6, 40753, 57520
679, 5, 0, 17299, 5, 40211, 57520
685, 5, 0, 22945, 6, 34564, 57520
691, 7, 0, 26818, 6, 30689, 57520
697, 6, 0, 27954, 7, 29553, 57520
703, 27, 0, 27974, 7, 29512, 57520
709, 23, 0, 28024, 39, 29434, 57520
715, 24, 0, 27638, 47, 29811, 57520
721, 23, 0, 27361, 54, 30082, 57520
727, 15, 0, 27227, 32, 30246, 57520
733, 7, 0, 26783, 24, 30706, 57520
739, 5, 0, 25863, 17, 31635, 57520
745, 8, 0, 23725, 11, 33776, 57520
751, 7, 0, 21957, 12, 35544, 57520
757, 7, 0, 18648, 12, 38853, 57520
763, 7, 0, 15225, 12, 42276, 57520
769, 7, 0, 13666, 11, 43836, 57520
775, 5, 0, 11685, 15, 45815, 57520
781, 7, 0, 10704, 11, 46798, 57520
787, 8, 0, 10409, 12, 47091, 57520
793, 7, 0, 9482, 13, 48018, 57520
799, 7, 0, 8503, 13, 48997, 57520
805, 8, 0, 8351, 11, 49150, 57520
811, 9, 0, 8305, 10, 49196, 57520
817, 7, 0, 8307, 10, 49196, 57520
823, 7, 0, 8290, 7, 49216, 57520
829, 7, 0, 9799, 8, 47706, 57520
835, 7, 0, 12791, 8, 44714, 57520
841, 7, 0, 16170, 134, 41209, 57520
847, 5, 0, 18402, 135, 38978, 57520
853, 5, 0, 21319, 127, 36069, 57520
859, 6, 0, 22784, 97, 34633, 57520
865, 8, 0, 27665, 6, 29841, 57520
871, 6, 0, 32943, 8, 24563, 57520
877, 6, 0, 38776, 10, 18728, 57520
883, 7, 0, 42191, 10, 15312, 57520
889, 8, 0, 42703, 10, 14799, 57520
895, 7, 0, 22175, 11, 35327, 57520
901, 9, 0, 21853, 10, 35648, 57520
907, 8, 0, 32234, 6, 25272, 57520
913, 7, 0, 36856, 7, 20650, 57520
919, 7, 0, 41224, 6, 16283, 57520
925, 6, 0, 45728, 6, 11780, 57520
931, 4, 0, 47879, 7, 9630, 57520
937, 7, 0, 50031, 7, 7475, 57520
943, 8, 0, 51220, 7, 6285, 57520
949, 8, 0, 52204, 8, 5300, 57520
955, 7, 0, 53016, 6, 4491, 57520
961, 6, 0, 52529, 9, 4976, 57520
967, 7, 0, 53175, 8, 4330, 57520
973, 6, 0, 53934, 8, 3572, 57520
979, 6, 0, 54469, 8, 3037, 57520
985, 7, 0, 53350, 9, 4154, 57520
991, 7, 0, 53344, 8, 4161, 57520
997, 6, 0, 27919, 8, 29587, 57520
1003, 6, 0, 28906, 6, 28602, 57520
1009, 4, 0, 33192, 9, 24315, 57520
1015, 4, 0, 39007, 10, 18499, 57520
1021, 6, 0, 43244, 9, 14261, 57520
1027, 6, 0, 46253, 9, 11252, 57520
1033, 7, 0, 48458, 8, 9047, 57520
1039, 8, 0, 50259, 9, 7244, 57520
1045, 9, 0, 51781, 9, 5721, 57520
1051, 8, 0, 52404, 9, 5099, 57520
1057, 8, 0, 53405, 57, 4050, 57520
1063, 8, 0, 28369, 112, 29031, 57520
1069, 8, 0, 21129, 143, 36240, 57520
1075, 8, 0, 27412, 10, 30090, 57520
1081, 8, 0, 30674, 9, 26829, 57520
1087, 8, 0, 37567, 10, 19935, 57520
1093, 10, 0, 13277, 10, 44223, 57520
1099, 9, 0, 16526, 9, 40976, 57520
1105, 10, 0, 22685, 7, 34818, 57520
1111, 9, 0, 27968, 7, 29536, 57520
1117, 7, 0, 34671, 5, 22837, 57520
1123, 6, 0, 39955, 4, 17555, 57520
1129, 5, 0, 43958, 6, 13551, 57520
1135, 5, 0, 47681, 7, 9827, 57520
1141, 5, 0, 50187, 7, 7321, 57520
1147, 6, 0, 51307, 6, 6201, 57520
1153, 7, 0, 52435, 7, 5071, 57520
1159, 6, 0, 52973, 6, 4535, 57520
1165, 7, 0, 54676, 7, 2830, 57520
1171, 7, 0, 54836, 8, 2669, 57520
1177, 5, 0, 54277, 9, 3229, 57520
1183, 6, 0, 54340, 9, 3165, 57520
1189, 7, 0, 54639, 139, 2735, 57520
1195, 6, 0, 55073, 139, 2302, 57520
1201, 4, 0, 53345, 10, 4161, 57520
1207, 5, 0, 53128, 10, 4377, 57520
1213, 6, 0, 53815, 10, 3689, 57520
1219, 5, 0, 54009, 10, 3496, 57520
1225, 4, 0, 53869, 12, 3635, 57520
1231, 4, 0, 11372, 12, 46132, 57520
1237, 6, 0, 11312, 12, 46190, 57520
1243, 5, 0, 27937, 9, 29569, 57520
1249, 4, 0, 34838, 9, 22669, 57520
1255, 4, 0, 37077, 10, 20429, 57520
1261, 4, 0, 42645, 10, 14861, 57520
1267, 4, 0, 47061, 9, 10446, 57520
