ts, default broker, CrocodileAgent, COLDPower18, VidyutVanika, AgentUDE, total
359, 57513, 0, 0, 0, 0, 57513
360, 57513, 0, 0, 0, 0, 57513
361, 20, 57, 0, 24514, 32922, 57513
367, 15, 58, 0, 24519, 32921, 57513
373, 15, 62, 0, 24516, 32920, 57513
379, 16, 63, 0, 24515, 32919, 57513
385, 14, 64, 0, 24518, 32917, 57513
391, 15, 62, 0, 24518, 32918, 57513
397, 14, 63, 0, 24531, 32905, 57513
403, 9, 4483, 0, 51065, 1956, 57513
409, 9, 5034, 0, 52359, 111, 57513
415, 4, 5040, 0, 52437, 32, 57513
421, 2, 5045, 0, 52434, 32, 57513
427, 3, 5045, 0, 52452, 13, 57513
433, 3, 5383, 0, 52115, 12, 57513
439, 6, 6105, 0, 51389, 13, 57513
445, 11, 6491, 0, 51007, 4, 57513
451, 12, 6589, 0, 50909, 3, 57513
457, 13, 6591, 0, 50905, 4, 57513
463, 14, 6640, 0, 50855, 4, 57513
469, 12, 6637, 0, 50861, 3, 57513
475, 12, 6018, 0, 51482, 1, 57513
481, 11, 5382, 0, 52116, 4, 57513
487, 4, 4352, 0, 53139, 18, 57513
493, 3, 3356, 0, 54135, 19, 57513
499, 2, 3078, 0, 54412, 21, 57513
505, 2, 2797, 0, 54692, 22, 57513
511, 3, 1956, 0, 55531, 23, 57513
517, 3, 1536, 0, 55952, 22, 57513
523, 2, 1273, 0, 56215, 23, 57513
529, 11, 734, 0, 56759, 9, 57513
535, 10, 623, 0, 56869, 11, 57513
541, 11, 655, 0, 56837, 10, 57513
547, 11, 561, 0, 56932, 9, 57513
553, 12, 1316, 0, 56179, 6, 57513
559, 13, 1486, 0, 56008, 6, 57513
565, 12, 1523, 0, 55972, 6, 57513
571, 12, 1598, 0, 55897, 6, 57513
577, 13, 2493, 0, 55000, 7, 57513
583, 15, 3967, 0, 53523, 8, 57513
589, 13, 5120, 0, 52370, 10, 57513
595, 12, 6048, 0, 51442, 11, 57513
601, 13, 7329, 0, 50162, 9, 57513
607, 13, 8187, 0, 49305, 8, 57513
613, 11, 8295, 0, 49198, 9, 57513
619, 11, 8615, 0, 48877, 10, 57513
625, 11, 8544, 0, 48947, 11, 57513
631, 10, 8301, 0, 49190, 12, 57513
637, 10, 8011, 0, 49480, 12, 57513
643, 11, 7870, 0, 49621, 11, 57513
649, 11, 7283, 0, 50209, 10, 57513
655, 12, 6804, 0, 50690, 7, 57513
661, 12, 6204, 0, 51290, 7, 57513
667, 11, 5126, 0, 52370, 6, 57513
673, 12, 3825, 0, 53669, 7, 57513
679, 12, 3209, 0, 54287, 5, 57513
685, 12, 2485, 0, 55010, 6, 57513
691, 12, 1894, 0, 55602, 5, 57513
697, 12, 1583, 0, 55912, 6, 57513
703, 14, 1131, 0, 56362, 6, 57513
709, 15, 782, 0, 56709, 7, 57513
715, 15, 541, 0, 56950, 7, 57513
721, 15, 535, 0, 56956, 7, 57513
727, 15, 568, 0, 56921, 9, 57513
733, 15, 693, 0, 56795, 10, 57513
739, 17, 828, 0, 56661, 7, 57513
745, 11, 1475, 0, 56014, 13, 57513
751, 10, 2375, 0, 55118, 10, 57513
757, 10, 4624, 0, 52869, 10, 57513
763, 9, 5652, 0, 51844, 8, 57513
769, 10, 6530, 0, 50963, 10, 57513
775, 11, 7424, 0, 50068, 10, 57513
781, 13, 7619, 0, 49873, 8, 57513
787, 13, 7942, 0, 49551, 7, 57513
793, 13, 7762, 0, 49731, 7, 57513
799, 12, 7647, 0, 49846, 8, 57513
805, 11, 7520, 0, 49975, 7, 57513
811, 12, 7409, 0, 50083, 9, 57513
817, 12, 7288, 0, 50205, 8, 57513
823, 12, 6611, 0, 50882, 8, 57513
829, 14, 5263, 0, 52229, 7, 57513
835, 11, 4388, 0, 53104, 10, 57513
841, 12, 3966, 0, 53524, 11, 57513
847, 12, 2936, 0, 54555, 10, 57513
853, 11, 2236, 0, 55256, 10, 57513
859, 12, 1513, 0, 55978, 10, 57513
865, 5, 1070, 0, 56430, 8, 57513
871, 2, 823, 0, 56680, 8, 57513
877, 2, 511, 0, 56992, 8, 57513
883, 2, 418, 0, 57084, 9, 57513
889, 3, 287, 0, 57215, 8, 57513
895, 13, 1745, 0, 55747, 8, 57513
901, 2087, 1978, 0, 53440, 8, 57513
907, 2279, 1946, 0, 53280, 8, 57513
913, 3248, 2158, 0, 52099, 8, 57513
919, 3265, 2162, 0, 52075, 11, 57513
925, 3309, 2489, 0, 51705, 10, 57513
931, 3411, 2653, 0, 51440, 9, 57513
937, 3394, 3048, 0, 51058, 13, 57513
943, 3369, 3031, 0, 51100, 13, 57513
949, 3342, 2986, 0, 51175, 10, 57513
955, 3328, 2924, 0, 51252, 9, 57513
961, 3377, 2974, 0, 51154, 8, 57513
967, 3423, 2981, 0, 50257, 852, 57513
973, 3584, 2516, 0, 49839, 1574, 57513
979, 3691, 2261, 0, 49989, 1572, 57513
985, 3520, 1884, 0, 50503, 1606, 57513
991, 3527, 1587, 0, 52391, 8, 57513
997, 3554, 1281, 0, 52670, 8, 57513
1003, 3505, 1213, 0, 52785, 10, 57513
1009, 3488, 997, 0, 53020, 8, 57513
1015, 3510, 905, 0, 53088, 10, 57513
1021, 3685, 689, 0, 53129, 10, 57513
1027, 3720, 591, 0, 53194, 8, 57513
1033, 3794, 475, 0, 53124, 120, 57513
1039, 3756, 439, 0, 53199, 119, 57513
1045, 3662, 373, 0, 53357, 121, 57513
1051, 3756, 321, 0, 53312, 124, 57513
1057, 3645, 481, 0, 53261, 126, 57513
1063, 3616, 488, 0, 53282, 127, 57513
1069, 3527, 725, 0, 53134, 127, 57513
1075, 3486, 1833, 0, 52184, 10, 57513
1081, 3371, 6085, 0, 48049, 8, 57513
1087, 3479, 6529, 0, 47498, 7, 57513
1093, 3387, 6722, 0, 47398, 6, 57513
1099, 3527, 6952, 0, 47027, 7, 57513
1105, 3491, 7707, 0, 46307, 8, 57513
1111, 3667, 7949, 0, 45889, 8, 57513
1117, 3583, 7982, 0, 45939, 9, 57513
1123, 3581, 7965, 0, 45959, 8, 57513
1129, 3572, 7947, 0, 45984, 10, 57513
1135, 3425, 7928, 0, 46150, 10, 57513
1141, 3498, 8052, 0, 45922, 41, 57513
1147, 3435, 7435, 0, 46605, 38, 57513
1153, 3444, 5675, 0, 48356, 38, 57513
1159, 3615, 4895, 0, 48995, 8, 57513
1165, 3742, 4021, 0, 49744, 6, 57513
1171, 3721, 3519, 0, 50266, 7, 57513
1177, 3573, 2798, 0, 51135, 7, 57513
1183, 3534, 2307, 0, 51663, 9, 57513
1189, 3543, 1910, 0, 52051, 9, 57513
1195, 3360, 1343, 0, 52800, 10, 57513
1201, 3444, 1059, 0, 53002, 8, 57513
1207, 3568, 874, 0, 53063, 8, 57513
1213, 3572, 783, 0, 53151, 7, 57513
1219, 3518, 684, 0, 53304, 7, 57513
1225, 3509, 979, 0, 53016, 9, 57513
1231, 3390, 1037, 0, 53077, 9, 57513
1237, 3469, 1017, 0, 53017, 10, 57513
1243, 3438, 1643, 0, 52423, 9, 57513
1249, 3513, 3777, 0, 50214, 9, 57513
1255, 3530, 4698, 0, 49276, 9, 57513
1261, 3500, 5871, 0, 48132, 10, 57513
1267, 3584, 6964, 0, 46954, 11, 57513
1273, 3538, 7517, 0, 46446, 12, 57513
1279, 3499, 8978, 0, 45025, 11, 57513
1285, 3607, 9086, 0, 44812, 8, 57513
1291, 3719, 8938, 0, 44848, 8, 57513
1297, 3665, 9059, 0, 44781, 8, 57513
1303, 3534, 8861, 0, 45108, 10, 57513
1309, 3304, 8746, 0, 45312, 151, 57513
1315, 3294, 8416, 0, 45654, 149, 57513
1321, 3594, 7419, 0, 46352, 148, 57513
1327, 3626, 6791, 0, 47088, 8, 57513
1333, 3618, 6181, 0, 47703, 11, 57513
1339, 3545, 5516, 0, 48441, 11, 57513
1345, 3475, 4493, 0, 49532, 13, 57513
1351, 3485, 2763, 0, 51251, 14, 57513
1357, 3410, 1874, 0, 52215, 14, 57513
1363, 3457, 1451, 0, 52591, 14, 57513
1369, 3219, 1137, 0, 53138, 19, 57513
1375, 3299, 898, 0, 53295, 21, 57513
1381, 3379, 880, 0, 53231, 23, 57513
1387, 3468, 883, 0, 53137, 25, 57513
1393, 3300, 818, 0, 53371, 24, 57513
1399, 3368, 888, 0, 53232, 25, 57513
1405, 3395, 771, 0, 53321, 26, 57513
1411, 3299, 1402, 0, 52805, 7, 57513
1417, 3283, 2318, 0, 51903, 9, 57513
1423, 3400, 2416, 0, 51689, 8, 57513
1429, 3441, 3136, 0, 50928, 8, 57513
1435, 3319, 3325, 0, 50862, 7, 57513
1441, 3215, 4370, 0, 49919, 9, 57513
1447, 3263, 5429, 0, 48815, 6, 57513
1453, 3132, 6137, 0, 48237, 7, 57513
1459, 3272, 6164, 0, 48070, 7, 57513
1465, 3228, 6052, 0, 48222, 11, 57513
1471, 3266, 5959, 0, 48270, 18, 57513
1477, 3269, 5936, 0, 48288, 20, 57513
1483, 3474, 5536, 0, 48482, 21, 57513
1489, 3344, 5439, 0, 48709, 21, 57513
1495, 3470, 4925, 0, 49107, 11, 57513
1501, 3619, 4785, 0, 49100, 9, 57513
1507, 3625, 3884, 0, 49996, 8, 57513
1513, 3599, 3252, 0, 50651, 11, 57513
1519, 3561, 2737, 0, 51204, 11, 57513
1525, 3684, 2352, 0, 51466, 11, 57513
1531, 3451, 1716, 0, 52335, 11, 57513
1537, 3466, 1010, 0, 53011, 26, 57513
1543, 3290, 900, 0, 53298, 25, 57513
1549, 3433, 677, 0, 53346, 57, 57513
1555, 3517, 944, 0, 52994, 58, 57513
1561, 3609, 871, 0, 52975, 58, 57513
1567, 3502, 822, 0, 53132, 57, 57513
1573, 3481, 708, 0, 53267, 57, 57513
1579, 3338, 897, 0, 53259, 19, 57513
1585, 3252, 1535, 0, 52708, 18, 57513
1591, 3188, 2235, 0, 52071, 19, 57513
1597, 3274, 3219, 0, 51000, 20, 57513
