ts, default broker, CrocodileAgent, SPOT, COLDPower18, VidyutVanika, EWIIS3, AgentUDE, Bunnie, total
359, 57511, 0, 0, 0, 0, 0, 0, 0, 57511
360, 57511, 0, 0, 0, 0, 0, 0, 0, 57511
361, 3, 4670, 4, 0, 20313, 29, 3430, 29062, 57511
367, 5, 4661, 3, 0, 20312, 33, 3429, 29068, 57511
373, 3, 4659, 4, 0, 20454, 28, 3787, 28576, 57511
379, 2, 4654, 4, 0, 20529, 25, 3941, 28356, 57511
385, 3, 4633, 4, 0, 20526, 16, 4078, 28251, 57511
391, 2, 4612, 4, 0, 20525, 16, 4290, 28062, 57511
397, 3, 4582, 3, 0, 20524, 13, 4479, 27907, 57511
403, 4, 4453, 4, 0, 20524, 14, 282, 32230, 57511
409, 4, 4423, 2, 0, 20524, 18, 368, 32172, 57511
415, 3, 4142, 1, 0, 20611, 20, 552, 32182, 57511
421, 2, 3872, 1, 0, 20611, 28, 531, 32466, 57511
427, 3, 3632, 2, 0, 20611, 20, 702, 32541, 57511
433, 5, 2784, 1, 0, 17871, 18, 789, 36043, 57511
439, 5, 2284, 1, 0, 16215, 18, 791, 38197, 57511
445, 12, 2002, 1, 0, 14639, 44, 372, 40441, 57511
451, 13, 1488, 20, 0, 12631, 44, 841, 42474, 57511
457, 10, 1298, 23, 0, 11363, 46, 1148, 43623, 57511
463, 3, 1082, 26, 0, 10855, 44, 1283, 44218, 57511
469, 3, 985, 28, 0, 10089, 44, 1422, 44940, 57511
475, 1, 572, 29, 0, 9031, 16, 1951, 45911, 57511
481, 2, 451, 28, 0, 9083, 17, 2082, 45848, 57511
487, 2, 348, 26, 0, 9491, 14, 12, 47618, 57511
493, 1, 510, 21, 0, 11874, 15, 14, 45076, 57511
499, 2, 1100, 13, 0, 14550, 15, 15, 41816, 57511
505, 1, 1737, 9, 0, 16624, 16, 15, 39109, 57511
511, 1, 2866, 7, 0, 18586, 15, 121, 35915, 57511
517, 0, 3765, 6, 0, 20402, 14, 122, 33202, 57511
523, 0, 4682, 2, 0, 23597, 14, 122, 29094, 57511
529, 0, 5225, 4, 0, 24350, 16, 4, 27912, 57511
535, 0, 5443, 2, 0, 25003, 15, 4, 27044, 57511
541, 0, 5371, 2, 0, 24769, 15, 6, 27348, 57511
547, 1, 5336, 2, 0, 24634, 14, 7, 27517, 57511
553, 2, 5208, 2, 0, 24161, 13, 66, 28059, 57511
559, 1, 5164, 2, 0, 23590, 14, 65, 28675, 57511
565, 3, 4983, 2, 0, 22219, 13, 95, 30196, 57511
571, 5, 4695, 1, 0, 20925, 11, 3, 31871, 57511
577, 2, 3979, 1, 0, 18441, 12, 4, 35072, 57511
583, 2, 3594, 1, 0, 17267, 11, 16, 36620, 57511
589, 3, 3155, 1, 0, 16155, 13, 5, 38179, 57511
595, 4, 2460, 1, 0, 14896, 12, 5, 40133, 57511
601, 3, 1670, 1, 0, 13326, 14, 64, 42433, 57511
607, 1, 1129, 1, 0, 12034, 16, 65, 44265, 57511
613, 2, 741, 1, 0, 10683, 14, 95, 45975, 57511
619, 1, 461, 1, 0, 10003, 16, 98, 46931, 57511
625, 15, 313, 1, 0, 9421, 16, 98, 47647, 57511
631, 11, 256, 14, 0, 8996, 15, 114, 48105, 57511
637, 8, 260, 19, 0, 8260, 16, 120, 48828, 57511
643, 7, 225, 25, 0, 7908, 15, 118, 49213, 57511
649, 8, 128, 29, 0, 7698, 14, 106, 49528, 57511
655, 4, 76, 33, 0, 8210, 13, 8, 49167, 57511
661, 4, 37, 34, 0, 10006, 10, 8, 47412, 57511
667, 4, 598, 35, 0, 12963, 11, 5, 43895, 57511
673, 1, 1251, 32, 0, 14936, 14, 7, 41270, 57511
679, 2, 1901, 31, 0, 17833, 13, 8, 37723, 57511
685, 1, 2715, 24, 0, 20140, 10, 10, 34611, 57511
691, 1, 3623, 20, 0, 22232, 9, 8, 31618, 57511
697, 2, 3970, 13, 0, 23626, 9, 8, 29883, 57511
703, 2, 4223, 10, 0, 24085, 11, 5, 29175, 57511
709, 1, 4261, 7, 0, 24407, 16, 5, 28814, 57511
715, 0, 4229, 6, 0, 24266, 17, 5, 28988, 57511
721, 0, 4209, 5, 0, 24193, 17, 6, 29081, 57511
727, 0, 4188, 4, 0, 24018, 18, 8, 29275, 57511
733, 0, 4109, 3, 0, 23428, 17, 8, 29946, 57511
739, 0, 3688, 2, 0, 22438, 17, 36, 31330, 57511
745, 0, 3283, 2, 0, 21113, 17, 112, 32984, 57511
751, 1, 3152, 3, 0, 20592, 16, 111, 33636, 57511
757, 1, 3012, 4, 0, 20080, 16, 112, 34286, 57511
763, 1, 2258, 2, 0, 17458, 15, 113, 37664, 57511
