ts, default broker, COLDPower18, VidyutVanika, AgentUDE, Bunnie, total
1165, 3, 0, 53707, 8, 3788, 57506
1171, 3, 0, 54432, 8, 3063, 57506
1177, 3, 0, 54862, 8, 2633, 57506
1183, 3, 0, 14242, 10, 43251, 57506
1189, 3, 0, 14313, 10, 43180, 57506
1195, 3, 0, 24790, 9, 32704, 57506
1201, 2, 0, 9978, 11, 47515, 57506
1207, 4, 0, 8830, 9, 48663, 57506
1213, 3, 0, 8189, 9, 49305, 57506
1219, 4, 0, 7983, 9, 49510, 57506
1225, 5, 0, 7949, 9, 49543, 57506
1231, 5, 0, 8043, 9, 49449, 57506
1237, 4, 0, 11302, 9, 46191, 57506
1243, 5, 0, 13887, 7, 43607, 57506
1249, 5, 0, 16801, 6, 40694, 57506
1255, 4, 0, 19095, 6, 38401, 57506
1261, 7, 0, 20997, 6, 36496, 57506
1267, 6, 0, 23137, 7, 34356, 57506
1273, 5, 0, 24303, 7, 33191, 57506
1279, 7, 0, 25104, 8, 32387, 57506
1285, 7, 0, 25078, 7, 32414, 57506
1291, 7, 0, 24846, 4, 32649, 57506
1297, 5, 0, 24707, 6, 32788, 57506
1303, 6, 0, 24652, 7, 32841, 57506
1309, 4, 0, 23702, 9, 33791, 57506
1315, 6, 0, 21390, 6, 36104, 57506
1321, 7, 0, 20087, 8, 37404, 57506
1327, 10, 0, 18326, 6, 39164, 57506
1333, 8, 0, 16720, 7, 40771, 57506
1339, 8, 0, 15002, 7, 42489, 57506
1345, 5, 0, 13780, 10, 43711, 57506
1351, 5, 0, 12925, 12, 44564, 57506
1357, 5, 0, 11089, 13, 46399, 57506
1363, 5, 0, 10390, 12, 47099, 57506
1369, 7, 0, 9740, 10, 47749, 57506
1375, 6, 0, 9248, 10, 48242, 57506
1381, 7, 0, 9032, 10, 48457, 57506
1387, 8, 0, 8653, 9, 48836, 57506
1393, 10, 0, 8421, 7, 49068, 57506
1399, 6, 0, 8890, 8, 48602, 57506
1405, 6, 0, 10043, 9, 47448, 57506
1411, 8, 0, 11905, 10, 45583, 57506
1417, 4, 0, 16614, 13, 40875, 57506
1423, 5, 0, 18612, 11, 38878, 57506
1429, 5, 0, 21341, 10, 36150, 57506
1435, 3, 0, 23521, 11, 33971, 57506
1441, 5, 0, 25401, 10, 32090, 57506
1447, 3, 0, 25951, 11, 31541, 57506
1453, 4, 0, 25743, 9, 31750, 57506
1459, 1, 0, 25534, 10, 31961, 57506
1465, 3, 0, 25350, 9, 32144, 57506
1471, 4, 0, 25060, 7, 32435, 57506
1477, 6, 0, 24389, 7, 33104, 57506
1483, 3, 0, 23409, 11, 34083, 57506
1489, 3, 0, 21241, 11, 36251, 57506
1495, 5, 0, 19776, 7, 37718, 57506
1501, 6, 0, 17026, 7, 40467, 57506
1507, 5, 0, 15558, 9, 41934, 57506
1513, 5, 0, 13354, 8, 44139, 57506
1519, 9, 0, 11609, 7, 45881, 57506
1525, 7, 0, 10502, 9, 46988, 57506
1531, 9, 0, 9630, 8, 47859, 57506
1537, 6, 0, 8950, 12, 48538, 57506
1543, 6, 0, 8814, 13, 48673, 57506
1549, 5, 0, 8548, 14, 48939, 57506
1555, 6, 0, 8174, 13, 49313, 57506
1561, 5, 0, 8070, 12, 49419, 57506
1567, 4, 0, 8257, 12, 49233, 57506
1573, 6, 0, 9656, 11, 47833, 57506
1579, 6, 0, 12008, 10, 45482, 57506
1585, 3, 0, 15941, 14, 41548, 57506
1591, 3, 0, 18628, 14, 38861, 57506
1597, 2, 0, 21410, 12, 36082, 57506
1603, 3, 0, 23110, 12, 34381, 57506
1609, 2, 0, 24898, 13, 32593, 57506
1615, 4, 0, 25270, 14, 32218, 57506
1621, 2, 0, 25263, 13, 32228, 57506
1627, 4, 0, 25062, 12, 32428, 57506
1633, 3, 0, 24927, 14, 32562, 57506
1639, 3, 0, 24740, 11, 32752, 57506
1645, 4, 0, 24340, 12, 33150, 57506
1651, 3, 0, 22979, 13, 34511, 57506
1657, 2, 0, 21662, 11, 35831, 57506
1663, 4, 0, 19349, 11, 38142, 57506
1669, 4, 0, 16642, 9, 40851, 57506
1675, 4, 0, 14170, 9, 43323, 57506
1681, 2, 0, 12068, 10, 45426, 57506
1687, 5, 0, 11595, 7, 45899, 57506
1693, 4, 0, 10846, 8, 46648, 57506
1699, 3, 0, 10167, 9, 47327, 57506
1705, 4, 0, 9215, 8, 48279, 57506
1711, 4, 0, 8508, 8, 48986, 57506
1717, 3, 0, 8198, 8, 49297, 57506
1723, 4, 0, 8045, 9, 49448, 57506
1729, 4, 0, 8019, 10, 49473, 57506
1735, 2, 0, 8940, 10, 48554, 57506
1741, 3, 0, 10271, 10, 47222, 57506
1747, 6, 0, 12221, 8, 45271, 57506
1753, 4, 0, 14275, 12, 43215, 57506
1759, 24, 0, 16152, 11, 41319, 57506
1765, 23, 0, 17931, 28, 39524, 57506
1771, 27, 0, 19567, 39, 37873, 57506
1777, 22, 0, 23326, 43, 34115, 57506
1783, 23, 0, 24050, 47, 33386, 57506
1789, 23, 0, 24084, 44, 33355, 57506
1795, 21, 0, 23812, 45, 33628, 57506
1801, 19, 0, 23675, 23, 33789, 57506
1807, 6, 0, 22952, 18, 34530, 57506
1813, 9, 0, 22653, 12, 34832, 57506
1819, 9, 0, 21979, 8, 35510, 57506
1825, 3, 0, 20898, 10, 36595, 57506
1831, 6, 0, 19608, 8, 37884, 57506
1837, 3, 0, 17659, 10, 39834, 57506
1843, 1, 0, 15819, 10, 41676, 57506
1849, 5, 0, 13099, 10, 44392, 57506
1855, 4, 0, 11360, 10, 46132, 57506
1861, 20, 0, 9928, 10, 47548, 57506
1867, 18, 0, 9562, 36, 47890, 57506
1873, 29, 0, 7855, 46, 49576, 57506
1879, 24, 0, 7244, 52, 50186, 57506
