ts, default broker, COLDPower18, AgentUDE, total
359, 57515, 0, 0, 57515
360, 57515, 0, 0, 57515
361, 16317, 0, 41198, 57515
367, 13469, 0, 44046, 57515
373, 11350, 0, 46165, 57515
379, 10580, 0, 46935, 57515
385, 9642, 0, 47873, 57515
391, 9239, 0, 48276, 57515
397, 8704, 0, 48811, 57515
403, 23207, 0, 34308, 57515
409, 11824, 0, 45691, 57515
415, 9806, 0, 47709, 57515
421, 8106, 0, 49409, 57515
427, 7898, 0, 49617, 57515
433, 7525, 0, 49990, 57515
439, 7494, 0, 50021, 57515
445, 47314, 0, 10201, 57515
451, 51231, 0, 6284, 57515
457, 44672, 0, 12843, 57515
463, 44448, 0, 13067, 57515
469, 41342, 0, 16173, 57515
475, 40798, 0, 16717, 57515
481, 33541, 0, 23974, 57515
487, 42561, 0, 14954, 57515
493, 30038, 0, 27477, 57515
499, 26639, 0, 30876, 57515
505, 16049, 0, 41466, 57515
511, 13123, 0, 44392, 57515
517, 11938, 0, 45577, 57515
523, 11035, 0, 46480, 57515
529, 24604, 0, 32911, 57515
535, 16352, 0, 41163, 57515
541, 10365, 0, 47150, 57515
547, 9295, 0, 48220, 57515
553, 8213, 0, 49302, 57515
559, 7683, 0, 49832, 57515
565, 7491, 0, 50024, 57515
571, 7720, 0, 49795, 57515
577, 7171, 0, 50344, 57515
583, 7142, 0, 50373, 57515
589, 7134, 0, 50381, 57515
595, 7129, 0, 50386, 57515
601, 7134, 0, 50381, 57515
607, 7131, 0, 50384, 57515
613, 7161, 0, 50354, 57515
619, 7150, 0, 50365, 57515
625, 7117, 0, 50398, 57515
631, 7117, 0, 50398, 57515
637, 7117, 0, 50398, 57515
643, 7116, 0, 50399, 57515
649, 7117, 0, 50398, 57515
655, 7139, 0, 50376, 57515
661, 7123, 0, 50392, 57515
667, 7116, 0, 50399, 57515
673, 7116, 0, 50399, 57515
679, 7103, 0, 50412, 57515
685, 7096, 0, 50419, 57515
691, 7093, 0, 50422, 57515
697, 7279, 0, 50236, 57515
703, 7183, 0, 50332, 57515
709, 7153, 0, 50362, 57515
715, 7153, 0, 50362, 57515
721, 7154, 0, 50361, 57515
727, 7136, 0, 50379, 57515
733, 7134, 0, 50381, 57515
739, 7114, 0, 50401, 57515
745, 7097, 0, 50418, 57515
751, 7096, 0, 50419, 57515
757, 7093, 0, 50422, 57515
763, 7093, 0, 50422, 57515
769, 7094, 0, 50421, 57515
775, 7093, 0, 50422, 57515
781, 7628, 0, 49887, 57515
787, 7481, 0, 50034, 57515
793, 7203, 0, 50312, 57515
799, 7165, 0, 50350, 57515
805, 7157, 0, 50358, 57515
811, 7152, 0, 50363, 57515
817, 7151, 0, 50364, 57515
823, 8832, 0, 48683, 57515
829, 8171, 0, 49344, 57515
835, 8150, 0, 49365, 57515
841, 7726, 0, 49789, 57515
847, 7569, 0, 49946, 57515
853, 7448, 0, 50067, 57515
859, 7401, 0, 50114, 57515
865, 7330, 0, 50185, 57515
871, 7165, 0, 50350, 57515
877, 7154, 0, 50361, 57515
883, 7156, 0, 50359, 57515
889, 7146, 0, 50369, 57515
895, 7144, 0, 50371, 57515
901, 7145, 0, 50370, 57515
907, 7730, 0, 49785, 57515
913, 7248, 0, 50267, 57515
919, 7188, 0, 50327, 57515
925, 7188, 0, 50327, 57515
931, 7170, 0, 50345, 57515
937, 7170, 0, 50345, 57515
943, 7167, 0, 50348, 57515
949, 10456, 0, 47059, 57515
955, 9589, 0, 47926, 57515
961, 8889, 0, 48626, 57515
967, 8715, 0, 48800, 57515
973, 8521, 0, 48994, 57515
979, 8445, 0, 49070, 57515
985, 8226, 0, 49289, 57515
991, 10444, 0, 47071, 57515
997, 9299, 0, 48216, 57515
1003, 9091, 0, 48424, 57515
1009, 8767, 0, 48748, 57515
1015, 8788, 0, 48727, 57515
1021, 8601, 0, 48914, 57515
1027, 8303, 0, 49212, 57515
1033, 7422, 0, 50093, 57515
1039, 7479, 0, 50036, 57515
1045, 7260, 0, 50255, 57515
1051, 7195, 0, 50320, 57515
1057, 7195, 0, 50320, 57515
1063, 7194, 0, 50321, 57515
1069, 7197, 0, 50318, 57515
1075, 23750, 0, 33765, 57515
1081, 10814, 0, 46701, 57515
1087, 12801, 0, 44714, 57515
1093, 9630, 0, 47885, 57515
1099, 13575, 0, 43940, 57515
1105, 10087, 0, 47428, 57515
1111, 9852, 0, 47663, 57515
1117, 12560, 0, 44955, 57515
1123, 12386, 0, 45129, 57515
1129, 11521, 0, 45994, 57515
1135, 10926, 0, 46589, 57515
1141, 10429, 0, 47086, 57515
1147, 10020, 0, 47495, 57515
1153, 9508, 0, 48007, 57515
