ts, default broker, CrocodileAgent, VidyutVanika, AgentUDE, Bunnie, total
359, 57520, 0, 0, 0, 0, 57520
360, 57520, 0, 0, 0, 0, 57520
361, 3, 55, 7447, 29142, 20873, 57520
367, 0, 57, 7448, 29146, 20869, 57520
373, 0, 85, 8480, 31965, 16990, 57520
379, 1, 367, 9560, 33953, 13639, 57520
385, 0, 844, 10470, 35768, 10438, 57520
391, 0, 975, 10925, 36532, 9088, 57520
397, 1, 1067, 11328, 37051, 8073, 57520
403, 2, 4270, 23816, 3874, 25558, 57520
409, 2, 4717, 24805, 1291, 26705, 57520
415, 1, 4713, 25020, 1044, 26742, 57520
421, 2, 4710, 25083, 1054, 26671, 57520
427, 3, 4711, 25082, 1103, 26621, 57520
433, 3, 4714, 24989, 1185, 26629, 57520
439, 4, 4711, 24938, 1335, 26532, 57520
445, 2, 4643, 24575, 287, 28013, 57520
451, 1, 4252, 24234, 213, 28820, 57520
457, 1, 3856, 23749, 186, 29728, 57520
463, 2, 3554, 23525, 190, 30249, 57520
469, 2, 3135, 22712, 189, 31482, 57520
475, 2, 2564, 20985, 277, 33692, 57520
481, 1, 1641, 17813, 309, 37756, 57520
487, 1, 1280, 15265, 131, 40843, 57520
493, 2, 1003, 13456, 490, 42569, 57520
499, 2, 664, 12033, 550, 44271, 57520
505, 2, 512, 11205, 653, 45148, 57520
511, 2, 352, 10158, 791, 46217, 57520
517, 1, 363, 9897, 791, 46468, 57520
523, 0, 273, 9054, 911, 47282, 57520
529, 3, 214, 8297, 885, 48121, 57520
535, 3, 121, 7846, 1365, 48185, 57520
541, 2, 271, 9957, 1689, 45601, 57520
547, 2, 275, 11404, 2064, 43775, 57520
553, 3, 1081, 12574, 2912, 40950, 57520
559, 2, 1286, 13497, 3118, 39617, 57520
565, 2, 2466, 16693, 3379, 34980, 57520
571, 1, 3424, 19561, 275, 34259, 57520
577, 1, 4215, 20788, 384, 32132, 57520
583, 1, 4185, 21145, 543, 31646, 57520
589, 1, 4380, 21424, 820, 30895, 57520
595, 1, 4377, 21359, 1076, 30707, 57520
601, 16, 4378, 21155, 1074, 30897, 57520
607, 18, 4380, 21075, 1186, 30861, 57520
613, 19, 4305, 20335, 727, 32134, 57520
619, 15, 4076, 19501, 672, 33256, 57520
625, 17, 3695, 18440, 938, 34430, 57520
631, 6, 3427, 18138, 981, 34968, 57520
637, 1, 3118, 16709, 1281, 36411, 57520
643, 2, 2609, 15377, 1546, 37986, 57520
649, 3, 1694, 12897, 1779, 41147, 57520
655, 4, 1135, 11351, 213, 44817, 57520
661, 3, 680, 10381, 221, 46235, 57520
667, 5, 540, 9579, 219, 47177, 57520
673, 5, 430, 9108, 213, 47764, 57520
679, 3, 400, 8888, 355, 47874, 57520
685, 3, 202, 8458, 1021, 47836, 57520
691, 2, 149, 8248, 1024, 48097, 57520
697, 2, 155, 8142, 699, 48522, 57520
703, 2, 156, 8202, 674, 48486, 57520
709, 3, 130, 11062, 1645, 44680, 57520
715, 3, 364, 14537, 1786, 40830, 57520
721, 0, 584, 16275, 2020, 38641, 57520
727, 2, 1491, 17678, 2127, 36222, 57520
733, 0, 3081, 20752, 2746, 30941, 57520
739, 0, 4001, 23808, 326, 29385, 57520
745, 2, 4334, 24457, 135, 28592, 57520
751, 1, 4507, 24484, 205, 28323, 57520
757, 1, 4520, 24592, 209, 28198, 57520
763, 2, 4519, 24491, 210, 28298, 57520
769, 3, 4530, 24337, 213, 28437, 57520
775, 2, 4508, 24274, 216, 28520, 57520
781, 2, 4429, 22486, 1309, 29294, 57520
787, 2, 4245, 20580, 2453, 30240, 57520
793, 1, 4163, 19925, 3036, 30395, 57520
799, 2, 3717, 18522, 4083, 31196, 57520
805, 2, 3357, 17091, 5318, 31752, 57520
811, 2, 2688, 15184, 6422, 33224, 57520
817, 3, 1639, 12312, 8852, 34714, 57520
823, 1, 1308, 11544, 1628, 43039, 57520
829, 1, 981, 10160, 1763, 44615, 57520
835, 1, 813, 9690, 2142, 44874, 57520
841, 0, 422, 8697, 4908, 43493, 57520
847, 0, 370, 8506, 5022, 43622, 57520
853, 0, 348, 8018, 5367, 43787, 57520
859, 0, 179, 8072, 6517, 42752, 57520
865, 1, 182, 11743, 562, 45032, 57520
871, 2, 436, 8704, 687, 47691, 57520
877, 2, 677, 9949, 816, 46076, 57520
883, 1, 593, 22283, 814, 33829, 57520
889, 2, 750, 30768, 811, 25189, 57520
895, 2, 2383, 19657, 941, 34537, 57520
901, 2, 2369, 26644, 896, 27609, 57520
907, 2, 2336, 35937, 705, 18540, 57520
913, 3, 2334, 42749, 530, 11904, 57520
919, 2, 2333, 44941, 373, 9871, 57520
925, 2, 2332, 47639, 343, 7204, 57520
931, 2, 2185, 49614, 224, 5495, 57520
937, 2, 2082, 50222, 272, 4942, 57520
943, 2, 1760, 51669, 205, 3884, 57520
949, 2, 1590, 52605, 184, 3139, 57520
955, 1, 1332, 53544, 116, 2527, 57520
961, 1, 1210, 53443, 96, 2770, 57520
967, 3, 1048, 53814, 95, 2560, 57520
973, 3, 966, 54297, 93, 2161, 57520
979, 2, 836, 54466, 92, 2124, 57520
985, 3, 597, 53930, 90, 2900, 57520
991, 3, 507, 53953, 70, 2987, 57520
997, 1, 327, 54969, 63, 2160, 57520
1003, 1, 206, 55304, 63, 1946, 57520
1009, 2, 148, 55553, 65, 1752, 57520
1015, 2, 178, 55093, 34, 2213, 57520
1021, 1, 189, 55031, 34, 2265, 57520
1027, 2, 160, 55109, 34, 2215, 57520
1033, 2, 164, 52929, 1153, 3272, 57520
1039, 2, 237, 13202, 10975, 33104, 57520
1045, 1, 241, 10414, 11976, 34888, 57520
1051, 1, 210, 18203, 12151, 26955, 57520
1057, 0, 238, 22470, 12719, 22093, 57520
1063, 1, 301, 24808, 12706, 19704, 57520
1069, 1, 400, 28307, 12726, 16086, 57520
1075, 0, 496, 32553, 12430, 12041, 57520
1081, 1, 586, 37551, 9645, 9737, 57520
1087, 1, 615, 40940, 7905, 8059, 57520
1093, 1, 585, 44070, 6120, 6744, 57520
1099, 2, 554, 47319, 4088, 5557, 57520
1105, 1, 495, 48845, 3515, 4664, 57520
1111, 1, 495, 49328, 3100, 4596, 57520
1117, 1, 474, 50948, 2133, 3964, 57520
1123, 1, 421, 52026, 1795, 3277, 57520
1129, 1, 393, 51204, 2163, 3759, 57520
1135, 1, 360, 51257, 2164, 3738, 57520
1141, 1, 360, 51195, 2461, 3503, 57520
1147, 1, 224, 51478, 2212, 3605, 57520
1153, 3, 223, 51257, 2109, 3928, 57520
1159, 2, 163, 52111, 1876, 3368, 57520
1165, 2, 158, 53082, 1778, 2500, 57520
1171, 2, 100, 53871, 1511, 2036, 57520
1177, 2, 76, 52748, 1929, 2765, 57520
1183, 2, 66, 10114, 11910, 35428, 57520
1189, 0, 37, 11056, 11523, 34904, 57520
1195, 2, 15, 19619, 11484, 26400, 57520
1201, 1, 19, 8450, 7025, 42025, 57520
1207, 2, 20, 7733, 7167, 42598, 57520
1213, 2, 20, 10858, 8275, 38365, 57520
1219, 1, 596, 12420, 8847, 35656, 57520
1225, 2, 1348, 14873, 10078, 31219, 57520
1231, 4, 1863, 16590, 10256, 28807, 57520
