ts, default broker, EWIIS3, AgentUDE, total
359, 57506, 0, 0, 57506
360, 57506, 0, 0, 57506
361, 7116, 17910, 32480, 57506
367, 7113, 14295, 36098, 57506
373, 7112, 11806, 38588, 57506
379, 7110, 11051, 39345, 57506
385, 7110, 9047, 41349, 57506
391, 7110, 8667, 41729, 57506
397, 7110, 7788, 42608, 57506
403, 7108, 5621, 44777, 57506
409, 7105, 3322, 47079, 57506
415, 7104, 3319, 47083, 57506
421, 7104, 2747, 47655, 57506
427, 7104, 2025, 48377, 57506
433, 7102, 1832, 48572, 57506
439, 7102, 1524, 48880, 57506
445, 7097, 1405, 49004, 57506
451, 7097, 1112, 49297, 57506
457, 7097, 1021, 49388, 57506
463, 7095, 845, 49566, 57506
469, 7071, 725, 49710, 57506
475, 7059, 549, 49898, 57506
481, 7057, 520, 49929, 57506
487, 7056, 454, 49996, 57506
493, 7068, 324, 50114, 57506
499, 7078, 205, 50223, 57506
505, 7087, 173, 50246, 57506
511, 7089, 143, 50274, 57506
517, 7089, 141, 50276, 57506
523, 7091, 140, 50275, 57506
529, 7095, 142, 50269, 57506
535, 7094, 122, 50290, 57506
541, 7094, 122, 50290, 57506
547, 7095, 111, 50300, 57506
553, 7095, 88, 50323, 57506
559, 7096, 86, 50324, 57506
565, 7096, 87, 50323, 57506
571, 7095, 89, 50322, 57506
577, 7094, 88, 50324, 57506
583, 7093, 69, 50344, 57506
589, 7092, 69, 50345, 57506
595, 7092, 69, 50345, 57506
601, 7092, 69, 50345, 57506
607, 7092, 69, 50345, 57506
613, 7095, 70, 50341, 57506
619, 7094, 71, 50341, 57506
625, 7094, 71, 50341, 57506
631, 7095, 69, 50342, 57506
637, 7096, 69, 50341, 57506
643, 7096, 70, 50340, 57506
649, 7096, 69, 50341, 57506
655, 7096, 67, 50343, 57506
661, 7097, 67, 50342, 57506
667, 7094, 69, 50343, 57506
673, 7093, 70, 50343, 57506
679, 7092, 69, 50345, 57506
685, 7092, 68, 50346, 57506
691, 7094, 68, 50344, 57506
697, 7096, 69, 50341, 57506
703, 7096, 70, 50340, 57506
709, 7096, 69, 50341, 57506
715, 7096, 69, 50341, 57506
721, 7095, 69, 50342, 57506
727, 7094, 70, 50342, 57506
733, 7094, 72, 50340, 57506
739, 7094, 72, 50340, 57506
745, 7094, 72, 50340, 57506
751, 7094, 72, 50340, 57506
757, 7095, 71, 50340, 57506
763, 7095, 69, 50342, 57506
769, 7095, 70, 50341, 57506
775, 7095, 69, 50342, 57506
781, 7093, 71, 50342, 57506
787, 7094, 70, 50342, 57506
793, 7094, 69, 50343, 57506
799, 7094, 68, 50344, 57506
805, 7095, 68, 50343, 57506
811, 7095, 69, 50342, 57506
817, 7095, 68, 50343, 57506
823, 7096, 67, 50343, 57506
829, 7096, 69, 50341, 57506
835, 7096, 69, 50341, 57506
841, 7096, 68, 50342, 57506
847, 7097, 68, 50341, 57506
853, 7096, 69, 50341, 57506
859, 7096, 69, 50341, 57506
865, 7096, 69, 50341, 57506
871, 7097, 68, 50341, 57506
877, 7095, 69, 50342, 57506
883, 7095, 69, 50342, 57506
889, 7095, 69, 50342, 57506
895, 7095, 70, 50341, 57506
901, 7095, 70, 50341, 57506
907, 7094, 71, 50341, 57506
913, 7094, 70, 50342, 57506
919, 7094, 61, 50351, 57506
925, 7094, 60, 50352, 57506
931, 7092, 60, 50354, 57506
937, 7093, 59, 50354, 57506
943, 7093, 58, 50355, 57506
949, 7095, 58, 50353, 57506
955, 7095, 59, 50352, 57506
961, 7096, 57, 50353, 57506
967, 7095, 60, 50351, 57506
973, 7094, 61, 50351, 57506
979, 7094, 60, 50352, 57506
985, 7093, 60, 50353, 57506
991, 7096, 60, 50350, 57506
997, 7096, 60, 50350, 57506
1003, 7096, 60, 50350, 57506
1009, 7096, 60, 50350, 57506
1015, 7096, 61, 50349, 57506
1021, 7096, 60, 50350, 57506
1027, 7095, 61, 50350, 57506
1033, 7095, 62, 50349, 57506
1039, 7095, 61, 50350, 57506
1045, 7096, 60, 50350, 57506
1051, 7096, 60, 50350, 57506
1057, 7095, 60, 50351, 57506
1063, 7095, 60, 50351, 57506
1069, 7095, 61, 50350, 57506
1075, 7094, 62, 50350, 57506
1081, 7094, 64, 50348, 57506
1087, 7094, 64, 50348, 57506
1093, 7094, 63, 50349, 57506
1099, 7094, 63, 50349, 57506
1105, 7094, 61, 50351, 57506
1111, 7094, 61, 50351, 57506
1117, 7094, 60, 50352, 57506
1123, 7094, 60, 50352, 57506
1129, 7094, 59, 50353, 57506
1135, 7094, 59, 50353, 57506
1141, 7094, 62, 50350, 57506
1147, 7094, 61, 50351, 57506
1153, 7094, 58, 50354, 57506
1159, 7095, 58, 50353, 57506
1165, 7096, 56, 50354, 57506
1171, 7094, 58, 50354, 57506
1177, 7094, 58, 50354, 57506
1183, 7093, 59, 50354, 57506
1189, 7092, 59, 50355, 57506
1195, 7092, 59, 50355, 57506
1201, 7101, 61, 50344, 57506
1207, 7099, 61, 50346, 57506
1213, 7100, 61, 50345, 57506
1219, 7100, 61, 50345, 57506
1225, 7100, 61, 50345, 57506
1231, 7099, 63, 50344, 57506
1237, 7099, 58, 50349, 57506
1243, 7098, 58, 50350, 57506
1249, 7097, 57, 50352, 57506
1255, 7097, 57, 50352, 57506
1261, 7097, 56, 50353, 57506
1267, 7097, 58, 50351, 57506
1273, 7097, 59, 50350, 57506
1279, 7097, 60, 50349, 57506
1285, 7097, 61, 50348, 57506
1291, 7098, 59, 50349, 57506
1297, 7098, 60, 50348, 57506
1303, 7097, 61, 50348, 57506
1309, 7097, 60, 50349, 57506
1315, 7098, 60, 50348, 57506
1321, 7098, 60, 50348, 57506
1327, 7098, 64, 50344, 57506
1333, 7097, 59, 50350, 57506
1339, 7097, 58, 50351, 57506
1345, 7095, 58, 50353, 57506
1351, 7095, 58, 50353, 57506
1357, 7095, 58, 50353, 57506
1363, 7094, 59, 50353, 57506
1369, 7095, 61, 50350, 57506
1375, 7094, 62, 50350, 57506
1381, 7093, 62, 50351, 57506
1387, 7092, 63, 50351, 57506
1393, 7091, 61, 50354, 57506
1399, 7091, 61, 50354, 57506
1405, 7091, 62, 50353, 57506
1411, 7094, 63, 50349, 57506
1417, 7094, 63, 50349, 57506
1423, 7094, 61, 50351, 57506
1429, 7094, 62, 50350, 57506
1435, 7095, 61, 50350, 57506
1441, 7095, 60, 50351, 57506
1447, 7095, 60, 50351, 57506
1453, 7095, 59, 50352, 57506
1459, 7095, 59, 50352, 57506
1465, 7095, 61, 50350, 57506
1471, 7095, 61, 50350, 57506
1477, 7096, 61, 50349, 57506
1483, 7097, 62, 50347, 57506
1489, 7097, 61, 50348, 57506
1495, 7096, 61, 50349, 57506
1501, 7074, 60, 50372, 57506
1507, 7066, 60, 50380, 57506
1513, 7075, 59, 50372, 57506
1519, 7084, 59, 50363, 57506
1525, 7090, 59, 50357, 57506
1531, 7093, 58, 50355, 57506
1537, 7096, 59, 50351, 57506
1543, 7095, 61, 50350, 57506
1549, 7094, 62, 50350, 57506
1555, 7094, 61, 50351, 57506
1561, 7094, 59, 50353, 57506
1567, 7095, 60, 50351, 57506
1573, 7095, 59, 50352, 57506
1579, 7097, 59, 50350, 57506
1585, 7097, 59, 50350, 57506
1591, 7097, 59, 50350, 57506
1597, 7097, 59, 50350, 57506
1603, 7099, 57, 50350, 57506
1609, 7098, 58, 50350, 57506
1615, 7098, 59, 50349, 57506
1621, 7100, 58, 50348, 57506
1627, 7100, 57, 50349, 57506
1633, 7101, 57, 50348, 57506
1639, 7101, 57, 50348, 57506
1645, 7100, 59, 50347, 57506
1651, 7100, 58, 50348, 57506
1657, 7099, 57, 50350, 57506
1663, 7095, 60, 50351, 57506
1669, 7096, 59, 50351, 57506
1675, 7095, 61, 50350, 57506
1681, 7094, 60, 50352, 57506
1687, 7094, 60, 50352, 57506
1693, 7094, 59, 50353, 57506
1699, 7094, 59, 50353, 57506
1705, 7095, 61, 50350, 57506
1711, 7095, 61, 50350, 57506
1717, 7095, 61, 50350, 57506
1723, 7095, 61, 50350, 57506
1729, 7095, 61, 50350, 57506
1735, 7094, 61, 50351, 57506
1741, 7094, 60, 50352, 57506
1747, 7095, 59, 50352, 57506
1753, 7095, 59, 50352, 57506
1759, 7095, 59, 50352, 57506
1765, 7094, 59, 50353, 57506
1771, 7094, 58, 50354, 57506
1777, 7094, 59, 50353, 57506
1783, 7094, 59, 50353, 57506
1789, 7094, 60, 50352, 57506
1795, 7094, 60, 50352, 57506
1801, 7094, 60, 50352, 57506
1807, 7094, 60, 50352, 57506
1813, 7094, 72, 50340, 57506
1819, 7095, 61, 50350, 57506
1825, 7095, 63, 50348, 57506
1831, 7095, 63, 50348, 57506
1837, 7094, 62, 50350, 57506
1843, 7092, 63, 50351, 57506
1849, 7093, 61, 50352, 57506
1855, 7094, 62, 50350, 57506
1861, 7094, 61, 50351, 57506
1867, 7067, 57, 50382, 57506
