ts, default broker, CrocodileAgent, SPOT, COLDPower18, AgentUDE, total
1129, 6909, 5851, 42165, 0, 2586, 57511
1135, 6910, 6167, 40884, 0, 3550, 57511
1141, 6752, 6910, 35705, 0, 8144, 57511
1147, 6700, 8519, 38442, 0, 3850, 57511
1153, 6768, 9343, 35476, 0, 5924, 57511
1159, 6681, 15383, 31463, 0, 3984, 57511
1165, 6700, 29152, 17527, 0, 4132, 57511
1171, 6662, 39843, 8392, 0, 2614, 57511
1177, 6675, 45561, 3957, 0, 1318, 57511
1183, 6671, 47535, 3049, 0, 256, 57511
1189, 6607, 50537, 320, 0, 47, 57511
1195, 6725, 50678, 93, 0, 15, 57511
1201, 6639, 50771, 93, 0, 8, 57511
1207, 6703, 50704, 93, 0, 11, 57511
1213, 6718, 50693, 92, 0, 8, 57511
1219, 6773, 50635, 95, 0, 8, 57511
1225, 6771, 50637, 91, 0, 12, 57511
1231, 6685, 50723, 94, 0, 9, 57511
1237, 6670, 50730, 98, 0, 13, 57511
1243, 6670, 50075, 760, 0, 6, 57511
1249, 6655, 48445, 2404, 0, 7, 57511
1255, 6603, 45635, 4915, 0, 358, 57511
1261, 6629, 38245, 11875, 0, 762, 57511
1267, 6712, 22749, 27295, 0, 755, 57511
1273, 6740, 14906, 34841, 0, 1024, 57511
1279, 6848, 11263, 38044, 0, 1356, 57511
1285, 6755, 11197, 39123, 0, 436, 57511
1291, 6798, 9588, 40022, 0, 1103, 57511
1297, 6837, 9222, 39527, 0, 1925, 57511
1303, 6827, 7497, 40480, 0, 2707, 57511
1309, 6715, 7236, 37806, 0, 5754, 57511
1315, 6706, 6505, 36605, 0, 7695, 57511
1321, 6728, 10462, 30316, 0, 10005, 57511
1327, 6793, 19316, 28869, 0, 2533, 57511
1333, 6830, 28640, 19089, 0, 2952, 57511
1339, 6849, 40702, 6958, 0, 3002, 57511
1345, 6783, 45437, 2205, 0, 3086, 57511
1351, 6711, 46345, 1374, 0, 3081, 57511
1357, 6814, 46312, 1304, 0, 3081, 57511
1363, 6796, 46384, 1248, 0, 3083, 57511
1369, 6817, 50103, 366, 0, 225, 57511
1375, 6795, 50530, 180, 0, 6, 57511
1381, 6636, 50777, 94, 0, 4, 57511
1387, 6662, 50751, 91, 0, 7, 57511
1393, 6683, 50726, 94, 0, 8, 57511
1399, 6671, 50742, 92, 0, 6, 57511
1405, 6694, 50614, 195, 0, 8, 57511
1411, 6691, 49614, 1200, 0, 6, 57511
1417, 6676, 46949, 3507, 0, 379, 57511
1423, 6725, 43980, 6215, 0, 591, 57511
1429, 6645, 35693, 13595, 0, 1578, 57511
1435, 6716, 20032, 28485, 0, 2278, 57511
1441, 6739, 11908, 35865, 0, 2999, 57511
1447, 6715, 8804, 38645, 0, 3347, 57511
1453, 6785, 3597, 42871, 0, 4258, 57511
1459, 6757, 1734, 45697, 0, 3323, 57511
1465, 6807, 1308, 45734, 0, 3662, 57511
1471, 6711, 1282, 46111, 0, 3407, 57511
1477, 6707, 2343, 42337, 0, 6124, 57511
1483, 6810, 3104, 41044, 0, 6553, 57511
1489, 6831, 6095, 38117, 0, 6468, 57511
1495, 6805, 17750, 32496, 0, 460, 57511
1501, 6865, 28306, 22096, 0, 244, 57511
1507, 6817, 39926, 10502, 0, 266, 57511
1513, 6809, 47993, 2341, 0, 368, 57511
1519, 6707, 49795, 641, 0, 368, 57511
1525, 6783, 50192, 168, 0, 368, 57511
1531, 6733, 50296, 113, 0, 369, 57511
1537, 6749, 50629, 93, 0, 40, 57511
1543, 6680, 50726, 97, 0, 8, 57511
1549, 6657, 50754, 93, 0, 7, 57511
1555, 6739, 50670, 92, 0, 10, 57511
1561, 6693, 50718, 93, 0, 7, 57511
1567, 6797, 50615, 91, 0, 8, 57511
1573, 6683, 50723, 92, 0, 13, 57511
1579, 6736, 49807, 958, 0, 10, 57511
1585, 6695, 47277, 3199, 0, 340, 57511
1591, 6717, 43804, 5880, 0, 1110, 57511
1597, 6801, 35974, 12164, 0, 2572, 57511
1603, 6846, 15010, 31055, 0, 4600, 57511
1609, 6742, 7599, 37791, 0, 5379, 57511
1615, 6831, 4410, 40710, 0, 5560, 57511
1621, 6820, 3249, 45062, 0, 2380, 57511
1627, 6822, 1200, 47211, 0, 2278, 57511
1633, 6816, 2143, 46016, 0, 2536, 57511
1639, 6821, 2326, 45628, 0, 2736, 57511
1645, 6630, 3312, 42532, 0, 5037, 57511
1651, 6525, 3957, 41553, 0, 5476, 57511
1657, 6644, 4989, 38514, 0, 7364, 57511
1663, 6650, 11658, 37405, 0, 1798, 57511
1669, 6749, 27024, 21294, 0, 2444, 57511
1675, 6805, 40824, 9148, 0, 734, 57511
1681, 6831, 47833, 2734, 0, 113, 57511
1687, 6804, 49127, 1568, 0, 12, 57511
1693, 6849, 49248, 1403, 0, 11, 57511
1699, 6861, 49240, 1398, 0, 12, 57511
1705, 6801, 50493, 184, 0, 33, 57511
1711, 6843, 50562, 93, 0, 13, 57511
1717, 6867, 50535, 92, 0, 17, 57511
1723, 6843, 50559, 94, 0, 15, 57511
1729, 6809, 50590, 94, 0, 18, 57511
