ts, default broker, CrocodileAgent, COLDPower18, VidyutVanika, Bunnie, total
359, 57515, 0, 0, 0, 0, 57515
360, 57515, 0, 0, 0, 0, 57515
361, 6, 7005, 0, 25610, 24894, 57515
367, 5, 7012, 0, 25597, 24901, 57515
373, 5, 9256, 0, 30687, 17567, 57515
379, 7, 10400, 0, 34188, 12920, 57515
385, 3, 11354, 0, 36288, 9870, 57515
391, 3, 11646, 0, 36924, 8942, 57515
397, 3, 11652, 0, 36989, 8871, 57515
403, 4, 11657, 0, 36986, 8868, 57515
409, 4, 11654, 0, 36986, 8871, 57515
415, 7, 11646, 0, 37020, 8842, 57515
421, 5, 11642, 0, 37020, 8848, 57515
427, 4, 11661, 0, 37011, 8839, 57515
433, 6, 8719, 0, 19834, 28956, 57515
439, 5, 7076, 0, 18957, 31477, 57515
445, 5, 5428, 0, 13942, 38140, 57515
451, 5, 4280, 0, 10748, 42482, 57515
457, 7, 3591, 0, 8518, 45399, 57515
463, 1, 2240, 0, 7936, 47338, 57515
469, 3, 1671, 0, 7334, 48507, 57515
475, 4, 1251, 0, 8044, 48216, 57515
481, 3, 1139, 0, 8087, 48286, 57515
487, 6, 888, 0, 8109, 48512, 57515
493, 6, 777, 0, 8047, 48685, 57515
499, 6, 525, 0, 8624, 48360, 57515
505, 1, 459, 0, 9009, 48046, 57515
511, 5, 463, 0, 9858, 47189, 57515
517, 3, 1198, 0, 16059, 40255, 57515
523, 4, 2002, 0, 21767, 33742, 57515
529, 2, 4604, 0, 28378, 24531, 57515
535, 7, 5876, 0, 32047, 19585, 57515
541, 7, 7775, 0, 36628, 13105, 57515
547, 6, 8705, 0, 38929, 9875, 57515
553, 7, 9340, 0, 40317, 7851, 57515
559, 3, 9489, 0, 40138, 7885, 57515
565, 0, 9509, 0, 39691, 8315, 57515
571, 2, 9503, 0, 39061, 8949, 57515
577, 5, 9378, 0, 38602, 9530, 57515
583, 2, 9337, 0, 37743, 10433, 57515
589, 6, 8956, 0, 31894, 16659, 57515
595, 5, 8663, 0, 26192, 22655, 57515
601, 7, 7435, 0, 20036, 30037, 57515
607, 6, 6244, 0, 16323, 34942, 57515
613, 5, 4386, 0, 11837, 41287, 57515
619, 7, 3844, 0, 9223, 44441, 57515
625, 7, 2705, 0, 7584, 47219, 57515
631, 2, 1631, 0, 7472, 48410, 57515
637, 4, 1323, 0, 7289, 48899, 57515
643, 5, 872, 0, 7673, 48965, 57515
649, 6, 712, 0, 7630, 49167, 57515
655, 7, 491, 0, 7775, 49242, 57515
661, 6, 320, 0, 7919, 49270, 57515
667, 4, 293, 0, 8186, 49032, 57515
673, 6, 188, 0, 8324, 48997, 57515
679, 6, 198, 0, 8857, 48454, 57515
685, 8, 288, 0, 17070, 40149, 57515
691, 1, 627, 0, 22734, 34153, 57515
697, 4, 3464, 0, 30522, 23525, 57515
703, 4, 4771, 0, 33894, 18846, 57515
709, 2, 6155, 0, 36965, 14393, 57515
715, 4, 6779, 0, 39418, 11314, 57515
721, 6, 7178, 0, 40438, 9893, 57515
727, 4, 7237, 0, 40426, 9848, 57515
733, 6, 7166, 0, 40278, 10065, 57515
739, 2, 7153, 0, 39701, 10659, 57515
745, 4, 7116, 0, 39563, 10832, 57515
751, 6, 7114, 0, 38980, 11415, 57515
757, 7, 7021, 0, 31214, 19273, 57515
763, 5, 6868, 0, 25754, 24888, 57515
769, 5, 6237, 0, 18400, 32873, 57515
775, 6, 5416, 0, 14736, 37357, 57515
781, 6, 4077, 0, 11375, 42057, 57515
787, 8, 3475, 0, 8831, 45201, 57515
793, 6, 2758, 0, 7914, 46837, 57515
799, 3, 2359, 0, 7401, 47752, 57515
805, 4, 2000, 0, 7174, 48337, 57515
811, 4, 1699, 0, 7265, 48547, 57515
817, 3, 1465, 0, 7421, 48626, 57515
823, 5, 1180, 0, 7731, 48599, 57515
829, 5, 1016, 0, 7724, 48770, 57515
835, 4, 749, 0, 7892, 48870, 57515
841, 8, 666, 0, 7881, 48960, 57515
847, 5, 471, 0, 9202, 47837, 57515
853, 5, 663, 0, 14806, 42041, 57515
859, 4, 1376, 0, 20592, 35543, 57515
865, 6, 1222, 0, 29756, 26531, 57515
871, 6, 3094, 0, 27569, 26846, 57515
877, 6, 3070, 0, 36975, 17464, 57515
883, 4, 2985, 0, 39850, 14676, 57515
889, 1908, 3838, 0, 43160, 8609, 57515
895, 2168, 4047, 0, 41572, 9728, 57515
901, 2639, 4187, 0, 42673, 8016, 57515
907, 2789, 4178, 0, 44818, 5730, 57515
913, 1995, 3925, 0, 51084, 511, 57515
919, 1481, 3749, 0, 52076, 209, 57515
925, 1023, 3558, 0, 52738, 196, 57515
931, 536, 3293, 0, 53638, 48, 57515
937, 252, 3012, 0, 54217, 34, 57515
943, 172, 2261, 0, 55018, 64, 57515
