ts, default broker, CrocodileAgent, COLDPower18, EWIIS3, AgentUDE, total
359, 57501, 0, 0, 0, 0, 57501
360, 57501, 0, 0, 0, 0, 57501
361, 6782, 320, 0, 2330, 48069, 57501
367, 6732, 369, 0, 1124, 49276, 57501
373, 6825, 276, 0, 760, 49640, 57501
379, 6914, 189, 0, 608, 49790, 57501
385, 6905, 198, 0, 539, 49859, 57501
391, 6946, 157, 0, 448, 49950, 57501
397, 6831, 274, 0, 406, 49990, 57501
403, 6885, 218, 0, 44758, 5640, 57501
409, 6930, 175, 0, 48890, 1506, 57501
415, 6936, 170, 0, 49125, 1270, 57501
421, 6736, 800, 0, 48459, 1506, 57501
427, 6777, 2159, 0, 46987, 1578, 57501
433, 6755, 6765, 0, 42268, 1713, 57501
439, 6689, 11054, 0, 38059, 1699, 57501
445, 6840, 19975, 0, 30645, 41, 57501
451, 6860, 24350, 0, 26246, 45, 57501
457, 6860, 33917, 0, 16687, 37, 57501
463, 6894, 37692, 0, 12887, 28, 57501
469, 6804, 39718, 0, 10954, 25, 57501
475, 6800, 40621, 0, 10056, 24, 57501
481, 6813, 43436, 0, 7231, 21, 57501
487, 6820, 48387, 0, 2271, 23, 57501
493, 6830, 48832, 0, 1813, 26, 57501
499, 6850, 48775, 0, 1813, 63, 57501
505, 6907, 48167, 0, 2032, 395, 57501
511, 6942, 47059, 0, 2742, 758, 57501
517, 6901, 46039, 0, 2343, 2218, 57501
523, 6861, 35991, 0, 6897, 7752, 57501
529, 6916, 32089, 0, 5635, 12861, 57501
535, 6993, 30105, 0, 5785, 14618, 57501
541, 6970, 27337, 0, 3616, 19578, 57501
547, 6990, 20740, 0, 5781, 23990, 57501
553, 6904, 19419, 0, 3531, 27647, 57501
559, 6916, 16672, 0, 3693, 30220, 57501
565, 6819, 13871, 0, 3146, 33665, 57501
571, 6904, 6695, 0, 7183, 36719, 57501
577, 6969, 5634, 0, 2586, 42312, 57501
583, 6977, 5826, 0, 2085, 42613, 57501
589, 6937, 5775, 0, 1837, 42952, 57501
595, 6908, 6055, 0, 1775, 42763, 57501
601, 6920, 6447, 0, 1491, 42643, 57501
607, 6968, 6977, 0, 1400, 42156, 57501
613, 6917, 49133, 0, 1276, 175, 57501
619, 6945, 49328, 0, 1050, 178, 57501
625, 6917, 49570, 0, 835, 179, 57501
631, 6947, 49764, 0, 608, 182, 57501
637, 6960, 49902, 0, 444, 195, 57501
