ts, default broker, CrocodileAgent, SPOT, COLDPower18, EWIIS3, VidyutVanika, AgentUDE, Bunnie, total
359, 57508, 0, 0, 0, 0, 0, 0, 0, 57508
360, 57508, 0, 0, 0, 0, 0, 0, 0, 57508
361, 40, 22, 3, 0, 37, 7329, 31624, 18453, 57508
367, 23, 20, 20, 0, 16, 7317, 31652, 18460, 57508
373, 10, 7, 22, 0, 19, 7388, 39837, 10225, 57508
379, 5, 4, 21, 0, 19, 7434, 44493, 5532, 57508
385, 3, 6, 20, 0, 15, 7471, 45405, 4588, 57508
391, 1, 6, 22, 0, 16, 7473, 46057, 3933, 57508
397, 1, 5, 22, 0, 19, 7565, 46390, 3506, 57508
403, 3, 1638, 20, 0, 59, 20125, 5541, 30122, 57508
409, 1, 1679, 18, 0, 58, 20342, 5592, 29818, 57508
415, 1, 2038, 16, 0, 43, 21652, 5994, 27764, 57508
421, 2, 2410, 12, 0, 36, 22892, 6385, 25771, 57508
427, 1, 2954, 10, 0, 36, 24418, 7205, 22884, 57508
433, 0, 3601, 9, 0, 37, 25605, 7346, 20910, 57508
439, 2, 3791, 6, 0, 19, 25880, 7870, 19940, 57508
445, 0, 3816, 7, 0, 37, 25934, 2147, 25567, 57508
451, 1, 3811, 5, 0, 52, 25784, 2659, 25196, 57508
457, 0, 3758, 3, 0, 26, 25685, 4578, 23458, 57508
463, 3, 3629, 4, 0, 13, 25685, 5370, 22804, 57508
469, 1, 3462, 54, 0, 11, 25625, 7249, 21106, 57508
475, 1, 1968, 72, 0, 10, 22483, 8738, 24236, 57508
481, 0, 1841, 71, 0, 11, 20604, 10499, 24482, 57508
487, 0, 1486, 51, 0, 12, 19145, 2486, 34328, 57508
493, 0, 1271, 51, 0, 10, 16725, 2402, 37049, 57508
499, 1, 883, 50, 0, 12, 14696, 3094, 38772, 57508
505, 2, 228, 0, 0, 7, 12842, 3578, 40851, 57508
511, 1, 97, 0, 0, 9, 11352, 2716, 43333, 57508
517, 1, 6, 1, 0, 7, 10344, 3771, 43378, 57508
523, 2, 6, 0, 0, 8, 9715, 4213, 43564, 57508
529, 1, 7, 0, 0, 9, 8852, 6750, 41889, 57508
535, 3, 3, 2, 0, 7, 8522, 8371, 40600, 57508
541, 3, 4, 1, 0, 7, 8585, 12137, 36771, 57508
547, 2, 3, 3, 0, 9, 8753, 15364, 33374, 57508
553, 0, 122, 3, 0, 6, 8846, 18163, 30368, 57508
559, 0, 202, 2, 0, 10, 9636, 18632, 29026, 57508
565, 3, 710, 2, 0, 11, 13437, 19584, 23761, 57508
571, 3, 3027, 1, 0, 10, 23491, 2638, 28338, 57508
577, 1, 5709, 2, 0, 7, 30675, 1072, 20042, 57508
583, 0, 7213, 1, 0, 10, 33996, 1084, 15204, 57508
589, 2, 8502, 0, 0, 10, 37969, 1098, 9927, 57508
595, 1, 9056, 1, 0, 8, 39943, 684, 7815, 57508
601, 0, 9629, 3, 0, 6, 41053, 609, 6208, 57508
607, 0, 9781, 2, 0, 7, 41207, 428, 6083, 57508
613, 0, 9840, 2, 0, 7, 41181, 118, 6360, 57508
619, 0, 9747, 2, 0, 8, 40861, 69, 6821, 57508
625, 1, 9485, 2, 0, 7, 40338, 103, 7572, 57508
631, 2, 8969, 2, 0, 6, 39588, 82, 8859, 57508
637, 1, 8414, 2, 0, 7, 38025, 426, 10633, 57508
643, 0, 5514, 2, 0, 9, 34476, 651, 16856, 57508
649, 2, 3813, 0, 0, 11, 30917, 800, 21965, 57508
655, 2, 2701, 20, 0, 42, 31560, 21814, 1369, 57508
661, 1, 1378, 63, 0, 40, 29416, 26520, 90, 57508
667, 0, 771, 64, 0, 39, 25773, 30831, 30, 57508
673, 0, 371, 64, 0, 37, 22259, 34777, 0, 57508
679, 0, 242, 64, 0, 36, 20788, 36378, 0, 57508
685, 1, 127, 64, 0, 32, 19429, 37855, 0, 57508
691, 1, 127, 64, 0, 33, 18449, 38834, 0, 57508
697, 8, 522, 267, 0, 35, 47317, 9359, 0, 57508
703, 8, 520, 299, 0, 36, 47896, 8749, 0, 57508
709, 7, 583, 276, 0, 34, 48020, 8588, 0, 57508
715, 8, 566, 278, 0, 35, 48407, 8214, 0, 57508
721, 8, 623, 287, 0, 35, 48906, 7649, 0, 57508
727, 9, 742, 287, 0, 34, 49463, 6973, 0, 57508
733, 9, 712, 286, 0, 31, 50821, 5649, 0, 57508
739, 8, 1290, 234, 0, 32, 55787, 157, 0, 57508
745, 6, 1647, 217, 0, 34, 55458, 146, 0, 57508
751, 6, 1912, 176, 0, 35, 55262, 117, 0, 57508
757, 6, 2119, 116, 0, 32, 55129, 106, 0, 57508
763, 5, 2166, 116, 0, 37, 55068, 116, 0, 57508
769, 4, 2627, 106, 0, 37, 54546, 188, 0, 57508
775, 3, 3141, 61, 0, 36, 54103, 164, 0, 57508
781, 3, 3541, 61, 0, 38, 53790, 75, 0, 57508
787, 3, 3753, 42, 0, 38, 53236, 436, 0, 57508
793, 5, 3837, 42, 0, 38, 51716, 1870, 0, 57508
799, 3, 3312, 63, 0, 42, 52465, 1623, 0, 57508
805, 6, 3281, 53, 0, 44, 51675, 2449, 0, 57508
811, 5, 2778, 207, 0, 43, 52638, 1837, 0, 57508
817, 7, 2308, 29, 0, 37, 53833, 1294, 0, 57508
823, 0, 2053, 29, 0, 38, 52987, 2401, 0, 57508
829, 0, 1796, 29, 0, 39, 51963, 3681, 0, 57508
835, 3, 1677, 27, 0, 39, 52176, 3586, 0, 57508
841, 1, 1261, 26, 0, 38, 52104, 4078, 0, 57508
847, 1, 832, 26, 0, 40, 52571, 4038, 0, 57508
853, 0, 366, 27, 0, 36, 51530, 5549, 0, 57508
859, 1, 153, 21, 0, 35, 51058, 6240, 0, 57508
865, 2, 38, 0, 0, 32, 56877, 559, 0, 57508
871, 1, 32, 1, 0, 30, 57389, 55, 0, 57508
877, 2, 77, 0, 0, 29, 57397, 3, 0, 57508
883, 1, 72, 0, 0, 30, 57251, 154, 0, 57508
889, 2, 74, 0, 0, 36, 57392, 4, 0, 57508
895, 1, 184, 0, 0, 33, 57173, 117, 0, 57508
901, 7, 1026, 3, 0, 36, 56233, 203, 0, 57508
907, 1, 1160, 1, 0, 30, 56277, 39, 0, 57508
913, 1, 1508, 1, 0, 29, 55934, 35, 0, 57508
919, 0, 1735, 0, 0, 30, 55738, 5, 0, 57508
925, 2, 2069, 2, 0, 32, 55398, 5, 0, 57508
931, 0, 2330, 1, 0, 32, 55140, 5, 0, 57508
937, 1, 2542, 0, 0, 36, 54926, 3, 0, 57508
943, 17, 2758, 0, 0, 33, 54694, 6, 0, 57508
949, 17, 2730, 15, 0, 36, 54597, 113, 0, 57508
955, 13, 2701, 24, 0, 33, 54509, 228, 0, 57508
961, 14, 2648, 22, 0, 33, 54474, 317, 0, 57508
967, 17, 2599, 83, 0, 35, 48429, 6345, 0, 57508
973, 28, 1956, 203, 0, 36, 35287, 19998, 0, 57508
979, 16, 1059, 113, 0, 31, 40434, 15855, 0, 57508
985, 2, 648, 91, 0, 33, 44090, 12644, 0, 57508
991, 3, 554, 92, 0, 35, 54548, 2276, 0, 57508
997, 2, 295, 92, 0, 37, 56046, 1036, 0, 57508
1003, 1, 230, 92, 0, 34, 56417, 734, 0, 57508
1009, 1, 142, 86, 0, 33, 56532, 714, 0, 57508
1015, 0, 22, 24, 0, 37, 56347, 1078, 0, 57508
1021, 1, 20, 20, 0, 36, 56881, 550, 0, 57508
1027, 3, 20, 15, 0, 31, 56771, 668, 0, 57508
1033, 0, 18, 13, 0, 39, 51967, 5471, 0, 57508
1039, 2, 13, 11, 0, 35, 50302, 7145, 0, 57508
1045, 0, 130, 39, 0, 32, 47725, 9582, 0, 57508
1051, 2, 130, 5, 0, 32, 51575, 5764, 0, 57508
1057, 2, 129, 5, 0, 32, 50621, 6719, 0, 57508
1063, 0, 153, 2, 0, 32, 50702, 6619, 0, 57508
1069, 2, 473, 2, 0, 29, 50109, 6893, 0, 57508
1075, 0, 1362, 2, 0, 31, 54882, 1231, 0, 57508
1081, 1, 3052, 2, 0, 31, 53860, 562, 0, 57508
1087, 2, 4357, 1, 0, 25, 52602, 521, 0, 57508
1093, 2, 5528, 1, 0, 29, 51322, 626, 0, 57508
1099, 1, 5984, 0, 0, 29, 50882, 612, 0, 57508
1105, 2, 6358, 0, 0, 27, 50784, 337, 0, 57508
1111, 1, 6390, 0, 0, 25, 50756, 336, 0, 57508
1117, 2, 6354, 0, 0, 28, 50884, 240, 0, 57508
1123, 0, 6246, 3, 0, 33, 50887, 339, 0, 57508
1129, 0, 6179, 1, 0, 34, 50761, 533, 0, 57508
1135, 12, 6179, 31, 0, 31, 45468, 5787, 0, 57508
1141, 14, 6149, 32, 0, 28, 44775, 6510, 0, 57508
1147, 5, 5226, 31, 0, 32, 45384, 6830, 0, 57508
1153, 6, 4766, 31, 0, 25, 45614, 7066, 0, 57508
1159, 5, 4339, 32, 0, 65, 35925, 17142, 0, 57508
1165, 5, 3050, 31, 0, 60, 41314, 13048, 0, 57508
1171, 6, 1810, 2, 0, 26, 46816, 8848, 0, 57508
1177, 4, 1447, 4, 0, 28, 48375, 7650, 0, 57508
1183, 1, 1178, 0, 0, 28, 49687, 6614, 0, 57508
1189, 2, 898, 0, 0, 31, 50507, 6070, 0, 57508
1195, 2, 657, 1, 0, 31, 51371, 5446, 0, 57508
1201, 1, 479, 0, 0, 30, 54873, 2125, 0, 57508
1207, 1, 360, 0, 0, 29, 55034, 2084, 0, 57508
1213, 0, 247, 0, 0, 31, 55384, 1846, 0, 57508
1219, 1, 218, 2, 0, 27, 54937, 2323, 0, 57508
1225, 1, 138, 0, 0, 29, 53944, 3396, 0, 57508
1231, 0, 117, 2, 0, 27, 54109, 3253, 0, 57508
1237, 1, 326, 1, 0, 26, 54649, 2505, 0, 57508
1243, 1, 674, 1, 0, 26, 56382, 424, 0, 57508
1249, 0, 3461, 1, 0, 29, 52278, 1739, 0, 57508
1255, 0, 4284, 1, 0, 28, 51501, 1694, 0, 57508
1261, 0, 4998, 1, 0, 30, 50679, 1800, 0, 57508
1267, 0, 5235, 2, 0, 27, 50396, 1848, 0, 57508
1273, 0, 6256, 1, 0, 27, 48663, 2561, 0, 57508
1279, 1, 6601, 0, 0, 31, 48601, 2274, 0, 57508
1285, 3, 6632, 0, 0, 29, 47964, 2880, 0, 57508
1291, 1, 6586, 0, 0, 24, 49145, 1752, 0, 57508
1297, 1, 6452, 1, 0, 29, 49284, 1741, 0, 57508
1303, 3, 6453, 30, 0, 30, 36574, 14418, 0, 57508
1309, 4, 6313, 30, 0, 30, 39133, 11998, 0, 57508
1315, 3, 6102, 30, 0, 32, 40749, 10592, 0, 57508
1321, 2, 5308, 30, 0, 33, 42086, 10049, 0, 57508
1327, 8, 4993, 68, 0, 39, 33998, 18402, 0, 57508
1333, 9, 3885, 68, 0, 35, 31521, 21990, 0, 57508
1339, 9, 2808, 68, 0, 31, 38282, 16310, 0, 57508
1345, 6, 2330, 1, 0, 29, 41134, 14008, 0, 57508
1351, 4, 1569, 1, 0, 29, 44795, 11110, 0, 57508
1357, 4, 1370, 1, 0, 28, 46463, 9642, 0, 57508
1363, 3, 956, 1, 0, 27, 48855, 7666, 0, 57508
1369, 3, 663, 1, 0, 31, 55122, 1688, 0, 57508
1375, 2, 435, 0, 0, 31, 55509, 1531, 0, 57508
1381, 2, 347, 0, 0, 28, 55688, 1443, 0, 57508
1387, 2, 255, 2, 0, 30, 55835, 1384, 0, 57508
1393, 2, 211, 2, 0, 31, 53932, 3330, 0, 57508
1399, 2, 315, 1, 0, 32, 54035, 3123, 0, 57508
1405, 2, 316, 1, 0, 26, 54179, 2984, 0, 57508
1411, 2, 1829, 1, 0, 25, 54676, 975, 0, 57508
1417, 2, 4944, 1, 0, 27, 50775, 1759, 0, 57508
1423, 4, 6569, 2, 0, 23, 49379, 1531, 0, 57508
1429, 1, 7738, 2, 0, 23, 48047, 1697, 0, 57508
1435, 1, 7993, 1, 0, 29, 47460, 2024, 0, 57508
1441, 1, 8538, 1, 0, 30, 47301, 1637, 0, 57508
1447, 2, 8714, 1, 0, 27, 47172, 1592, 0, 57508
1453, 1, 8740, 1, 0, 32, 48188, 546, 0, 57508
1459, 1, 8660, 1, 0, 30, 48281, 535, 0, 57508
1465, 0, 8593, 1, 0, 32, 47432, 1450, 0, 57508
1471, 6, 8593, 2, 0, 32, 37292, 11583, 0, 57508
1477, 0, 8399, 2, 0, 27, 40086, 8994, 0, 57508
1483, 0, 7416, 3, 0, 26, 42367, 7696, 0, 57508
1489, 1, 6135, 1, 0, 32, 44093, 7246, 0, 57508
1495, 2, 4845, 3, 0, 114, 30900, 21644, 0, 57508
1501, 9, 3486, 2, 0, 46, 27286, 26679, 0, 57508
1507, 1, 2389, 2, 0, 41, 34758, 20317, 0, 57508
1513, 1, 2062, 3, 0, 41, 37761, 17640, 0, 57508
1519, 1, 1546, 0, 0, 31, 42023, 13907, 0, 57508
1525, 2, 1179, 0, 0, 29, 45296, 11002, 0, 57508
1531, 2, 731, 2, 0, 30, 48239, 8504, 0, 57508
1537, 0, 557, 0, 0, 37, 53855, 3059, 0, 57508
1543, 0, 380, 0, 0, 33, 53968, 3127, 0, 57508
1549, 0, 320, 4, 0, 34, 53395, 3755, 0, 57508
1555, 1, 245, 1, 0, 29, 52274, 4958, 0, 57508
1561, 1, 255, 1, 0, 29, 52166, 5056, 0, 57508
1567, 15, 328, 0, 0, 29, 52003, 5133, 0, 57508
1573, 15, 669, 16, 0, 30, 53988, 2790, 0, 57508
1579, 20, 2183, 23, 0, 32, 54404, 846, 0, 57508
1585, 6, 3805, 30, 0, 33, 52980, 654, 0, 57508
1591, 4, 5331, 28, 0, 35, 51738, 372, 0, 57508
1597, 1, 6682, 29, 0, 35, 50618, 143, 0, 57508
1603, 1, 7165, 32, 0, 33, 50054, 223, 0, 57508
1609, 3, 7335, 31, 0, 30, 49836, 273, 0, 57508
1615, 4, 7430, 27, 0, 34, 49825, 188, 0, 57508
1621, 1, 7395, 23, 0, 37, 49915, 137, 0, 57508
1627, 1, 7396, 20, 0, 35, 49783, 273, 0, 57508
1633, 0, 7284, 16, 0, 36, 49931, 241, 0, 57508
1639, 4, 7168, 16, 0, 37, 43463, 6820, 0, 57508
1645, 6, 6685, 14, 0, 36, 40047, 10720, 0, 57508
1651, 0, 3858, 8, 0, 37, 47188, 6417, 0, 57508
1657, 1, 2363, 5, 0, 39, 50825, 4275, 0, 57508
1663, 0, 1670, 5, 0, 36, 53097, 2700, 0, 57508
1669, 8, 773, 4, 0, 37, 29782, 26904, 0, 57508
1675, 2, 180, 4, 0, 38, 30470, 26814, 0, 57508
1681, 3, 99, 5, 0, 35, 30457, 26909, 0, 57508
1687, 3, 101, 3, 0, 32, 30359, 27010, 0, 57508
