ts, default broker, SPOT, COLDPower18, total
359, 57512, 0, 0, 57512
360, 57512, 0, 0, 57512
361, 57512, 0, 0, 57512
367, 27083, 30429, 0, 57512
373, 18486, 39026, 0, 57512
379, 14409, 43103, 0, 57512
385, 11245, 46267, 0, 57512
391, 10174, 47338, 0, 57512
397, 9061, 48451, 0, 57512
403, 8738, 48774, 0, 57512
409, 8416, 49096, 0, 57512
415, 8174, 49338, 0, 57512
421, 7843, 49669, 0, 57512
427, 7701, 49811, 0, 57512
433, 7671, 49841, 0, 57512
439, 7551, 49961, 0, 57512
445, 7492, 50020, 0, 57512
451, 7391, 50121, 0, 57512
457, 7372, 50140, 0, 57512
463, 7262, 50250, 0, 57512
469, 7182, 50330, 0, 57512
475, 7180, 50332, 0, 57512
481, 7158, 50354, 0, 57512
487, 7161, 50351, 0, 57512
493, 7142, 50370, 0, 57512
499, 7142, 50370, 0, 57512
505, 7123, 50389, 0, 57512
511, 7103, 50409, 0, 57512
517, 7103, 50409, 0, 57512
523, 7103, 50409, 0, 57512
529, 7101, 50411, 0, 57512
535, 7100, 50412, 0, 57512
541, 7100, 50412, 0, 57512
547, 7079, 50433, 0, 57512
553, 7059, 50453, 0, 57512
559, 7058, 50454, 0, 57512
565, 7057, 50455, 0, 57512
571, 7055, 50457, 0, 57512
577, 7057, 50455, 0, 57512
583, 7058, 50454, 0, 57512
589, 7058, 50454, 0, 57512
595, 7061, 50451, 0, 57512
601, 7060, 50452, 0, 57512
613, 7061, 50451, 0, 57512
619, 7062, 50450, 0, 57512
625, 7062, 50450, 0, 57512
631, 7061, 50451, 0, 57512
637, 7059, 50453, 0, 57512
643, 7059, 50453, 0, 57512
649, 7059, 50453, 0, 57512
655, 7060, 50452, 0, 57512
661, 7061, 50451, 0, 57512
667, 7062, 50450, 0, 57512
673, 7062, 50450, 0, 57512
679, 7062, 50450, 0, 57512
685, 7061, 50451, 0, 57512
691, 7058, 50454, 0, 57512
697, 7057, 50455, 0, 57512
703, 7059, 50453, 0, 57512
709, 7059, 50453, 0, 57512
715, 7061, 50451, 0, 57512
727, 7059, 50453, 0, 57512
733, 7057, 50455, 0, 57512
739, 7057, 50455, 0, 57512
745, 7055, 50457, 0, 57512
751, 7057, 50455, 0, 57512
757, 7057, 50455, 0, 57512
763, 7058, 50454, 0, 57512
769, 7058, 50454, 0, 57512
775, 7058, 50454, 0, 57512
781, 7059, 50453, 0, 57512
787, 7062, 50450, 0, 57512
793, 7061, 50451, 0, 57512
799, 7062, 50450, 0, 57512
805, 7061, 50451, 0, 57512
811, 7062, 50450, 0, 57512
817, 7062, 50450, 0, 57512
823, 7062, 50450, 0, 57512
829, 7062, 50450, 0, 57512
835, 7060, 50452, 0, 57512
841, 7058, 50454, 0, 57512
853, 7059, 50453, 0, 57512
859, 7058, 50454, 0, 57512
871, 7058, 50454, 0, 57512
877, 7059, 50453, 0, 57512
883, 7060, 50452, 0, 57512
889, 7059, 50453, 0, 57512
895, 7058, 50454, 0, 57512
907, 7057, 50455, 0, 57512
913, 7058, 50454, 0, 57512
919, 7058, 50454, 0, 57512
925, 7059, 50453, 0, 57512
931, 7060, 50452, 0, 57512
937, 7059, 50453, 0, 57512
943, 7085, 50427, 0, 57512
949, 7095, 50417, 0, 57512
955, 7088, 50424, 0, 57512
961, 7090, 50422, 0, 57512
967, 7091, 50421, 0, 57512
973, 7093, 50419, 0, 57512
979, 7087, 50425, 0, 57512
985, 7081, 50431, 0, 57512
991, 7079, 50433, 0, 57512
997, 7079, 50433, 0, 57512
1003, 7079, 50433, 0, 57512
1015, 7080, 50432, 0, 57512
1021, 7075, 50437, 0, 57512
1027, 7067, 50445, 0, 57512
1033, 7069, 50443, 0, 57512
1039, 7068, 50444, 0, 57512
1045, 7088, 50424, 0, 57512
1051, 7086, 50426, 0, 57512
1057, 7084, 50428, 0, 57512
