ts, default broker, CrocodileAgent, SPOT, COLDPower18, EWIIS3, VidyutVanika, AgentUDE, Bunnie, total
359, 57515, 0, 0, 0, 0, 0, 0, 0, 57515
360, 57515, 0, 0, 0, 0, 0, 0, 0, 57515
361, 2, 2264, 3, 0, 54, 14250, 26984, 13958, 57515
367, 2, 2255, 2, 0, 55, 14247, 26993, 13961, 57515
373, 2, 2273, 52, 0, 62, 14291, 32943, 7892, 57515
379, 1, 2274, 51, 0, 65, 14292, 35871, 4961, 57515
385, 1, 2271, 2, 0, 76, 14321, 38000, 2844, 57515
391, 1, 2273, 2, 0, 72, 14291, 38860, 2016, 57515
397, 1, 2233, 3, 0, 65, 14290, 39850, 1073, 57515
403, 2, 2213, 3, 0, 397, 14545, 2738, 37617, 57515
409, 2, 2213, 3, 0, 194, 14545, 155, 40403, 57515
415, 1, 2175, 13, 0, 190, 14621, 54, 40461, 57515
421, 2, 2175, 12, 0, 129, 15090, 54, 40053, 57515
427, 1, 2135, 118, 0, 369, 15208, 56, 39628, 57515
433, 1, 1035, 117, 0, 299, 9083, 55, 46925, 57515
439, 1, 552, 118, 0, 178, 8231, 46, 48389, 57515
445, 1, 483, 120, 0, 374, 8205, 148, 48184, 57515
451, 1, 423, 121, 0, 160, 8265, 150, 48395, 57515
457, 1, 283, 120, 0, 429, 8409, 150, 48123, 57515
463, 1, 252, 122, 0, 199, 8718, 151, 48072, 57515
469, 1, 162, 15, 0, 164, 8987, 432, 47754, 57515
475, 0, 103, 14, 0, 157, 8931, 571, 47739, 57515
481, 0, 102, 140, 0, 153, 8732, 569, 47819, 57515
487, 1, 241, 140, 0, 146, 9092, 170, 47725, 57515
493, 1, 604, 110, 0, 121, 16363, 146, 40170, 57515
499, 1, 1693, 109, 0, 118, 24292, 148, 31154, 57515
505, 0, 5942, 109, 0, 107, 32442, 373, 18542, 57515
511, 1, 7238, 111, 0, 95, 35685, 315, 14070, 57515
517, 0, 8527, 120, 0, 94, 38792, 277, 9705, 57515
523, 0, 9059, 3, 0, 84, 40358, 323, 7688, 57515
