ts, default broker, CrocodileAgent, Bunnie, total
359, 57518, 0, 0, 57518
360, 57518, 0, 0, 57518
361, 6866, 0, 50652, 57518
367, 6582, 112, 50824, 57518
373, 6749, 60, 50709, 57518
379, 6754, 81, 50683, 57518
385, 6734, 151, 50633, 57518
391, 6771, 161, 50586, 57518
397, 6708, 341, 50469, 57518
403, 6563, 1515, 49440, 57518
409, 6600, 3271, 47647, 57518
415, 6680, 4155, 46683, 57518
421, 6737, 4941, 45840, 57518
427, 6620, 5554, 45344, 57518
433, 6591, 6203, 44724, 57518
439, 6681, 6656, 44181, 57518
445, 6427, 6831, 44260, 57518
451, 6423, 6782, 44313, 57518
457, 6513, 6650, 44355, 57518
463, 6638, 6596, 44284, 57518
469, 6569, 6592, 44357, 57518
475, 6455, 6346, 44717, 57518
481, 6600, 5714, 45204, 57518
487, 6577, 5515, 45426, 57518
493, 6807, 4559, 46152, 57518
499, 6853, 3961, 46704, 57518
505, 6801, 2743, 47974, 57518
511, 6875, 2179, 48464, 57518
517, 6921, 1688, 48909, 57518
523, 6796, 1373, 49349, 57518
529, 6779, 902, 49837, 57518
535, 6671, 637, 50210, 57518
541, 6689, 574, 50255, 57518
547, 6661, 470, 50387, 57518
553, 6568, 571, 50379, 57518
559, 6714, 393, 50411, 57518
565, 6747, 351, 50420, 57518
571, 6749, 799, 49970, 57518
577, 6737, 2637, 48144, 57518
583, 6790, 3110, 47618, 57518
589, 6270, 5331, 45917, 57518
595, 6183, 6272, 45063, 57518
601, 6299, 6896, 44323, 57518
607, 6258, 7043, 44217, 57518
613, 6512, 6899, 44107, 57518
619, 6690, 6816, 44012, 57518
625, 6790, 6734, 43994, 57518
631, 6684, 6694, 44140, 57518
637, 6740, 6624, 44154, 57518
643, 6766, 6292, 44460, 57518
649, 6787, 5728, 45003, 57518
655, 6784, 5236, 45498, 57518
661, 6602, 4247, 46669, 57518
667, 6532, 3398, 47588, 57518
673, 6653, 2355, 48510, 57518
