ts, default broker, AgentUDE, Bunnie, total
359, 57512, 0, 0, 57512
360, 57512, 0, 0, 57512
361, 6897, 26628, 23987, 57512
367, 6899, 26629, 23984, 57512
373, 6910, 29656, 20946, 57512
379, 6886, 31746, 18880, 57512
385, 6913, 33377, 17222, 57512
391, 6932, 34473, 16107, 57512
397, 6969, 35893, 14650, 57512
403, 6989, 39164, 11359, 57512
409, 7006, 40467, 10039, 57512
415, 6879, 41797, 8836, 57512
421, 6856, 43105, 7551, 57512
427, 6930, 45063, 5519, 57512
433, 6878, 46212, 4422, 57512
439, 6825, 46151, 4536, 57512
445, 6696, 44017, 6799, 57512
451, 6788, 44363, 6361, 57512
457, 6812, 44970, 5730, 57512
463, 6859, 45705, 4948, 57512
469, 6895, 46818, 3799, 57512
475, 6842, 47383, 3287, 57512
481, 6840, 47811, 2861, 57512
487, 6918, 46143, 4451, 57512
493, 6976, 46682, 3854, 57512
499, 6990, 47316, 3206, 57512
505, 6990, 47989, 2533, 57512
511, 6943, 48506, 2063, 57512
517, 6957, 48889, 1666, 57512
523, 6887, 48832, 1793, 57512
529, 6850, 46080, 4582, 57512
535, 6810, 45709, 4993, 57512
541, 6884, 46372, 4256, 57512
547, 6896, 47391, 3225, 57512
553, 6936, 47991, 2585, 57512
559, 6886, 48247, 2379, 57512
565, 6894, 48394, 2224, 57512
571, 6865, 47053, 3594, 57512
577, 6859, 46441, 4212, 57512
583, 6906, 46336, 4270, 57512
589, 6902, 47083, 3527, 57512
595, 6913, 47855, 2744, 57512
601, 6906, 47972, 2634, 57512
607, 6918, 47471, 3123, 57512
613, 6983, 46555, 3974, 57512
619, 7004, 46697, 3811, 57512
625, 7019, 47977, 2516, 57512
631, 6993, 47590, 2929, 57512
637, 6998, 48003, 2511, 57512
643, 6992, 48081, 2439, 57512
649, 6945, 48108, 2459, 57512
655, 6924, 41805, 8783, 57512
661, 6870, 41330, 9312, 57512
667, 6881, 42316, 8315, 57512
673, 6817, 41893, 8802, 57512
679, 6847, 41967, 8698, 57512
685, 6797, 42557, 8158, 57512
691, 6788, 43441, 7283, 57512
697, 6864, 41337, 9311, 57512
703, 6865, 41866, 8781, 57512
709, 6954, 43586, 6972, 57512
715, 6951, 44359, 6202, 57512
721, 6902, 44847, 5763, 57512
727, 6783, 45890, 4839, 57512
733, 6833, 46044, 4635, 57512
739, 6836, 42471, 8205, 57512
745, 6835, 42268, 8409, 57512
751, 6800, 43467, 7245, 57512
757, 6772, 43830, 6910, 57512
763, 6721, 44099, 6692, 57512
769, 6735, 44111, 6666, 57512
775, 6782, 45091, 5639, 57512
781, 6919, 41411, 9182, 57512
787, 6962, 40869, 9681, 57512
793, 6956, 41953, 8603, 57512
799, 6915, 41839, 8758, 57512
805, 6911, 42467, 8134, 57512
811, 6918, 42131, 8463, 57512
817, 6868, 42124, 8520, 57512
823, 6921, 37466, 13125, 57512
829, 6431, 38794, 12287, 57512
835, 6556, 40001, 10955, 57512
841, 6585, 41517, 9410, 57512
847, 6758, 42033, 8721, 57512
853, 6865, 42695, 7952, 57512
859, 6934, 42806, 7772, 57512
865, 6907, 40819, 9786, 57512
871, 6951, 41876, 8685, 57512
877, 6903, 43606, 7003, 57512
883, 6843, 44605, 6064, 57512
889, 6791, 44767, 5954, 57512
895, 6930, 45499, 5083, 57512
901, 6932, 46142, 4438, 57512
907, 6921, 42356, 8235, 57512
913, 6944, 42786, 7782, 57512
919, 6920, 43206, 7386, 57512
925, 6764, 45220, 5528, 57512
931, 6833, 46686, 3993, 57512
937, 6864, 47006, 3642, 57512
943, 6933, 47343, 3236, 57512
949, 6976, 45840, 4696, 57512
955, 6983, 44556, 5973, 57512
961, 6926, 44229, 6357, 57512
967, 6915, 43981, 6616, 57512
973, 6963, 43550, 6999, 57512
979, 6977, 43150, 7385, 57512
985, 6967, 42553, 7992, 57512
991, 6957, 39248, 11307, 57512
