ts, default broker, CrocodileAgent, SPOT, COLDPower18, EWIIS3, VidyutVanika, AgentUDE, Bunnie, total
359, 57514, 0, 0, 0, 0, 0, 0, 0, 57514
360, 57514, 0, 0, 0, 0, 0, 0, 0, 57514
361, 5, 3, 154, 0, 46, 7393, 32143, 17770, 57514
367, 1, 3, 153, 0, 48, 7394, 32141, 17774, 57514
373, 1, 3, 155, 0, 50, 7393, 36146, 13766, 57514
379, 1, 4, 156, 0, 44, 7392, 38681, 11236, 57514
385, 1, 5, 2, 0, 44, 7392, 40053, 10017, 57514
391, 1, 6, 2, 0, 47, 7391, 41170, 8897, 57514
397, 1, 6, 3, 0, 57, 7390, 41838, 8219, 57514
403, 1, 7, 3, 0, 192, 7598, 194, 49519, 57514
409, 2, 5, 2, 0, 193, 7630, 151, 49531, 57514
415, 2, 4, 3, 0, 183, 7629, 141, 49552, 57514
421, 2, 149, 3, 0, 158, 9930, 130, 47142, 57514
427, 3, 698, 3, 0, 165, 12987, 133, 43525, 57514
433, 1, 2123, 4, 0, 139, 17034, 130, 38083, 57514
439, 1, 2236, 4, 0, 146, 18310, 129, 36688, 57514
445, 1, 2951, 4, 0, 150, 19976, 82, 34350, 57514
451, 1, 3797, 4, 0, 121, 23182, 84, 30325, 57514
457, 2, 3943, 5, 0, 130, 23481, 165, 29788, 57514
463, 2, 4016, 6, 0, 124, 23772, 165, 29429, 57514
469, 2, 4089, 84, 0, 108, 23803, 311, 29117, 57514
475, 1, 4090, 83, 0, 104, 23668, 317, 29251, 57514
481, 1, 4089, 91, 0, 84, 23586, 321, 29342, 57514
487, 1, 4088, 80, 0, 74, 23556, 24, 29691, 57514
493, 1, 4002, 79, 0, 75, 22956, 35, 30366, 57514
499, 2, 3824, 76, 0, 74, 21865, 36, 31637, 57514
505, 1, 3332, 76, 0, 72, 20097, 119, 33817, 57514
511, 2, 2940, 30, 0, 71, 18958, 125, 35388, 57514
517, 3, 2670, 31, 0, 71, 17257, 123, 37359, 57514
523, 4, 1950, 31, 0, 70, 15457, 125, 39877, 57514
529, 2, 1295, 1, 0, 70, 13665, 179, 42302, 57514
535, 2, 977, 1, 0, 67, 12143, 198, 44126, 57514
541, 2, 678, 1, 0, 66, 11232, 500, 45035, 57514
547, 1, 547, 2, 0, 66, 10041, 676, 46181, 57514
553, 2, 337, 2, 0, 64, 9030, 932, 47147, 57514
559, 2, 226, 1, 0, 66, 8620, 1080, 47519, 57514
565, 2, 116, 1, 0, 67, 8308, 1119, 47901, 57514
571, 3, 83, 1, 0, 66, 8090, 289, 48982, 57514
577, 3, 82, 1, 0, 57, 7889, 400, 49082, 57514
583, 1, 52, 1, 0, 58, 7956, 850, 48596, 57514
589, 1, 335, 1, 0, 57, 9914, 1284, 45922, 57514
595, 1, 815, 1, 0, 55, 13442, 1405, 41795, 57514
601, 2, 1130, 1, 0, 49, 15571, 1487, 39274, 57514
607, 2, 2194, 2, 0, 45, 18034, 1499, 35738, 57514
613, 2, 2984, 3, 0, 44, 19311, 341, 34829, 57514
619, 1, 3231, 3, 0, 43, 20210, 619, 33407, 57514
625, 1, 3442, 84, 0, 43, 20887, 719, 32338, 57514
631, 1, 3436, 84, 0, 44, 20936, 731, 32282, 57514
