ts, default broker, CrocodileAgent, COLDPower18, VidyutVanika, Bunnie, total
359, 57516, 0, 0, 0, 0, 57516
360, 57516, 0, 0, 0, 0, 57516
361, 7, 220, 0, 8056, 49233, 57516
367, 5, 217, 0, 8060, 49234, 57516
373, 6, 523, 0, 11911, 45076, 57516
379, 7, 902, 0, 14072, 42535, 57516
385, 7, 2578, 0, 18151, 36780, 57516
391, 7, 3620, 0, 20673, 33216, 57516
397, 6, 4366, 0, 22154, 30990, 57516
403, 7, 5058, 0, 23915, 28536, 57516
409, 9, 5332, 0, 25179, 26996, 57516
415, 6, 5542, 0, 25382, 26586, 57516
421, 4, 5544, 0, 25509, 26459, 57516
427, 4, 5522, 0, 25575, 26415, 57516
433, 6, 5390, 0, 25151, 26969, 57516
439, 7, 5187, 0, 25005, 27317, 57516
445, 8, 4947, 0, 23865, 28696, 57516
451, 6, 4703, 0, 22455, 30352, 57516
457, 3, 4083, 0, 20331, 33099, 57516
463, 3, 3516, 0, 18287, 35710, 57516
469, 2, 3128, 0, 17370, 37016, 57516
475, 1, 2273, 0, 14719, 40523, 57516
481, 2, 1800, 0, 13079, 42635, 57516
487, 3, 1133, 0, 12202, 44178, 57516
493, 3, 964, 0, 11664, 44885, 57516
499, 3, 680, 0, 10639, 46194, 57516
505, 5, 648, 0, 10353, 46510, 57516
511, 6, 516, 0, 9485, 47509, 57516
517, 6, 409, 0, 9135, 47966, 57516
523, 4, 241, 0, 8863, 48408, 57516
529, 4, 159, 0, 8474, 48879, 57516
535, 6, 163, 0, 8715, 48632, 57516
541, 6, 445, 0, 11767, 45298, 57516
547, 5, 923, 0, 13704, 42884, 57516
553, 4, 2505, 0, 17364, 37643, 57516
559, 3, 3278, 0, 19086, 35149, 57516
565, 2, 4634, 0, 21950, 30930, 57516
571, 2, 5495, 0, 23188, 28831, 57516
577, 2, 6258, 0, 25734, 25522, 57516
583, 3, 6339, 0, 25992, 25182, 57516
589, 4, 6304, 0, 25933, 25275, 57516
595, 4, 6302, 0, 25709, 25501, 57516
601, 5, 6188, 0, 25303, 26020, 57516
607, 6, 6097, 0, 25118, 26295, 57516
613, 7, 5784, 0, 23574, 28151, 57516
619, 7, 5240, 0, 21781, 30488, 57516
625, 6, 4604, 0, 20264, 32642, 57516
631, 8, 3853, 0, 18340, 35315, 57516
637, 8, 3219, 0, 16669, 37620, 57516
643, 7, 2429, 0, 14641, 40439, 57516
649, 6, 1893, 0, 13331, 42286, 57516
655, 6, 1272, 0, 11314, 44924, 57516
661, 7, 930, 0, 10486, 46093, 57516
667, 7, 776, 0, 9675, 47058, 57516
673, 6, 548, 0, 9091, 47871, 57516
679, 5, 403, 0, 8488, 48620, 57516
685, 6, 303, 0, 8318, 48889, 57516
691, 7, 276, 0, 7907, 49326, 57516
697, 7, 265, 0, 7822, 49422, 57516
703, 7, 194, 0, 8096, 49219, 57516
709, 6, 391, 0, 12180, 44939, 57516
715, 5, 320, 0, 13885, 43306, 57516
721, 3, 1485, 0, 16554, 39474, 57516
727, 4, 1994, 0, 18288, 37230, 57516
733, 4, 2089, 0, 18480, 36943, 57516
739, 5, 3291, 0, 20817, 33403, 57516
745, 5, 4724, 0, 23144, 29643, 57516
751, 18, 5018, 0, 23464, 29016, 57516
757, 20, 5025, 0, 23526, 28945, 57516
763, 26, 4986, 0, 23382, 29122, 57516
769, 28, 4970, 0, 23221, 29297, 57516
775, 24, 4949, 0, 22994, 29549, 57516
781, 30, 4785, 0, 21694, 31007, 57516
787, 25, 4366, 0, 19949, 33176, 57516
793, 9, 3844, 0, 18252, 35411, 57516
799, 6, 3455, 0, 16910, 37145, 57516
805, 5, 3181, 0, 15873, 38457, 57516
811, 5, 2608, 0, 13790, 41113, 57516
817, 4, 1691, 0, 11790, 44031, 57516
823, 4, 1312, 0, 10928, 45272, 57516
829, 3, 861, 0, 9394, 47258, 57516
835, 5, 662, 0, 9036, 47813, 57516
841, 5, 605, 0, 8546, 48360, 57516
847, 4, 436, 0, 8109, 48967, 57516
853, 7, 374, 0, 8220, 48915, 57516
859, 8, 284, 0, 8144, 49080, 57516
865, 6, 169, 0, 15399, 41942, 57516
871, 6, 139, 0, 20684, 36687, 57516
877, 5, 319, 0, 23948, 33244, 57516
883, 5, 499, 0, 26535, 30477, 57516
889, 2297, 1486, 0, 24728, 29005, 57516
895, 2745, 2161, 0, 27061, 25549, 57516
901, 2688, 2493, 0, 30651, 21684, 57516
907, 2638, 2771, 0, 34133, 17974, 57516
913, 2646, 3192, 0, 34184, 17494, 57516
919, 2904, 4347, 0, 17434, 32831, 57516
925, 3077, 4293, 0, 19377, 30769, 57516
931, 3071, 4267, 0, 23334, 26844, 57516
937, 3294, 4187, 0, 24785, 25250, 57516
