ts, default broker, SPOT, COLDPower18, EWIIS3, AgentUDE, total
359, 57509, 0, 0, 0, 0, 57509
360, 57509, 0, 0, 0, 0, 57509
361, 7012, 1398, 0, 1131, 47968, 57509
367, 7011, 1397, 0, 588, 48513, 57509
373, 7011, 1368, 0, 484, 48646, 57509
379, 7012, 1371, 0, 448, 48678, 57509
385, 7010, 95, 0, 411, 49993, 57509
391, 7009, 94, 0, 370, 50036, 57509
397, 7009, 95, 0, 318, 50087, 57509
403, 7009, 3370, 0, 42133, 4997, 57509
409, 7008, 3728, 0, 41646, 5127, 57509
415, 7007, 3980, 0, 40649, 5873, 57509
421, 7005, 4313, 0, 40261, 5930, 57509
427, 7004, 5112, 0, 38883, 6510, 57509
433, 7003, 5666, 0, 37979, 6861, 57509
439, 7003, 5846, 0, 37371, 7289, 57509
445, 7004, 6950, 0, 42227, 1328, 57509
451, 7004, 6830, 0, 42238, 1437, 57509
457, 7004, 6957, 0, 41640, 1908, 57509
463, 7004, 7702, 0, 40771, 2032, 57509
469, 7004, 8423, 0, 39843, 2239, 57509
475, 7003, 8790, 0, 39445, 2271, 57509
481, 7003, 10198, 0, 37600, 2708, 57509
487, 7004, 12337, 0, 37387, 781, 57509
493, 7003, 12966, 0, 36570, 970, 57509
499, 7003, 12949, 0, 36372, 1185, 57509
505, 7000, 13322, 0, 35852, 1335, 57509
511, 7002, 13671, 0, 35590, 1246, 57509
517, 7001, 14875, 0, 34001, 1632, 57509
523, 7001, 16752, 0, 31489, 2267, 57509
529, 7001, 24405, 0, 25067, 1036, 57509
535, 7001, 25992, 0, 23236, 1280, 57509
541, 7001, 27985, 0, 20581, 1942, 57509
547, 7001, 28625, 0, 19634, 2249, 57509
553, 7001, 28503, 0, 19256, 2749, 57509
559, 7023, 28262, 0, 19165, 3059, 57509
565, 7025, 28014, 0, 19070, 3400, 57509
571, 7030, 31109, 0, 19157, 213, 57509
577, 7027, 31185, 0, 19082, 215, 57509
583, 7024, 30912, 0, 19222, 351, 57509
589, 7018, 30870, 0, 19161, 460, 57509
595, 7024, 30582, 0, 19302, 601, 57509
601, 7028, 30855, 0, 19086, 540, 57509
607, 7029, 31099, 0, 18998, 383, 57509
613, 7027, 30596, 0, 18905, 981, 57509
619, 7026, 29784, 0, 18845, 1854, 57509
625, 7026, 29741, 0, 18752, 1990, 57509
631, 7026, 29608, 0, 18721, 2154, 57509
637, 7008, 28937, 0, 18688, 2876, 57509
643, 7005, 28593, 0, 18689, 3222, 57509
649, 7005, 27648, 0, 18542, 4314, 57509
655, 7005, 31241, 0, 18654, 609, 57509
661, 7027, 31174, 0, 18501, 807, 57509
667, 7020, 31307, 0, 18095, 1087, 57509
673, 7017, 32088, 0, 17060, 1344, 57509
679, 7021, 32411, 0, 16733, 1344, 57509
685, 7019, 32787, 0, 16245, 1458, 57509
691, 7006, 34002, 0, 14968, 1533, 57509
697, 7010, 35551, 0, 14478, 470, 57509
703, 7008, 35582, 0, 14307, 612, 57509
709, 7004, 35308, 0, 14164, 1033, 57509
715, 7004, 34661, 0, 14532, 1312, 57509
721, 7003, 34452, 0, 14472, 1582, 57509
727, 7004, 33541, 0, 14648, 2316, 57509
733, 7004, 32968, 0, 14242, 3295, 57509
739, 7006, 35977, 0, 14231, 295, 57509
745, 7006, 35547, 0, 14231, 725, 57509
751, 7006, 34952, 0, 14431, 1120, 57509
757, 7005, 34756, 0, 14372, 1376, 57509
763, 7005, 34421, 0, 14297, 1786, 57509
769, 7005, 34225, 0, 13952, 2327, 57509
775, 7005, 34094, 0, 13988, 2422, 57509
781, 7002, 36028, 0, 14024, 455, 57509
787, 7002, 35878, 0, 14065, 564, 57509
793, 7002, 35487, 0, 14183, 837, 57509
799, 7002, 35807, 0, 13942, 758, 57509
805, 7002, 35643, 0, 13972, 892, 57509
811, 7002, 35809, 0, 13910, 788, 57509
817, 7001, 35411, 0, 13852, 1245, 57509
823, 7001, 36402, 0, 14021, 85, 57509
829, 7001, 35819, 0, 13702, 987, 57509
835, 7001, 35868, 0, 13642, 998, 57509
841, 7001, 35747, 0, 13348, 1413, 57509
847, 7001, 35598, 0, 13253, 1657, 57509
853, 7001, 34620, 0, 13302, 2586, 57509
859, 7001, 34525, 0, 13224, 2759, 57509
865, 7002, 33653, 0, 13051, 3803, 57509
871, 7002, 33792, 0, 12969, 3746, 57509
877, 7001, 32064, 0, 12962, 5482, 57509
883, 7001, 31405, 0, 13062, 6041, 57509
889, 7001, 30699, 0, 13004, 6805, 57509
895, 7002, 30604, 0, 13002, 6901, 57509
901, 7001, 29687, 0, 12973, 7848, 57509
907, 7001, 33817, 0, 12897, 3794, 57509
913, 7001, 32054, 0, 12912, 5542, 57509
919, 7001, 31967, 0, 12802, 5739, 57509
925, 7000, 29941, 0, 12679, 7889, 57509
931, 7000, 29104, 0, 12677, 8728, 57509
937, 7000, 28284, 0, 12186, 10039, 57509
943, 7001, 28507, 0, 11913, 10088, 57509
949, 7004, 37075, 0, 12034, 1396, 57509
955, 7004, 37162, 0, 11944, 1399, 57509
961, 7004, 36761, 0, 11761, 1983, 57509
967, 7005, 36645, 0, 11616, 2243, 57509
973, 7005, 36623, 0, 11506, 2375, 57509
979, 7005, 36576, 0, 11453, 2475, 57509
985, 7003, 36314, 0, 11443, 2749, 57509
991, 7005, 38931, 0, 11363, 210, 57509
997, 7005, 39232, 0, 11052, 220, 57509
1003, 7004, 38738, 0, 10999, 768, 57509
1009, 7004, 39032, 0, 10489, 984, 57509
1015, 7004, 39033, 0, 10230, 1242, 57509
1021, 7004, 39412, 0, 9830, 1263, 57509
1027, 7004, 39503, 0, 9677, 1325, 57509
1033, 7016, 41325, 0, 9112, 56, 57509
1039, 7016, 41389, 0, 9049, 55, 57509
1045, 7016, 41338, 0, 9098, 57, 57509
1051, 7016, 41163, 0, 8989, 341, 57509
1057, 7015, 41034, 0, 8978, 482, 57509
1063, 7015, 40900, 0, 9060, 534, 57509
1069, 7015, 40981, 0, 9010, 503, 57509
1075, 7015, 41137, 0, 9097, 260, 57509
1081, 7012, 40498, 0, 9240, 759, 57509
1087, 7012, 40350, 0, 9100, 1047, 57509
1093, 7008, 40302, 0, 9144, 1055, 57509
1099, 7004, 40217, 0, 9029, 1259, 57509
1105, 7003, 39053, 0, 9113, 2340, 57509
1111, 7003, 39216, 0, 9045, 2245, 57509
1117, 7002, 38163, 0, 9023, 3321, 57509
1123, 7001, 35368, 0, 9476, 5664, 57509
1129, 7000, 34066, 0, 8802, 7641, 57509
1135, 7000, 32352, 0, 8929, 9228, 57509
1141, 7000, 30294, 0, 8913, 11302, 57509
1147, 7000, 28267, 0, 9081, 13161, 57509
1153, 7000, 27179, 0, 8583, 14747, 57509
1159, 7000, 37825, 0, 8826, 3858, 57509
1165, 7001, 38024, 0, 8784, 3700, 57509
1171, 7001, 38404, 0, 8625, 3479, 57509
1177, 7002, 38447, 0, 8629, 3431, 57509
1183, 7002, 38540, 0, 8730, 3237, 57509
1189, 7001, 38244, 0, 8722, 3542, 57509
1195, 7001, 38203, 0, 8711, 3594, 57509
1201, 7001, 41007, 0, 8652, 849, 57509
1207, 7001, 40691, 0, 8757, 1060, 57509
1213, 7001, 40633, 0, 8743, 1132, 57509
1219, 7002, 40370, 0, 8655, 1482, 57509
1225, 7002, 40396, 0, 8628, 1483, 57509
1231, 7000, 40485, 0, 8513, 1511, 57509
1237, 7000, 40410, 0, 8451, 1648, 57509
1243, 7002, 41553, 0, 8492, 462, 57509
1249, 7002, 41497, 0, 8487, 523, 57509
1255, 7033, 41421, 0, 8431, 624, 57509
1261, 7025, 41390, 0, 8402, 692, 57509
1267, 7021, 41308, 0, 8393, 787, 57509
1273, 7020, 40887, 0, 8392, 1210, 57509
1279, 7018, 40843, 0, 8461, 1187, 57509
1285, 7020, 40916, 0, 8402, 1171, 57509
1291, 7015, 40730, 0, 8524, 1240, 57509
1297, 7014, 40476, 0, 8504, 1515, 57509
1303, 7009, 40353, 0, 8417, 1730, 57509
1309, 7005, 39552, 0, 8527, 2425, 57509
1315, 7004, 39011, 0, 8661, 2833, 57509
1321, 7002, 38292, 0, 8648, 3567, 57509
1327, 7015, 41677, 0, 8530, 287, 57509
1333, 7016, 41572, 0, 8502, 419, 57509
1339, 7016, 41561, 0, 8383, 549, 57509
1345, 7016, 41429, 0, 8383, 681, 57509
1351, 7016, 41215, 0, 8337, 941, 57509
1357, 7016, 41245, 0, 8307, 941, 57509
1363, 7016, 40878, 0, 8417, 1198, 57509
1369, 7022, 41711, 0, 8390, 386, 57509
1375, 7022, 41640, 0, 8459, 388, 57509
1381, 7022, 41426, 0, 8532, 529, 57509
1387, 7022, 41322, 0, 8494, 671, 57509
