ts, default broker, SPOT, AgentUDE, total
359, 57500, 0, 0, 57500
360, 57500, 0, 0, 57500
361, 7026, 252, 50222, 57500
367, 7026, 251, 50223, 57500
373, 7026, 252, 50222, 57500
379, 7025, 253, 50222, 57500
385, 7025, 99, 50376, 57500
391, 7025, 99, 50376, 57500
397, 7025, 99, 50376, 57500
403, 7017, 2371, 48112, 57500
409, 7017, 2077, 48406, 57500
415, 7017, 2080, 48403, 57500
421, 7016, 2091, 48393, 57500
427, 7015, 2246, 48239, 57500
433, 7008, 1568, 48924, 57500
439, 7007, 1566, 48927, 57500
445, 7027, 41965, 8508, 57500
451, 7028, 41965, 8507, 57500
457, 7027, 41968, 8505, 57500
463, 7028, 41967, 8505, 57500
469, 7027, 41970, 8503, 57500
475, 7028, 42009, 8463, 57500
481, 7028, 41977, 8495, 57500
487, 7028, 40501, 9971, 57500
493, 7025, 37933, 12542, 57500
499, 7023, 36064, 14413, 57500
505, 7024, 33066, 17410, 57500
511, 7024, 31773, 18703, 57500
517, 7022, 27661, 22817, 57500
523, 7022, 26060, 24418, 57500
529, 7011, 22955, 27534, 57500
535, 7010, 17752, 32738, 57500
541, 7009, 12743, 37748, 57500
547, 7009, 11205, 39286, 57500
553, 7007, 8295, 42198, 57500
559, 7005, 6144, 44351, 57500
565, 7006, 4346, 46148, 57500
571, 7005, 3137, 47358, 57500
577, 7005, 265, 50230, 57500
583, 7002, 267, 50231, 57500
589, 7003, 265, 50232, 57500
595, 7004, 266, 50230, 57500
601, 7006, 113, 50381, 57500
607, 7004, 115, 50381, 57500
613, 7003, 118, 50379, 57500
619, 7002, 120, 50378, 57500
625, 7008, 112, 50380, 57500
631, 7008, 112, 50380, 57500
637, 7005, 114, 50381, 57500
643, 7004, 113, 50383, 57500
649, 7005, 112, 50383, 57500
655, 7006, 168, 50326, 57500
661, 7007, 178, 50315, 57500
667, 7007, 177, 50316, 57500
673, 7005, 165, 50330, 57500
679, 7007, 168, 50325, 57500
685, 7006, 174, 50320, 57500
691, 7008, 171, 50321, 57500
697, 7025, 4054, 46421, 57500
703, 7024, 4063, 46413, 57500
709, 7024, 4063, 46413, 57500
715, 7021, 4063, 46416, 57500
721, 7021, 2235, 48244, 57500
727, 7021, 2232, 48247, 57500
733, 7020, 2235, 48245, 57500
739, 7024, 14957, 35519, 57500
745, 7024, 14980, 35496, 57500
751, 7024, 15309, 35167, 57500
757, 7023, 15309, 35168, 57500
763, 7026, 15223, 35251, 57500
769, 7024, 15221, 35255, 57500
775, 7023, 15159, 35318, 57500
781, 7022, 13297, 37181, 57500
787, 7020, 11641, 38839, 57500
793, 7007, 734, 49759, 57500
799, 7005, 732, 49763, 57500
805, 7005, 739, 49756, 57500
811, 7007, 733, 49760, 57500
817, 7006, 193, 50301, 57500
823, 7003, 1615, 48882, 57500
829, 7005, 1625, 48870, 57500
835, 7004, 1629, 48867, 57500
841, 7004, 799, 49697, 57500
847, 7003, 801, 49696, 57500
853, 7004, 802, 49694, 57500
859, 7005, 786, 49709, 57500
865, 7008, 645, 49847, 57500
871, 7008, 648, 49844, 57500
877, 7008, 647, 49845, 57500
883, 7008, 647, 49845, 57500
889, 7011, 216, 50273, 57500
895, 7011, 217, 50272, 57500
901, 7010, 196, 50294, 57500
907, 7011, 1784, 48705, 57500
913, 7006, 744, 49750, 57500
919, 7003, 745, 49752, 57500
925, 7003, 745, 49752, 57500
931, 7001, 761, 49738, 57500
937, 7002, 323, 50175, 57500
943, 7003, 324, 50173, 57500
949, 7003, 1347, 49150, 57500
955, 7003, 1408, 49089, 57500
961, 7005, 409, 50086, 57500
967, 7008, 427, 50065, 57500
973, 7009, 428, 50063, 57500
979, 7007, 428, 50065, 57500
985, 7006, 317, 50177, 57500
991, 7006, 888, 49606, 57500
997, 7005, 896, 49599, 57500
1003, 7006, 896, 49598, 57500
1009, 7007, 372, 50121, 57500
1015, 7007, 372, 50121, 57500
1021, 7006, 376, 50118, 57500
1027, 7006, 378, 50116, 57500
1033, 7007, 3645, 46848, 57500
1039, 7006, 3943, 46551, 57500
1045, 7005, 4056, 46439, 57500
1051, 7005, 4057, 46438, 57500
1057, 7006, 2937, 47557, 57500
1063, 7006, 2947, 47547, 57500
1069, 7006, 2949, 47545, 57500
1075, 7010, 4299, 46191, 57500
1081, 7010, 608, 49882, 57500
1087, 7010, 762, 49728, 57500
1093, 7010, 1068, 49422, 57500
1099, 7009, 1461, 49030, 57500
1105, 7010, 475, 50015, 57500
1111, 7010, 773, 49717, 57500
1117, 7012, 3181, 47307, 57500
1123, 7011, 5249, 45240, 57500
1129, 7011, 6245, 44244, 57500
1135, 7013, 6631, 43856, 57500
1141, 7008, 6782, 43710, 57500
1147, 7010, 7866, 42624, 57500
1153, 7008, 8169, 42323, 57500
1159, 7005, 7214, 43281, 57500
1165, 7002, 5937, 44561, 57500
1171, 7003, 5070, 45427, 57500
1177, 7003, 363, 50134, 57500
1183, 7004, 365, 50131, 57500
1189, 7004, 366, 50130, 57500
1195, 7005, 365, 50130, 57500
1201, 7010, 1877, 48613, 57500
1207, 7008, 1871, 48621, 57500
1213, 7007, 1884, 48609, 57500
1219, 7007, 1878, 48615, 57500
1225, 7010, 699, 49791, 57500
1231, 7010, 948, 49542, 57500
1237, 7009, 954, 49537, 57500
1243, 7007, 1135, 49358, 57500
1249, 7007, 470, 50023, 57500
1255, 7007, 913, 49580, 57500
1261, 7006, 1649, 48845, 57500
1267, 7007, 1941, 48552, 57500
1273, 7006, 534, 49960, 57500
1279, 7004, 1462, 49034, 57500
1285, 7006, 2798, 47696, 57500
1291, 7006, 2789, 47705, 57500
1297, 7008, 1009, 49483, 57500
1303, 7008, 1009, 49483, 57500
1309, 7006, 1010, 49484, 57500
1315, 7006, 1007, 49487, 57500
1321, 7010, 487, 50003, 57500
1327, 7010, 3259, 47231, 57500
1333, 7010, 3709, 46781, 57500
1339, 7011, 4027, 46462, 57500
1345, 7011, 992, 49497, 57500
1351, 7010, 994, 49496, 57500
1357, 7009, 1591, 48900, 57500
1363, 7010, 2031, 48459, 57500
1369, 7009, 5994, 44497, 57500
