ts, default broker, SPOT, EWIIS3, total
359, 57506, 0, 0, 57506
360, 57506, 0, 0, 57506
361, 7126, 0, 50380, 57506
367, 7117, 3, 50386, 57506
373, 7037, 86, 50383, 57506
379, 7026, 93, 50387, 57506
385, 7027, 93, 50386, 57506
391, 7028, 93, 50385, 57506
397, 7027, 93, 50386, 57506
403, 7027, 393, 50086, 57506
409, 7026, 393, 50087, 57506
415, 7024, 396, 50086, 57506
421, 7025, 396, 50085, 57506
427, 7025, 397, 50084, 57506
433, 7025, 397, 50084, 57506
439, 7025, 397, 50084, 57506
445, 7024, 276, 50206, 57506
451, 7025, 187, 50294, 57506
457, 7026, 186, 50294, 57506
463, 7025, 158, 50323, 57506
469, 7024, 188, 50294, 57506
475, 7024, 160, 50322, 57506
481, 7025, 487, 49994, 57506
487, 7025, 486, 49995, 57506
493, 7024, 516, 49966, 57506
499, 7024, 694, 49788, 57506
505, 7024, 784, 49698, 57506
511, 7025, 784, 49697, 57506
517, 7026, 783, 49697, 57506
523, 7122, 0, 50384, 57506
529, 7122, 0, 50384, 57506
535, 7122, 0, 50384, 57506
541, 7122, 0, 50384, 57506
547, 7122, 0, 50384, 57506
553, 7122, 0, 50384, 57506
559, 7124, 0, 50382, 57506
565, 7124, 0, 50382, 57506
571, 7123, 0, 50383, 57506
577, 7121, 0, 50385, 57506
583, 7122, 0, 50384, 57506
589, 7123, 0, 50383, 57506
595, 7124, 0, 50382, 57506
601, 7123, 0, 50383, 57506
607, 7124, 0, 50382, 57506
613, 7125, 0, 50381, 57506
619, 7126, 0, 50380, 57506
625, 7126, 0, 50380, 57506
631, 7125, 0, 50381, 57506
637, 7123, 0, 50383, 57506
643, 7123, 0, 50383, 57506
649, 7126, 0, 50380, 57506
655, 7126, 0, 50380, 57506
661, 7124, 0, 50382, 57506
667, 7123, 0, 50383, 57506
673, 7123, 0, 50383, 57506
679, 7122, 0, 50384, 57506
685, 7122, 0, 50384, 57506
691, 7122, 0, 50384, 57506
697, 7123, 0, 50383, 57506
703, 7123, 0, 50383, 57506
709, 7123, 0, 50383, 57506
715, 7124, 0, 50382, 57506
721, 7124, 0, 50382, 57506
727, 7125, 0, 50381, 57506
733, 7126, 0, 50380, 57506
739, 7125, 0, 50381, 57506
745, 7124, 0, 50382, 57506
751, 7124, 0, 50382, 57506
757, 7123, 0, 50383, 57506
763, 7123, 0, 50383, 57506
769, 7123, 0, 50383, 57506
775, 7123, 0, 50383, 57506
781, 7124, 0, 50382, 57506
787, 7124, 0, 50382, 57506
793, 7123, 0, 50383, 57506
799, 7122, 0, 50384, 57506
805, 7121, 0, 50385, 57506
811, 7121, 0, 50385, 57506
817, 7121, 0, 50385, 57506
823, 7122, 0, 50384, 57506
829, 7122, 0, 50384, 57506
835, 7120, 0, 50386, 57506
841, 7122, 0, 50384, 57506
847, 7122, 0, 50384, 57506
853, 7122, 0, 50384, 57506
859, 7125, 0, 50381, 57506
865, 7126, 0, 50380, 57506
871, 7127, 0, 50379, 57506
877, 7126, 0, 50380, 57506
883, 7126, 0, 50380, 57506
889, 7123, 0, 50383, 57506
895, 7123, 0, 50383, 57506
901, 7123, 0, 50383, 57506
907, 7122, 0, 50384, 57506
913, 7120, 0, 50386, 57506
919, 7120, 0, 50386, 57506
925, 7121, 0, 50385, 57506
931, 7121, 0, 50385, 57506
937, 7121, 0, 50385, 57506
943, 7121, 0, 50385, 57506
949, 7122, 0, 50384, 57506
955, 7123, 0, 50383, 57506
961, 7123, 0, 50383, 57506
967, 7122, 0, 50384, 57506
973, 7123, 0, 50383, 57506
979, 7125, 0, 50381, 57506
985, 7128, 0, 50378, 57506
991, 7126, 0, 50380, 57506
997, 7125, 0, 50381, 57506
1003, 7124, 0, 50382, 57506
1009, 7122, 0, 50384, 57506
1015, 7122, 0, 50384, 57506
1021, 7122, 0, 50384, 57506
1027, 7122, 0, 50384, 57506
1033, 7121, 0, 50385, 57506
1039, 7122, 0, 50384, 57506
1045, 7122, 0, 50384, 57506
1051, 7122, 0, 50384, 57506
1057, 7121, 0, 50385, 57506
1063, 7123, 0, 50383, 57506
1069, 7123, 0, 50383, 57506
1075, 7124, 0, 50382, 57506
1081, 7124, 0, 50382, 57506
1087, 7123, 0, 50383, 57506
1093, 7122, 0, 50384, 57506
1099, 7122, 0, 50384, 57506
1105, 7121, 0, 50385, 57506
1111, 7119, 0, 50387, 57506
1117, 7120, 0, 50386, 57506
1123, 7119, 0, 50387, 57506
1129, 7120, 0, 50386, 57506
1135, 7120, 0, 50386, 57506
1141, 7120, 0, 50386, 57506
1147, 7121, 0, 50385, 57506
1153, 7120, 0, 50386, 57506
1159, 7120, 0, 50386, 57506
1165, 7121, 0, 50385, 57506
1171, 7121, 0, 50385, 57506
1177, 7121, 0, 50385, 57506
1183, 7124, 0, 50382, 57506
1189, 7123, 0, 50383, 57506
1195, 7122, 0, 50384, 57506
1201, 7122, 0, 50384, 57506
1207, 7122, 0, 50384, 57506
1213, 7122, 0, 50384, 57506
1219, 7124, 0, 50382, 57506
1225, 7125, 0, 50381, 57506
1231, 7124, 0, 50382, 57506
1237, 7125, 0, 50381, 57506
1243, 7126, 0, 50380, 57506
1249, 7126, 0, 50380, 57506
1255, 7125, 0, 50381, 57506
1261, 7126, 0, 50380, 57506
1267, 7126, 0, 50380, 57506
1273, 7126, 0, 50380, 57506
1279, 7126, 0, 50380, 57506
1285, 7126, 0, 50380, 57506
1291, 7125, 0, 50381, 57506
1297, 7125, 0, 50381, 57506
1303, 7124, 0, 50382, 57506
1309, 7125, 0, 50381, 57506
1315, 7124, 0, 50382, 57506
1321, 7123, 0, 50383, 57506
1327, 7124, 0, 50382, 57506
1333, 7125, 0, 50381, 57506
1339, 7124, 0, 50382, 57506
1345, 7122, 0, 50384, 57506
1351, 7122, 0, 50384, 57506
1357, 7123, 0, 50383, 57506
1363, 7123, 0, 50383, 57506
1369, 7123, 0, 50383, 57506
1375, 7123, 0, 50383, 57506
1381, 7121, 0, 50385, 57506
1387, 7121, 0, 50385, 57506
1393, 7122, 0, 50384, 57506
1399, 7122, 0, 50384, 57506
1405, 7122, 0, 50384, 57506
1411, 7122, 0, 50384, 57506
1417, 7122, 0, 50384, 57506
1423, 7122, 0, 50384, 57506
1429, 7123, 0, 50383, 57506
1435, 7122, 0, 50384, 57506
1441, 7122, 0, 50384, 57506
1447, 7121, 0, 50385, 57506
1453, 7121, 0, 50385, 57506
1459, 7123, 0, 50383, 57506
1465, 7124, 0, 50382, 57506
1471, 7125, 0, 50381, 57506
1477, 7125, 0, 50381, 57506
1483, 7126, 0, 50380, 57506
1489, 7126, 0, 50380, 57506
1495, 7126, 0, 50380, 57506
1501, 7125, 0, 50381, 57506
1507, 7125, 0, 50381, 57506
1513, 7122, 0, 50384, 57506
1519, 7121, 0, 50385, 57506
1525, 7121, 0, 50385, 57506
1531, 7120, 0, 50386, 57506
1537, 7120, 0, 50386, 57506
1543, 7121, 0, 50385, 57506
1549, 7122, 0, 50384, 57506
1555, 7122, 0, 50384, 57506
1561, 7121, 0, 50385, 57506
1567, 7121, 0, 50385, 57506
1573, 7121, 0, 50385, 57506
1579, 7122, 0, 50384, 57506
1585, 7122, 0, 50384, 57506
1591, 7122, 0, 50384, 57506
1597, 7124, 0, 50382, 57506
1603, 7124, 0, 50382, 57506
1609, 7122, 0, 50384, 57506
1615, 7121, 0, 50385, 57506
1621, 7121, 0, 50385, 57506
1627, 7121, 0, 50385, 57506
1633, 7121, 0, 50385, 57506
1639, 7122, 0, 50384, 57506
1645, 7122, 0, 50384, 57506
1651, 7123, 0, 50383, 57506
1657, 7123, 0, 50383, 57506
1663, 7122, 0, 50384, 57506
1669, 7120, 0, 50386, 57506
1675, 7120, 0, 50386, 57506
1681, 7120, 0, 50386, 57506
1687, 7120, 0, 50386, 57506
1693, 7122, 0, 50384, 57506
1699, 7122, 0, 50384, 57506
1705, 7121, 0, 50385, 57506
1711, 7121, 0, 50385, 57506
1717, 7121, 0, 50385, 57506
1723, 7121, 0, 50385, 57506
1729, 7122, 0, 50384, 57506
1735, 7122, 0, 50384, 57506
1741, 7122, 0, 50384, 57506
1747, 7123, 0, 50383, 57506
1753, 7122, 0, 50384, 57506
1759, 7122, 0, 50384, 57506
1765, 7121, 0, 50385, 57506
1771, 7122, 0, 50384, 57506
1777, 7122, 0, 50384, 57506
1783, 7123, 0, 50383, 57506
1789, 7122, 0, 50384, 57506
1795, 7122, 0, 50384, 57506
1801, 7125, 0, 50381, 57506
1807, 7125, 0, 50381, 57506
1813, 7124, 0, 50382, 57506
1819, 7124, 0, 50382, 57506
1825, 7123, 0, 50383, 57506
1831, 7124, 0, 50382, 57506
1837, 7124, 0, 50382, 57506
1843, 7123, 0, 50383, 57506
1849, 7122, 0, 50384, 57506
