ts, default broker, CrocodileAgent, SPOT, COLDPower18, VidyutVanika, total
359, 57507, 0, 0, 0, 0, 57507
360, 57507, 0, 0, 0, 0, 57507
361, 12, 796, 1238, 0, 55461, 57507
367, 12, 793, 1227, 0, 55475, 57507
373, 11, 791, 1221, 0, 55484, 57507
379, 15, 788, 1212, 0, 55492, 57507
385, 10, 795, 124, 0, 56578, 57507
391, 11, 793, 4, 0, 56699, 57507
397, 12, 793, 3, 0, 56699, 57507
403, 10, 796, 3, 0, 56698, 57507
409, 15, 788, 3, 0, 56701, 57507
415, 12, 791, 4, 0, 56700, 57507
421, 14, 789, 7, 0, 56697, 57507
427, 11, 790, 6, 0, 56700, 57507
433, 8, 856, 5, 0, 56638, 57507
439, 10, 734, 4, 0, 56759, 57507
445, 8, 1187, 5, 0, 56307, 57507
451, 10, 1704, 5, 0, 55788, 57507
457, 15, 3311, 4, 0, 54177, 57507
463, 10, 3642, 2, 0, 53853, 57507
469, 10, 4516, 2, 0, 52979, 57507
475, 8, 6621, 1, 0, 50877, 57507
481, 7, 10095, 4, 0, 47401, 57507
487, 7, 12346, 6, 0, 45148, 57507
493, 9, 15708, 5, 0, 41785, 57507
499, 9, 17869, 5, 0, 39624, 57507
505, 11, 20172, 10, 0, 37314, 57507
511, 10, 22948, 9, 0, 34540, 57507
517, 8, 23709, 9, 0, 33781, 57507
523, 9, 24093, 76, 0, 33329, 57507
529, 9, 23686, 105, 0, 33707, 57507
535, 10, 23452, 131, 0, 33914, 57507
541, 8, 23143, 196, 0, 34160, 57507
547, 9, 21763, 194, 0, 35541, 57507
553, 7, 19905, 195, 0, 37400, 57507
559, 10, 17495, 229, 0, 39773, 57507
565, 10, 16053, 227, 0, 41217, 57507
571, 8, 13603, 210, 0, 43686, 57507
577, 10, 11032, 149, 0, 46316, 57507
583, 8, 9243, 72, 0, 48184, 57507
589, 9, 8089, 44, 0, 49365, 57507
595, 9, 4664, 106, 0, 52728, 57507
601, 7, 645, 68, 0, 56787, 57507
607, 8, 334, 34, 0, 57131, 57507
613, 10, 190, 103, 0, 57204, 57507
619, 13, 674, 103, 0, 56717, 57507
625, 11, 1990, 101, 0, 55405, 57507
631, 10, 2573, 100, 0, 54824, 57507
637, 13, 2814, 64, 0, 54616, 57507
643, 14, 4556, 5, 0, 52932, 57507
649, 10, 7330, 2, 0, 50165, 57507
655, 11, 9815, 3, 0, 47678, 57507
661, 11, 13846, 4, 0, 43646, 57507
667, 10, 16233, 5, 0, 41259, 57507
673, 9, 19516, 5, 0, 37977, 57507
679, 11, 21653, 5, 0, 35838, 57507
685, 11, 22985, 7, 0, 34504, 57507
691, 9, 23024, 8, 0, 34466, 57507
697, 11, 21931, 6, 0, 35559, 57507
703, 10, 20972, 35, 0, 36490, 57507
709, 13, 20857, 32, 0, 36605, 57507
715, 11, 18824, 35, 0, 38637, 57507
721, 12, 16033, 35, 0, 41427, 57507
727, 9, 13545, 36, 0, 43917, 57507
733, 8, 9759, 65, 0, 47675, 57507
739, 10, 7038, 67, 0, 50392, 57507
745, 12, 3835, 36, 0, 53624, 57507
751, 11, 1712, 38, 0, 55746, 57507
