ts, default broker, CrocodileAgent, VidyutVanika, total
359, 57502, 0, 0, 57502
360, 57502, 0, 0, 57502
361, 17, 1744, 55741, 57502
367, 11, 1749, 55742, 57502
373, 9, 1749, 55744, 57502
379, 10, 1746, 55746, 57502
385, 11, 1745, 55746, 57502
391, 12, 1744, 55746, 57502
397, 12, 1742, 55748, 57502
403, 11, 1741, 55750, 57502
409, 12, 1741, 55749, 57502
415, 13, 1739, 55750, 57502
421, 12, 1679, 55811, 57502
427, 13, 1678, 55811, 57502
433, 13, 149, 57340, 57502
439, 13, 58, 57431, 57502
445, 11, 42, 57449, 57502
451, 12, 606, 56884, 57502
457, 27, 1481, 55994, 57502
463, 36, 1623, 55843, 57502
469, 16, 2253, 55233, 57502
475, 13, 5173, 52316, 57502
481, 15, 7780, 49707, 57502
487, 13, 10459, 47030, 57502
493, 11, 13968, 43523, 57502
499, 12, 16515, 40975, 57502
505, 11, 18301, 39190, 57502
511, 12, 21767, 35723, 57502
517, 13, 22111, 35378, 57502
523, 12, 22160, 35330, 57502
529, 13, 21295, 36194, 57502
535, 13, 20939, 36550, 57502
541, 13, 20151, 37338, 57502
547, 13, 17157, 40332, 57502
553, 15, 14649, 42838, 57502
559, 15, 11944, 45543, 57502
565, 14, 8454, 49034, 57502
571, 12, 5956, 51534, 57502
577, 12, 4228, 53262, 57502
583, 13, 830, 56659, 57502
589, 13, 197, 57292, 57502
595, 13, 42, 57447, 57502
601, 11, 44, 57447, 57502
607, 11, 43, 57448, 57502
613, 11, 202, 57289, 57502
619, 12, 294, 57196, 57502
625, 28, 928, 56546, 57502
631, 31, 1035, 56436, 57502
637, 34, 2915, 54553, 57502
643, 38, 4429, 53035, 57502
649, 46, 9167, 48289, 57502
655, 18, 11844, 45640, 57502
661, 13, 14514, 42975, 57502
667, 12, 17278, 40212, 57502
673, 31, 19586, 37885, 57502
679, 27, 21560, 35915, 57502
685, 37, 22022, 35443, 57502
691, 37, 22208, 35257, 57502
697, 41, 21836, 35625, 57502
703, 38, 21632, 35832, 57502
709, 47, 20080, 37375, 57502
715, 42, 18312, 39148, 57502
721, 16, 13488, 43998, 57502
727, 15, 10626, 46861, 57502
733, 10, 8035, 49457, 57502
739, 11, 5201, 52290, 57502
745, 34, 2991, 54477, 57502
751, 34, 984, 56484, 57502
757, 39, 435, 57028, 57502
763, 33, 269, 57200, 57502
769, 13, 120, 57369, 57502
775, 9, 191, 57302, 57502
781, 11, 116, 57375, 57502
787, 12, 199, 57291, 57502
793, 11, 1008, 56483, 57502
799, 11, 1342, 56149, 57502
805, 10, 1936, 55556, 57502
811, 9, 2836, 54657, 57502
817, 11, 5975, 51516, 57502
823, 11, 9327, 48164, 57502
829, 12, 11950, 45540, 57502
835, 14, 15209, 42279, 57502
841, 14, 17329, 40159, 57502
847, 10, 20183, 37309, 57502
853, 12, 21289, 36201, 57502
859, 12, 21695, 35795, 57502
865, 10, 20062, 37430, 57502
871, 12, 20395, 37095, 57502
877, 12, 19864, 37626, 57502
883, 7, 14150, 43345, 57502
889, 7, 10966, 46529, 57502
895, 5, 9078, 48419, 57502
901, 7, 7394, 50101, 57502
907, 5, 5050, 52447, 57502
913, 4, 3409, 54089, 57502
919, 5, 1445, 56052, 57502
925, 15, 744, 56743, 57502
931, 15, 564, 56923, 57502
937, 16, 342, 57144, 57502
943, 13, 42, 57447, 57502
949, 11, 43, 57448, 57502
955, 11, 41, 57450, 57502
961, 8, 44, 57450, 57502
967, 26, 59, 57417, 57502
973, 28, 228, 57246, 57502
979, 8, 697, 56797, 57502
985, 5, 1863, 55634, 57502
991, 6, 2285, 55211, 57502
997, 5, 3546, 53951, 57502
1003, 5, 4646, 52851, 57502
1009, 4, 6357, 51141, 57502
1015, 4, 6935, 50563, 57502
1021, 4, 6931, 50567, 57502
1027, 4, 6641, 50857, 57502
1033, 5, 6572, 50925, 57502
1039, 13, 6654, 50835, 57502
1045, 12, 6749, 50741, 57502
1051, 8, 2434, 55060, 57502
1057, 8, 790, 56704, 57502
1063, 8, 309, 57185, 57502
1069, 5, 161, 57336, 57502
1075, 22, 85, 57395, 57502
1081, 28, 93, 57381, 57502
1087, 32, 99, 57371, 57502
1093, 47, 105, 57350, 57502
1099, 13, 79, 57410, 57502
1105, 10, 74, 57418, 57502
1111, 7, 43, 57452, 57502
1117, 5, 42, 57455, 57502
1123, 5, 40, 57457, 57502
1129, 5, 41, 57456, 57502
1135, 3, 41, 57458, 57502
1141, 3, 471, 57028, 57502
1147, 3, 998, 56501, 57502
1153, 4, 2245, 55253, 57502
1159, 2, 3203, 54297, 57502
1165, 2, 5125, 52375, 57502
1171, 2, 6923, 50577, 57502
1177, 3, 8005, 49494, 57502
1183, 3, 8539, 48960, 57502
1189, 3, 8529, 48970, 57502
1195, 4, 8205, 49293, 57502
1201, 3, 8143, 49356, 57502
1207, 11, 8554, 48937, 57502
1213, 10, 8419, 49073, 57502
1219, 6, 5185, 52311, 57502
1225, 5, 4685, 52812, 57502
1231, 7, 3531, 53964, 57502
1237, 8, 3219, 54275, 57502
1243, 7, 2370, 55125, 57502
1249, 12, 2035, 55455, 57502
1255, 9, 1668, 55825, 57502
1261, 17, 529, 56956, 57502
1267, 17, 357, 57128, 57502
1273, 16, 356, 57130, 57502
1279, 15, 326, 57161, 57502
1285, 11, 298, 57193, 57502
1291, 9, 190, 57303, 57502
1297, 7, 161, 57334, 57502
1303, 7, 163, 57332, 57502
1309, 8, 450, 57044, 57502
1315, 5, 944, 56553, 57502
1321, 6, 1934, 55562, 57502
1327, 7, 2886, 54609, 57502
1333, 5, 5382, 52115, 57502
1339, 7, 6811, 50684, 57502
1345, 4, 7986, 49512, 57502
1351, 3, 8707, 48792, 57502
1357, 2, 8808, 48692, 57502
1363, 4, 8687, 48811, 57502
1369, 16, 9043, 48443, 57502
1375, 16, 8985, 48501, 57502
1381, 17, 8818, 48667, 57502
1387, 13, 8425, 49064, 57502
1393, 13, 7246, 50243, 57502
1399, 10, 6413, 51079, 57502
1405, 11, 3962, 53529, 57502
1411, 12, 2612, 54878, 57502
1417, 10, 1295, 56197, 57502
1423, 10, 576, 56916, 57502
1429, 25, 422, 57055, 57502
1435, 28, 476, 56998, 57502
1441, 37, 160, 57305, 57502
1447, 9, 88, 57405, 57502
1453, 9, 439, 57054, 57502
1459, 10, 877, 56615, 57502
1465, 9, 1689, 55804, 57502
1471, 10, 1807, 55685, 57502
1477, 9, 2918, 54575, 57502
1483, 10, 5748, 51744, 57502
1489, 10, 10145, 47347, 57502
1495, 11, 13078, 44413, 57502
1501, 11, 16220, 41271, 57502
1507, 11, 18682, 38809, 57502
1513, 11, 20946, 36545, 57502
1519, 12, 23630, 33860, 57502
1525, 10, 23732, 33760, 57502
1531, 10, 23611, 33881, 57502
1537, 9, 22560, 34933, 57502
1543, 10, 22253, 35239, 57502
1549, 10, 21443, 36049, 57502
1555, 11, 18400, 39091, 57502
1561, 9, 14189, 43304, 57502
1567, 11, 10996, 46495, 57502
1573, 13, 7815, 49674, 57502
1579, 13, 5286, 52203, 57502
1585, 10, 3112, 54380, 57502
1591, 10, 600, 56892, 57502
1597, 9, 179, 57314, 57502
1603, 9, 119, 57374, 57502
1609, 27, 139, 57336, 57502
1615, 34, 67, 57401, 57502
1621, 40, 72, 57390, 57502
1627, 38, 160, 57304, 57502
1633, 22, 1311, 56169, 57502
1639, 13, 1523, 55966, 57502
1645, 13, 1758, 55731, 57502
1651, 12, 2871, 54619, 57502
1657, 12, 7287, 50203, 57502
1663, 11, 12079, 45412, 57502
1669, 12, 14886, 42604, 57502
1675, 13, 17984, 39505, 57502
1681, 11, 22041, 35450, 57502
1687, 10, 24198, 33294, 57502
1693, 11, 24832, 32659, 57502
1699, 9, 25175, 32318, 57502
1705, 10, 24384, 33108, 57502
1711, 12, 24027, 33463, 57502
1717, 13, 23822, 33667, 57502
1723, 11, 22475, 35016, 57502
1729, 12, 17943, 39547, 57502
1735, 13, 13570, 43919, 57502
1741, 13, 10446, 47043, 57502
1747, 11, 7291, 50200, 57502
1753, 11, 3453, 54038, 57502
1759, 10, 1298, 56194, 57502
