ts, default broker, COLDPower18, VidyutVanika, total
359, 57512, 0, 0, 57512
360, 57512, 0, 0, 57512
361, 56, 0, 57456, 57512
367, 54, 0, 57458, 57512
373, 51, 72, 57389, 57512
379, 54, 75, 57383, 57512
385, 51, 75, 57386, 57512
391, 48, 75, 57389, 57512
397, 39, 222, 57251, 57512
403, 38, 265, 57209, 57512
409, 40, 284, 57188, 57512
415, 45, 295, 57172, 57512
421, 39, 243, 57230, 57512
427, 41, 250, 57221, 57512
433, 42, 14321, 43149, 57512
439, 41, 27598, 29873, 57512
445, 40, 35204, 22268, 57512
451, 40, 37872, 19600, 57512
457, 42, 40478, 16992, 57512
463, 39, 42268, 15205, 57512
469, 38, 44171, 13303, 57512
475, 40, 45738, 11734, 57512
481, 41, 47137, 10334, 57512
487, 41, 47557, 9914, 57512
493, 37, 47955, 9520, 57512
499, 38, 48248, 9226, 57512
505, 39, 48801, 8672, 57512
511, 40, 49372, 8100, 57512
517, 41, 49663, 7808, 57512
523, 38, 49925, 7549, 57512
529, 40, 49943, 7529, 57512
535, 40, 49951, 7521, 57512
541, 37, 50008, 7467, 57512
547, 37, 50108, 7367, 57512
553, 38, 50217, 7257, 57512
559, 38, 50268, 7206, 57512
565, 40, 50267, 7205, 57512
571, 39, 50298, 7175, 57512
577, 39, 50328, 7145, 57512
583, 38, 50328, 7146, 57512
589, 35, 50333, 7144, 57512
595, 38, 50329, 7145, 57512
601, 40, 50360, 7112, 57512
607, 66, 50360, 7086, 57512
613, 58, 50356, 7098, 57512
619, 60, 50362, 7090, 57512
625, 63, 50331, 7118, 57512
631, 65, 50300, 7147, 57512
637, 42, 50272, 7198, 57512
643, 41, 50269, 7202, 57512
649, 37, 50271, 7204, 57512
655, 36, 50270, 7206, 57512
661, 42, 50268, 7202, 57512
667, 41, 50269, 7202, 57512
673, 39, 50275, 7198, 57512
679, 44, 50272, 7196, 57512
685, 40, 50276, 7196, 57512
691, 40, 50275, 7197, 57512
697, 50, 3926, 53536, 57512
703, 50, 372, 57090, 57512
709, 45, 50, 57417, 57512
715, 49, 20, 57443, 57512
721, 46, 0, 57466, 57512
727, 47, 0, 57465, 57512
733, 46, 0, 57466, 57512
739, 44, 0, 57468, 57512
745, 45, 0, 57467, 57512
751, 46, 0, 57466, 57512
757, 46, 0, 57466, 57512
763, 46, 0, 57466, 57512
769, 47, 0, 57465, 57512
775, 46, 0, 57466, 57512
781, 47, 0, 57465, 57512
787, 46, 0, 57466, 57512
793, 46, 0, 57466, 57512
799, 45, 0, 57467, 57512
805, 42, 0, 57470, 57512
811, 42, 0, 57470, 57512
817, 47, 0, 57465, 57512
823, 45, 0, 57467, 57512
829, 46, 0, 57466, 57512
835, 47, 0, 57465, 57512
841, 46, 0, 57466, 57512
847, 48, 0, 57464, 57512
853, 46, 0, 57466, 57512
859, 43, 0, 57469, 57512
865, 36, 0, 57476, 57512
871, 34, 0, 57478, 57512
877, 34, 0, 57478, 57512
883, 34, 0, 57478, 57512
889, 37, 0, 57475, 57512
895, 33, 0, 57479, 57512
901, 34, 0, 57478, 57512
907, 36, 0, 57476, 57512
913, 2366, 0, 55146, 57512
919, 2546, 0, 54966, 57512
925, 3498, 0, 54014, 57512
931, 3502, 0, 54010, 57512
937, 4469, 0, 53043, 57512
943, 4302, 0, 53210, 57512
949, 4447, 0, 53065, 57512
955, 4858, 0, 52654, 57512
961, 5206, 0, 52306, 57512
967, 4967, 0, 52545, 57512
973, 5010, 0, 52502, 57512
979, 4689, 0, 52823, 57512
985, 4776, 0, 52736, 57512
991, 4685, 0, 52827, 57512
997, 4254, 0, 53258, 57512
1003, 4148, 0, 53364, 57512
1009, 4079, 0, 53433, 57512
1015, 3881, 0, 53631, 57512
1021, 4011, 0, 53501, 57512
1027, 3938, 0, 53574, 57512
1033, 3709, 0, 53803, 57512
1039, 3725, 0, 53787, 57512
