ts, default broker, COLDPower18, AgentUDE, total
359, 57508, 0, 0, 57508
360, 57508, 0, 0, 57508
361, 14531, 0, 42977, 57508
367, 11761, 0, 45747, 57508
373, 9950, 0, 47558, 57508
379, 9478, 0, 48030, 57508
385, 8879, 0, 48629, 57508
391, 8788, 0, 48720, 57508
397, 8448, 0, 49060, 57508
403, 8238, 0, 49270, 57508
409, 7417, 0, 50091, 57508
415, 9397, 0, 48111, 57508
421, 7815, 0, 49693, 57508
427, 7366, 0, 50142, 57508
433, 7209, 0, 50299, 57508
439, 8216, 0, 49292, 57508
445, 8024, 0, 49484, 57508
451, 7810, 0, 49698, 57508
457, 7682, 0, 49826, 57508
463, 7472, 0, 50036, 57508
469, 7376, 0, 50132, 57508
475, 7303, 0, 50205, 57508
481, 7244, 0, 50264, 57508
487, 51444, 0, 6064, 57508
493, 43652, 0, 13856, 57508
499, 37397, 0, 20111, 57508
505, 27644, 0, 29864, 57508
511, 26577, 0, 30931, 57508
517, 25956, 0, 31552, 57508
523, 25620, 0, 31888, 57508
529, 15429, 0, 42079, 57508
535, 15192, 0, 42316, 57508
541, 11576, 0, 45932, 57508
547, 10467, 0, 47041, 57508
553, 8719, 0, 48789, 57508
559, 8384, 0, 49124, 57508
565, 8060, 0, 49448, 57508
571, 17892, 0, 39616, 57508
577, 15179, 0, 42329, 57508
583, 14017, 0, 43491, 57508
589, 13197, 0, 44311, 57508
595, 12430, 0, 45078, 57508
601, 11296, 0, 46212, 57508
607, 10517, 0, 46991, 57508
613, 51224, 0, 6284, 57508
619, 54990, 0, 2518, 57508
625, 53465, 0, 4043, 57508
631, 53636, 0, 3872, 57508
637, 52746, 0, 4762, 57508
643, 54208, 0, 3300, 57508
649, 53728, 0, 3780, 57508
655, 53671, 0, 3837, 57508
661, 41789, 0, 15719, 57508
667, 35482, 0, 22026, 57508
673, 28637, 0, 28871, 57508
679, 27161, 0, 30347, 57508
685, 22490, 0, 35018, 57508
691, 20701, 0, 36807, 57508
697, 9804, 0, 47704, 57508
703, 8466, 0, 49042, 57508
709, 7399, 0, 50109, 57508
715, 7167, 0, 50341, 57508
721, 7306, 0, 50202, 57508
727, 7205, 0, 50303, 57508
733, 7171, 0, 50337, 57508
739, 7255, 0, 50253, 57508
745, 7180, 0, 50328, 57508
751, 7114, 0, 50394, 57508
757, 7112, 0, 50396, 57508
763, 7104, 0, 50404, 57508
769, 7104, 0, 50404, 57508
775, 7103, 0, 50405, 57508
781, 10361, 0, 47147, 57508
787, 8056, 0, 49452, 57508
793, 7365, 0, 50143, 57508
799, 7196, 0, 50312, 57508
805, 7183, 0, 50325, 57508
811, 7187, 0, 50321, 57508
817, 7176, 0, 50332, 57508
823, 7314, 0, 50194, 57508
829, 7146, 0, 50362, 57508
835, 7111, 0, 50397, 57508
841, 7113, 0, 50395, 57508
847, 7112, 0, 50396, 57508
853, 7107, 0, 50401, 57508
859, 7104, 0, 50404, 57508
865, 7205, 0, 50303, 57508
871, 7211, 0, 50297, 57508
877, 7153, 0, 50355, 57508
883, 7128, 0, 50380, 57508
889, 7132, 0, 50376, 57508
895, 7126, 0, 50382, 57508
901, 7130, 0, 50378, 57508
907, 7820, 0, 49688, 57508
913, 7340, 0, 50168, 57508
919, 7174, 0, 50334, 57508
925, 7150, 0, 50358, 57508
931, 7123, 0, 50385, 57508
937, 7119, 0, 50389, 57508
943, 7112, 0, 50396, 57508
949, 7287, 0, 50221, 57508
955, 7160, 0, 50348, 57508
961, 7162, 0, 50346, 57508
967, 7132, 0, 50376, 57508
973, 7130, 0, 50378, 57508
979, 7126, 0, 50382, 57508
985, 7119, 0, 50389, 57508
991, 9894, 0, 47614, 57508
997, 7610, 0, 49898, 57508
1003, 7261, 0, 50247, 57508
1009, 7242, 0, 50266, 57508
1015, 7221, 0, 50287, 57508
1021, 7207, 0, 50301, 57508
1027, 7179, 0, 50329, 57508
1033, 7267, 0, 50241, 57508
1039, 7278, 0, 50230, 57508
1045, 7151, 0, 50357, 57508
1051, 7153, 0, 50355, 57508
1057, 7126, 0, 50382, 57508
1063, 7129, 0, 50379, 57508
1069, 7126, 0, 50382, 57508
1075, 7530, 0, 49978, 57508
1081, 7152, 0, 50356, 57508
1087, 7138, 0, 50370, 57508
1093, 7127, 0, 50381, 57508
1099, 7121, 0, 50387, 57508
1105, 7118, 0, 50390, 57508
1111, 7122, 0, 50386, 57508
1117, 9334, 0, 48174, 57508
1123, 8002, 0, 49506, 57508
1129, 7423, 0, 50085, 57508
1135, 7214, 0, 50294, 57508
1141, 7193, 0, 50315, 57508
1147, 7192, 0, 50316, 57508
1153, 7178, 0, 50330, 57508
1159, 9670, 0, 47838, 57508
1165, 7692, 0, 49816, 57508
1171, 7532, 0, 49976, 57508
1177, 7215, 0, 50293, 57508
1183, 7186, 0, 50322, 57508
1189, 7170, 0, 50338, 57508
1195, 7312, 0, 50196, 57508
1201, 8956, 0, 48552, 57508
1207, 7488, 0, 50020, 57508
1213, 7242, 0, 50266, 57508
1219, 7178, 0, 50330, 57508
1225, 7164, 0, 50344, 57508
1231, 7158, 0, 50350, 57508
1237, 7131, 0, 50377, 57508
1243, 8554, 0, 48954, 57508
1249, 7898, 0, 49610, 57508
1255, 8771, 0, 48737, 57508
1261, 7291, 0, 50217, 57508
1267, 7708, 0, 49800, 57508
1273, 7733, 0, 49775, 57508
1279, 7544, 0, 49964, 57508
1285, 7638, 0, 49870, 57508
1291, 7212, 0, 50296, 57508
1297, 7142, 0, 50366, 57508
1303, 7136, 0, 50372, 57508
1309, 7141, 0, 50367, 57508
1315, 7126, 0, 50382, 57508
1321, 7127, 0, 50381, 57508
1327, 7711, 0, 49797, 57508
1333, 7229, 0, 50279, 57508
1339, 7282, 0, 50226, 57508
1345, 7120, 0, 50388, 57508
1351, 7113, 0, 50395, 57508
1357, 7102, 0, 50406, 57508
1363, 7250, 0, 50258, 57508
1369, 7173, 0, 50335, 57508
1375, 7674, 0, 49834, 57508
1381, 7321, 0, 50187, 57508
1387, 7213, 0, 50295, 57508
1393, 7131, 0, 50377, 57508
1399, 7858, 0, 49650, 57508
1405, 7261, 0, 50247, 57508
1411, 7372, 0, 50136, 57508
1417, 7137, 0, 50371, 57508
1423, 7409, 0, 50099, 57508
1429, 7316, 0, 50192, 57508
1435, 7433, 0, 50075, 57508
1441, 7411, 0, 50097, 57508
1447, 7131, 0, 50377, 57508
1453, 7403, 0, 50105, 57508
1459, 7678, 0, 49830, 57508
1465, 7112, 0, 50396, 57508
1471, 7267, 0, 50241, 57508
1477, 7251, 0, 50257, 57508
1483, 7219, 0, 50289, 57508
1489, 7286, 0, 50222, 57508
1495, 7264, 0, 50244, 57508
1501, 7243, 0, 50265, 57508
1507, 7105, 0, 50403, 57508
1513, 7105, 0, 50403, 57508
1519, 7104, 0, 50404, 57508
1525, 7103, 0, 50405, 57508
1531, 7097, 0, 50411, 57508
1537, 7101, 0, 50407, 57508
1543, 7254, 0, 50254, 57508
1549, 7104, 0, 50404, 57508
1555, 7108, 0, 50400, 57508
1561, 7104, 0, 50404, 57508
1567, 7110, 0, 50398, 57508
1573, 7256, 0, 50252, 57508
1579, 7258, 0, 50250, 57508
1585, 7125, 0, 50383, 57508
1591, 7095, 0, 50413, 57508
1597, 7098, 0, 50410, 57508
1603, 7094, 0, 50414, 57508
1609, 7097, 0, 50411, 57508
1615, 7092, 0, 50416, 57508
1621, 7746, 0, 49762, 57508
1627, 7486, 0, 50022, 57508
1633, 7293, 0, 50215, 57508
1639, 7426, 0, 50082, 57508
1645, 7112, 0, 50396, 57508
1651, 8016, 0, 49492, 57508
1657, 7392, 0, 50116, 57508
1663, 7316, 0, 50192, 57508
1669, 7177, 0, 50331, 57508
1675, 7120, 0, 50388, 57508
1681, 7122, 0, 50386, 57508
1687, 7404, 0, 50104, 57508
1693, 7098, 0, 50410, 57508
1699, 7098, 0, 50410, 57508
1705, 7399, 0, 50109, 57508
1711, 8186, 0, 49322, 57508
1717, 7314, 0, 50194, 57508
1723, 8831, 0, 48677, 57508
1729, 7414, 0, 50094, 57508
1735, 10457, 0, 47051, 57508
1741, 7556, 0, 49952, 57508
1747, 9957, 0, 47551, 57508
