ts, default broker, SPOT, VidyutVanika, AgentUDE, Bunnie, total
359, 57511, 0, 0, 0, 0, 57511
360, 57511, 0, 0, 0, 0, 57511
361, 5, 9, 18231, 25127, 14139, 57511
367, 7, 6, 18206, 25153, 14139, 57511
373, 7, 6, 18893, 27233, 11372, 57511
379, 7, 4, 19552, 28336, 9612, 57511
385, 9, 2, 20074, 29425, 8001, 57511
391, 10, 3, 20190, 30042, 7266, 57511
397, 11, 3, 20243, 30814, 6440, 57511
403, 5, 9, 20312, 17881, 19304, 57511
409, 25, 7, 20329, 17434, 19716, 57511
415, 26, 28, 20260, 17912, 19285, 57511
421, 25, 31, 20213, 19749, 17493, 57511
427, 19, 34, 20210, 21127, 16121, 57511
433, 24, 26, 16384, 24893, 16184, 57511
439, 12, 32, 13701, 27184, 16582, 57511
445, 9, 35, 12852, 20222, 24393, 57511
451, 7, 37, 12452, 21026, 23989, 57511
457, 8, 35, 11151, 23654, 22663, 57511
463, 5, 32, 9717, 26031, 21726, 57511
469, 6, 31, 8508, 29794, 19172, 57511
475, 6, 27, 8402, 31208, 17868, 57511
481, 8, 25, 8143, 33229, 16106, 57511
487, 6, 19, 7990, 31533, 17963, 57511
493, 5, 18, 7683, 36234, 13571, 57511
499, 5, 16, 7545, 38237, 11708, 57511
505, 5, 13, 7452, 39289, 10752, 57511
511, 6, 13, 7444, 40780, 9268, 57511
517, 6, 10, 7540, 41521, 8434, 57511
523, 6, 8, 7632, 42752, 7113, 57511
529, 6, 5, 13577, 28117, 15806, 57511
535, 7, 4, 13793, 28689, 15018, 57511
541, 6, 3, 14711, 30895, 11896, 57511
547, 7, 3, 15023, 32442, 10036, 57511
553, 7, 1, 15184, 33125, 9194, 57511
559, 5, 2, 15370, 34304, 7830, 57511
565, 4, 2, 15344, 34663, 7498, 57511
571, 5, 4, 15335, 23457, 18710, 57511
577, 5, 4, 15314, 24083, 18105, 57511
583, 4, 4, 15285, 25113, 17105, 57511
589, 3, 5, 15141, 27935, 14427, 57511
595, 4, 4, 14968, 30019, 12516, 57511
601, 5, 4, 13010, 32535, 11957, 57511
607, 6, 4, 11935, 34227, 11339, 57511
613, 2, 4, 11201, 25209, 21095, 57511
619, 3, 5, 10551, 25610, 21342, 57511
625, 4, 4, 9147, 28817, 19539, 57511
631, 6, 4, 8437, 31776, 17288, 57511
637, 3, 4, 8288, 32535, 16681, 57511
643, 3, 3, 8086, 34059, 15360, 57511
649, 5, 4, 7916, 35531, 14055, 57511
655, 5, 5, 7786, 23616, 26099, 57511
661, 5, 4, 7655, 25269, 24578, 57511
667, 5, 4, 7565, 27900, 22037, 57511
673, 5, 4, 7475, 29169, 20858, 57511
679, 4, 4, 7570, 30962, 18971, 57511
685, 5, 4, 8088, 33223, 16191, 57511
691, 6, 3, 8668, 35141, 13693, 57511
697, 8, 4, 19234, 16729, 21536, 57511
703, 7, 5, 19636, 17288, 20575, 57511
709, 7, 4, 21095, 18785, 17620, 57511
715, 7, 4, 21629, 20167, 15704, 57511
721, 6, 5, 21728, 20446, 15326, 57511
727, 5, 4, 22301, 22195, 13006, 57511
733, 4, 5, 22221, 23280, 12001, 57511
739, 3, 4, 22131, 21269, 14104, 57511
745, 5, 3, 22066, 22615, 12822, 57511
751, 5, 4, 21945, 24364, 11193, 57511
757, 4, 4, 21696, 26311, 9496, 57511
763, 2, 5, 21424, 28108, 7972, 57511
769, 3, 4, 19324, 30626, 7554, 57511
775, 3, 4, 17184, 32610, 7710, 57511
781, 5, 4, 15679, 30333, 11490, 57511
787, 6, 4, 14149, 32106, 11246, 57511
793, 6, 1, 11646, 36447, 9411, 57511
799, 9, 3, 10076, 39305, 8118, 57511
805, 9, 3, 9129, 42040, 6330, 57511
811, 8, 2, 8489, 43178, 5834, 57511
817, 7, 2, 8193, 44097, 5212, 57511
823, 8, 1, 8344, 24615, 24543, 57511
829, 7, 1, 8005, 24401, 25097, 57511
835, 7, 2, 7888, 25860, 23754, 57511
841, 6, 4, 7763, 27466, 22272, 57511
847, 6, 4, 7688, 28710, 21103, 57511
853, 5, 5, 8684, 30150, 18667, 57511
859, 3, 5, 9851, 31656, 15996, 57511
865, 4, 5, 35156, 5667, 16679, 57511
871, 2, 4, 36706, 6062, 14737, 57511
877, 1, 3, 38273, 6476, 12758, 57511
883, 4, 2, 39095, 7492, 10918, 57511
889, 5, 2, 37886, 8588, 11030, 57511
895, 6, 4, 38502, 8985, 10014, 57511
901, 6, 3, 39104, 9618, 8780, 57511
907, 5, 2, 42581, 5784, 9139, 57511
913, 6, 1, 37274, 11222, 9008, 57511
919, 6, 1, 16423, 26054, 15027, 57511
925, 6, 1, 17715, 26755, 13034, 57511
931, 5, 1, 18706, 27281, 11518, 57511
937, 4, 1, 19917, 29083, 8506, 57511
943, 4, 2, 20548, 30283, 6674, 57511
949, 1, 3, 38952, 9183, 9372, 57511
955, 1, 3, 41438, 7548, 8521, 57511
961, 3, 2, 38663, 10222, 8621, 57511
967, 3, 2, 38199, 11899, 7408, 57511
973, 4, 2, 37745, 12967, 6793, 57511
979, 6, 2, 36516, 14357, 6630, 57511
985, 7, 2, 35105, 15871, 6526, 57511
991, 12, 2, 8300, 19766, 29431, 57511
997, 13, 2, 10541, 19101, 27854, 57511
1003, 9, 1, 14081, 18910, 24510, 57511
1009, 9, 1, 17452, 19455, 20594, 57511
1015, 7, 3, 20709, 19614, 17178, 57511
1021, 10, 3, 11748, 25037, 20713, 57511
1027, 7, 4, 15708, 24419, 17373, 57511
1033, 8, 5, 34973, 6324, 16201, 57511
1039, 8, 5, 37600, 7413, 12485, 57511
1045, 7, 5, 38933, 8932, 9634, 57511
1051, 9, 4, 39739, 9623, 8136, 57511
1057, 9, 4, 37078, 12337, 8083, 57511
1063, 8, 6, 37046, 13123, 7328, 57511
1069, 8, 4, 36576, 14313, 6610, 57511
