ts, default broker, CrocodileAgent, SPOT, VidyutVanika, Bunnie, total
359, 57516, 0, 0, 0, 0, 57516
360, 57516, 0, 0, 0, 0, 57516
361, 9, 0, 0, 29430, 28077, 57516
367, 4, 14, 0, 29424, 28074, 57516
373, 3, 1076, 57, 32412, 23968, 57516
379, 2, 1502, 58, 34534, 21420, 57516
385, 2, 2209, 68, 35895, 19342, 57516
391, 2, 2397, 126, 36304, 18687, 57516
397, 2, 2449, 118, 36302, 18645, 57516
403, 4, 2447, 120, 36275, 18670, 57516
409, 3, 2390, 121, 36271, 18731, 57516
415, 2, 2369, 141, 36207, 18797, 57516
421, 2, 2288, 143, 36253, 18830, 57516
427, 2, 2038, 253, 36252, 18971, 57516
433, 4, 1818, 195, 30649, 24850, 57516
439, 3, 1741, 240, 27796, 27736, 57516
445, 6, 1441, 230, 24048, 31791, 57516
451, 5, 1189, 230, 20579, 35513, 57516
457, 4, 811, 200, 17008, 39493, 57516
463, 4, 732, 228, 15104, 41448, 57516
469, 6, 499, 256, 13933, 42822, 57516
475, 2, 330, 257, 12330, 44597, 57516
481, 3, 300, 228, 11491, 45494, 57516
487, 3, 190, 196, 10359, 46768, 57516
493, 4, 177, 200, 10188, 46947, 57516
499, 5, 165, 200, 9354, 47792, 57516
505, 4, 108, 340, 8872, 48192, 57516
511, 3, 97, 0, 9209, 48207, 57516
517, 2, 239, 0, 11369, 45906, 57516
523, 3, 630, 0, 13129, 43754, 57516
529, 2, 1873, 0, 15760, 39881, 57516
535, 6, 3190, 0, 17674, 36646, 57516
541, 6, 4067, 0, 19941, 33502, 57516
547, 6, 4634, 0, 21924, 30952, 57516
553, 7, 4637, 0, 22503, 30369, 57516
559, 6, 4916, 0, 22507, 30087, 57516
565, 6, 4915, 0, 22483, 30112, 57516
571, 4, 4906, 0, 22250, 30356, 57516
577, 3, 4904, 0, 22096, 30513, 57516
583, 5, 4913, 0, 21775, 30823, 57516
589, 4, 4883, 0, 21336, 31293, 57516
595, 5, 4687, 0, 20308, 32516, 57516
601, 4, 4379, 0, 18686, 34447, 57516
607, 3, 3262, 0, 16547, 37704, 57516
613, 4, 2774, 0, 15332, 39406, 57516
619, 4, 2030, 0, 13518, 41964, 57516
625, 3, 1579, 0, 12276, 43658, 57516
631, 3, 1247, 0, 11829, 44437, 57516
637, 3, 1074, 0, 11159, 45280, 57516
643, 2, 651, 0, 10444, 46419, 57516
649, 0, 613, 0, 9930, 46973, 57516
655, 0, 484, 0, 9371, 47661, 57516
661, 3, 400, 0, 9143, 47970, 57516
667, 3, 299, 0, 8707, 48507, 57516
673, 3, 147, 0, 8336, 49030, 57516
679, 1, 140, 0, 8590, 48785, 57516
685, 1, 91, 0, 11118, 46306, 57516
691, 2, 1054, 0, 12471, 43989, 57516
697, 2, 1966, 0, 14444, 41104, 57516
703, 2, 2665, 0, 16473, 38376, 57516
709, 0, 4348, 0, 19151, 34017, 57516
715, 0, 4963, 0, 21314, 31239, 57516
721, 2, 5558, 0, 23437, 28519, 57516
727, 2, 5608, 0, 23601, 28305, 57516
733, 1, 5602, 0, 23563, 28350, 57516
739, 1, 5666, 0, 23332, 28517, 57516
745, 2, 5654, 0, 23120, 28740, 57516
751, 1, 5666, 0, 22887, 28962, 57516
757, 1, 5666, 0, 21433, 30416, 57516
763, 1, 5364, 0, 20709, 31442, 57516
769, 0, 4825, 0, 19344, 33347, 57516
775, 1, 4418, 0, 18124, 34973, 57516
781, 1, 3735, 0, 17190, 36590, 57516
787, 1, 3015, 0, 15285, 39215, 57516
793, 3, 1842, 0, 13095, 42576, 57516
799, 5, 1371, 0, 11203, 44937, 57516
805, 5, 1160, 0, 10813, 45538, 57516
811, 8, 739, 0, 9409, 47360, 57516
817, 8, 599, 0, 9012, 47897, 57516
823, 9, 545, 0, 8911, 48051, 57516
829, 7, 457, 0, 8464, 48588, 57516
835, 5, 331, 0, 8276, 48904, 57516
841, 4, 240, 0, 8401, 48871, 57516
847, 7, 136, 0, 8428, 48945, 57516
853, 6, 286, 0, 9839, 47385, 57516
859, 7, 689, 0, 10900, 45920, 57516
865, 6, 1916, 0, 16114, 39480, 57516
871, 4, 2337, 0, 19315, 35860, 57516
877, 4, 2967, 0, 21818, 32727, 57516
883, 3, 3538, 0, 22376, 31599, 57516
889, 2051, 4371, 0, 24351, 26743, 57516
895, 2166, 4327, 0, 27673, 23350, 57516
901, 2374, 4523, 0, 31046, 19573, 57516
907, 2671, 4424, 0, 32344, 18077, 57516
913, 2715, 4358, 0, 34247, 16196, 57516
919, 2764, 4334, 0, 17904, 32514, 57516
925, 2986, 4214, 0, 19211, 31105, 57516
931, 3030, 4043, 0, 21493, 28950, 57516
937, 3027, 3696, 0, 24734, 26059, 57516
