ts, default broker, CrocodileAgent, VidyutVanika, AgentUDE, Bunnie, total
359, 57499, 0, 0, 0, 0, 57499
360, 57499, 0, 0, 0, 0, 57499
361, 3, 4, 7647, 27154, 22691, 57499
367, 2, 4, 7647, 27154, 22692, 57499
373, 3, 4, 7647, 29988, 19857, 57499
379, 3, 6, 7648, 32666, 17176, 57499
385, 2, 66, 7707, 34876, 14848, 57499
391, 3, 67, 7852, 36027, 13550, 57499
397, 3, 110, 8206, 37001, 12179, 57499
403, 3, 1758, 17983, 12752, 25003, 57499
409, 6, 2482, 21168, 12099, 21744, 57499
415, 3, 3359, 24664, 13305, 16168, 57499
421, 5, 4654, 28168, 14918, 9754, 57499
427, 4, 5358, 29777, 16038, 6322, 57499
433, 2, 5607, 30466, 16803, 4621, 57499
439, 1, 5895, 30294, 17348, 3961, 57499
445, 3, 5889, 30129, 9070, 12408, 57499
451, 3, 5891, 29958, 9094, 12553, 57499
457, 3, 5832, 29881, 10947, 10836, 57499
463, 5, 5830, 29734, 12043, 9887, 57499
469, 2, 5788, 29393, 13810, 8506, 57499
475, 4, 4243, 20430, 16831, 15991, 57499
481, 3, 3381, 16721, 19668, 17726, 57499
487, 3, 2538, 16007, 20428, 18523, 57499
493, 3, 1348, 14418, 28725, 13005, 57499
499, 2, 563, 12264, 36102, 8568, 57499
505, 5, 273, 11272, 40717, 5232, 57499
511, 3, 4, 10661, 42903, 3928, 57499
517, 4, 3, 9051, 45390, 3051, 57499
523, 4, 5, 8440, 46902, 2148, 57499
529, 3, 9, 8316, 9817, 39354, 57499
535, 3, 9, 7942, 9934, 39611, 57499
541, 2, 9, 7715, 10745, 39028, 57499
547, 1, 10, 7610, 11413, 38465, 57499
553, 1, 8, 7816, 11786, 37888, 57499
559, 1, 7, 7939, 12924, 36628, 57499
565, 1, 243, 8289, 14384, 34582, 57499
571, 3, 1321, 14074, 11943, 30158, 57499
577, 1, 3828, 19932, 16258, 17480, 57499
583, 5, 4649, 21469, 18496, 12880, 57499
589, 2, 5398, 24413, 20681, 7005, 57499
595, 2, 5664, 25162, 21777, 4894, 57499
601, 1, 5903, 25437, 22694, 3464, 57499
607, 4, 5930, 25481, 23288, 2796, 57499
613, 3, 5966, 25731, 7010, 18789, 57499
619, 5, 5960, 25630, 5947, 19957, 57499
625, 5, 5959, 25425, 7893, 18217, 57499
631, 3, 5961, 25272, 8390, 17873, 57499
637, 2, 5757, 25091, 9578, 17071, 57499
643, 3, 4681, 22779, 10667, 19369, 57499
649, 3, 2377, 20783, 12500, 21836, 57499
655, 5, 1358, 18772, 3010, 34354, 57499
661, 5, 614, 15942, 4207, 36731, 57499
667, 4, 369, 13458, 5278, 38390, 57499
673, 6, 98, 11582, 7026, 38787, 57499
679, 5, 39, 10957, 7040, 39458, 57499
685, 3, 5, 10624, 9566, 37301, 57499
691, 4, 5, 10468, 10372, 36650, 57499
697, 3, 5, 8049, 6957, 42485, 57499
703, 2, 5, 7666, 9963, 39863, 57499
709, 3, 5, 7660, 15014, 34817, 57499
715, 3, 5, 7767, 19835, 29889, 57499
721, 2, 7, 7594, 23351, 26545, 57499
727, 3, 6, 7789, 25509, 24192, 57499
733, 6, 62, 10398, 28761, 18272, 57499
739, 3, 2095, 18858, 3991, 32552, 57499
745, 4, 3371, 23560, 2960, 27604, 57499
751, 1, 5606, 27982, 3218, 20692, 57499
757, 4, 7203, 32922, 3772, 13598, 57499
763, 6, 8088, 35260, 4031, 10114, 57499
769, 6, 8540, 36525, 4583, 7845, 57499
775, 2, 8782, 36754, 4734, 7227, 57499
781, 7, 8776, 36698, 2239, 9779, 57499
787, 4, 8775, 36661, 2345, 9714, 57499
793, 2, 8758, 36627, 2842, 9270, 57499
799, 4, 8758, 36386, 3276, 9075, 57499
805, 4, 8677, 35666, 4022, 9130, 57499
811, 4, 6520, 34009, 5386, 11580, 57499
817, 3, 5421, 28881, 7061, 16133, 57499
823, 1, 3258, 23670, 2051, 28519, 57499
829, 5, 1780, 21622, 2479, 31613, 57499
835, 3, 796, 18926, 3927, 33847, 57499
841, 3, 283, 15962, 5406, 35845, 57499
847, 5, 13, 13605, 4774, 39102, 57499
853, 4, 10, 12432, 5312, 39741, 57499
859, 4, 11, 11759, 6318, 39407, 57499
865, 4, 8, 45939, 1411, 10137, 57499
871, 3, 9, 51287, 1194, 5006, 57499
877, 3, 8, 53178, 1884, 2426, 57499
883, 0, 10, 52006, 2745, 2738, 57499
889, 1, 7, 51734, 3087, 2670, 57499
895, 3, 10, 49907, 3235, 4344, 57499
901, 4, 153, 49773, 3565, 4004, 57499
907, 1, 407, 50306, 3624, 3161, 57499
913, 3, 882, 47533, 6042, 3039, 57499
919, 3, 1212, 44107, 8195, 3982, 57499
925, 4, 1536, 41160, 10521, 4278, 57499
931, 4, 1615, 38917, 13073, 3890, 57499
937, 2, 1819, 39386, 14644, 1648, 57499
943, 2, 1883, 36276, 17305, 2033, 57499
949, 5, 1881, 42383, 10211, 3019, 57499
955, 4, 1882, 40707, 12628, 2278, 57499
961, 1, 1888, 37257, 16985, 1368, 57499
967, 4, 1883, 34401, 19856, 1355, 57499
973, 3, 1649, 30531, 23793, 1523, 57499
979, 3, 1216, 29624, 25526, 1130, 57499
985, 4, 1185, 28029, 26901, 1380, 57499
991, 5, 593, 10818, 33896, 12187, 57499
997, 3, 374, 13899, 32061, 11162, 57499
1003, 2, 295, 21362, 33520, 2320, 57499
1009, 3, 153, 21085, 35098, 1160, 57499
1015, 3, 64, 8307, 44387, 4738, 57499
1021, 2, 3, 7192, 46021, 4281, 57499
1027, 2, 4, 9812, 46435, 1246, 57499
1033, 3, 4, 46317, 7253, 3922, 57499
1039, 3, 4, 47112, 5193, 5187, 57499
1045, 2, 3, 46360, 6336, 4798, 57499
1051, 1, 4, 47703, 7272, 2519, 57499
1057, 2, 8, 48676, 7472, 1341, 57499
1063, 2, 6, 45461, 8811, 3219, 57499
1069, 2, 7, 43850, 9956, 3684, 57499
1075, 3, 277, 51309, 1543, 4367, 57499
1081, 2, 808, 51561, 1467, 3661, 57499
1087, 2, 1562, 48999, 2063, 4873, 57499
1093, 4, 2156, 47349, 2552, 5438, 57499
1099, 5, 2721, 44585, 3078, 7110, 57499
1105, 6, 3265, 47506, 3505, 3217, 57499
1111, 2, 3422, 48622, 3897, 1556, 57499
1117, 3, 3421, 50976, 1649, 1450, 57499
1123, 3, 3422, 50418, 2087, 1569, 57499
1129, 3, 3403, 50106, 2427, 1560, 57499
1135, 2, 3403, 49898, 2413, 1783, 57499
1141, 2, 3403, 48424, 2906, 2764, 57499
1147, 3, 3385, 46945, 3286, 3880, 57499
1153, 4, 2408, 47976, 3965, 3146, 57499
1159, 5, 2220, 12833, 12036, 30405, 57499
1165, 5, 2010, 12622, 12127, 30735, 57499
1171, 6, 1575, 21169, 12335, 22414, 57499
1177, 5, 1006, 24102, 12669, 19717, 57499
1183, 5, 678, 9691, 17782, 29343, 57499
1189, 4, 486, 13554, 17896, 25559, 57499
1195, 3, 368, 19409, 18232, 19487, 57499
1201, 3, 37, 46735, 5491, 5233, 57499
1207, 5, 7, 50095, 5104, 2288, 57499
1213, 2, 11, 48827, 6756, 1903, 57499
1219, 3, 5, 47708, 8036, 1747, 57499
1225, 4, 5, 44762, 9759, 2969, 57499
1231, 3, 8, 42207, 11647, 3634, 57499
1237, 3, 426, 15453, 31086, 10531, 57499
1243, 2, 1048, 42741, 3086, 10622, 57499
1249, 3, 1638, 50828, 631, 4399, 57499
1255, 3, 1770, 53987, 171, 1568, 57499
1261, 0, 2272, 52692, 396, 2139, 57499
1267, 1, 2526, 52987, 261, 1724, 57499
1273, 2, 2860, 51802, 175, 2660, 57499
1279, 0, 2928, 50580, 202, 3789, 57499
1285, 0, 2926, 48005, 2603, 3965, 57499
1291, 0, 2925, 45374, 5247, 3953, 57499
1297, 3, 2921, 45828, 7550, 1197, 57499
1303, 3, 2903, 21768, 24471, 8354, 57499
1309, 3, 2525, 13487, 30704, 10780, 57499
1315, 3, 2255, 15690, 30706, 8845, 57499
1321, 3, 1144, 22455, 32545, 1352, 57499
1327, 3, 886, 45043, 6785, 4782, 57499
1333, 2, 619, 48328, 2720, 5830, 57499
1339, 1, 414, 52932, 1465, 2687, 57499
1345, 1, 74, 53311, 1620, 2493, 57499
1351, 5, 4, 52934, 1322, 3234, 57499
1357, 0, 4, 51002, 2771, 3722, 57499
1363, 2, 5, 52288, 2170, 3034, 57499
1369, 3, 5, 10660, 24999, 21832, 57499
1375, 4, 4, 7525, 27362, 22604, 57499
1381, 2, 5, 7321, 34987, 15184, 57499
1387, 5, 5, 7282, 40331, 9876, 57499
1393, 1, 38, 7282, 43748, 6430, 57499
1399, 5, 36, 7342, 45885, 4231, 57499
1405, 3, 67, 7630, 47267, 2532, 57499
1411, 3, 1966, 18633, 10174, 26723, 57499
1417, 1, 2389, 19612, 8144, 27353, 57499
1423, 4, 3751, 23534, 9243, 20967, 57499
1429, 3, 5458, 27855, 10944, 13239, 57499
1435, 3, 6172, 29900, 11961, 9463, 57499
1441, 2, 6521, 30856, 12732, 7388, 57499
1447, 5, 6713, 31274, 13286, 6221, 57499
1453, 3, 6802, 31291, 7252, 12151, 57499
1459, 3, 6822, 31143, 7633, 11898, 57499
1465, 3, 6787, 31144, 9131, 10434, 57499
1471, 3, 6787, 31085, 10421, 9203, 57499
1477, 3, 6696, 30721, 11540, 8539, 57499
1483, 2, 4776, 20909, 15484, 16328, 57499
1489, 3, 4354, 19120, 17483, 16539, 57499
1495, 2, 3027, 17440, 5975, 31055, 57499
1501, 6, 1540, 16357, 7474, 32122, 57499
1507, 2, 836, 14784, 10527, 31350, 57499
1513, 1, 327, 12557, 13997, 30617, 57499
1519, 3, 112, 11830, 16205, 29349, 57499
1525, 4, 21, 10776, 17963, 28735, 57499
1531, 4, 5, 9876, 19861, 27753, 57499
1537, 1, 8, 7688, 19501, 30301, 57499
1543, 2, 8, 7134, 23202, 27153, 57499
1549, 4, 10, 7110, 29028, 21347, 57499
1555, 4, 6, 7149, 31562, 18778, 57499
1561, 4, 6, 7149, 32369, 17971, 57499
1567, 2, 7, 7304, 33146, 17040, 57499
1573, 5, 97, 9993, 34267, 13137, 57499
1579, 2, 1789, 19354, 9783, 26571, 57499
1585, 2, 2673, 22143, 8956, 23725, 57499
1591, 1, 3886, 25637, 10244, 17731, 57499
1597, 1, 5241, 29115, 11504, 11638, 57499
1603, 2, 5707, 31287, 12325, 8178, 57499
1609, 3, 6198, 32347, 12952, 5999, 57499
1615, 2, 6392, 32477, 13446, 5182, 57499
1621, 3, 6466, 33080, 2499, 15451, 57499
1627, 1, 6471, 33064, 1870, 16093, 57499
1633, 4, 6470, 33057, 2217, 15751, 57499
