ts, default broker, SPOT, EWIIS3, AgentUDE, Bunnie, total
359, 57515, 0, 0, 0, 0, 57515
360, 57515, 0, 0, 0, 0, 57515
361, 6827, 501, 83, 29750, 20354, 57515
367, 6823, 499, 62, 29771, 20360, 57515
373, 6615, 597, 57, 33660, 16586, 57515
379, 6577, 593, 63, 35702, 14580, 57515
385, 6645, 94, 86, 37469, 13221, 57515
391, 6782, 57, 68, 38892, 11716, 57515
397, 6839, 54, 62, 40258, 10302, 57515
403, 6840, 92, 354, 4286, 45943, 57515
409, 6846, 155, 204, 2009, 48301, 57515
415, 6861, 148, 545, 1886, 48075, 57515
421, 6842, 283, 419, 2404, 47567, 57515
427, 6875, 280, 179, 2890, 47291, 57515
433, 6902, 202, 110, 2893, 47408, 57515
439, 6888, 184, 401, 2981, 47061, 57515
445, 6939, 199, 297, 46, 50034, 57515
451, 6941, 201, 296, 38, 50039, 57515
457, 6984, 210, 235, 42, 50044, 57515
463, 6928, 229, 197, 174, 49987, 57515
469, 6943, 250, 138, 168, 50016, 57515
475, 6942, 263, 112, 399, 49799, 57515
481, 6851, 241, 76, 374, 49973, 57515
487, 6839, 164, 73, 24, 50415, 57515
493, 6745, 164, 70, 24, 50512, 57515
499, 6750, 133, 38, 24, 50570, 57515
505, 6765, 103, 34, 14, 50599, 57515
511, 6801, 102, 32, 14, 50566, 57515
517, 6865, 91, 31, 15, 50513, 57515
523, 6886, 92, 31, 15, 50491, 57515
529, 6912, 91, 31, 5, 50476, 57515
535, 6877, 100, 31, 4, 50503, 57515
541, 6916, 100, 29, 4, 50466, 57515
547, 6938, 102, 29, 4, 50442, 57515
553, 6921, 105, 26, 4, 50459, 57515
559, 6955, 95, 24, 4, 50437, 57515
565, 6887, 94, 24, 5, 50505, 57515
571, 6688, 94, 26, 3, 50704, 57515
577, 6767, 93, 25, 4, 50626, 57515
583, 6809, 93, 26, 6, 50581, 57515
589, 6854, 95, 25, 4, 50537, 57515
595, 6800, 91, 26, 155, 50443, 57515
601, 6823, 91, 26, 155, 50420, 57515
607, 6814, 91, 27, 126, 50457, 57515
613, 6241, 91, 28, 3, 51152, 57515
619, 6371, 101, 18, 5, 51020, 57515
625, 6501, 191, 17, 4, 50802, 57515
631, 6627, 191, 16, 5, 50676, 57515
637, 6746, 192, 17, 4, 50556, 57515
643, 6741, 191, 17, 5, 50561, 57515
649, 6789, 191, 17, 5, 50513, 57515
655, 6831, 211, 17, 4, 50452, 57515
661, 6909, 205, 16, 155, 50230, 57515
667, 6937, 145, 17, 156, 50260, 57515
673, 6964, 146, 19, 156, 50230, 57515
679, 6986, 136, 19, 155, 50219, 57515
685, 6898, 295, 19, 156, 50147, 57515
691, 6905, 294, 19, 159, 50138, 57515
697, 6770, 244, 21, 152, 50328, 57515
703, 6790, 246, 21, 153, 50305, 57515
709, 6285, 247, 20, 152, 50811, 57515
715, 6322, 246, 18, 153, 50776, 57515
721, 6495, 245, 18, 153, 50604, 57515
727, 6679, 125, 19, 153, 50539, 57515
733, 6770, 76, 18, 173, 50478, 57515
739, 6839, 192, 19, 92, 50373, 57515
745, 6816, 165, 17, 53, 50464, 57515
751, 6880, 484, 17, 42, 50092, 57515
757, 6866, 509, 8, 41, 50091, 57515
763, 6863, 665, 9, 40, 49938, 57515
769, 6913, 659, 8, 189, 49746, 57515
775, 6898, 651, 12, 187, 49767, 57515
781, 6869, 626, 15, 3, 50002, 57515
787, 6871, 596, 14, 4, 50030, 57515
793, 6852, 598, 13, 4, 50048, 57515
799, 6794, 607, 12, 4, 50098, 57515
805, 6813, 434, 11, 7, 50250, 57515
811, 6813, 285, 11, 7, 50399, 57515
817, 6780, 196, 11, 7, 50521, 57515
823, 6851, 165, 11, 4, 50484, 57515
829, 6839, 312, 11, 5, 50348, 57515
835, 6784, 312, 12, 16, 50391, 57515
841, 6786, 430, 10, 18, 50271, 57515
847, 6823, 577, 11, 304, 49800, 57515
853, 6825, 539, 11, 304, 49836, 57515
859, 6874, 509, 13, 304, 49815, 57515
865, 6931, 507, 13, 6, 50058, 57515
871, 6897, 477, 13, 5, 50123, 57515
877, 6932, 448, 12, 5, 50118, 57515
883, 6912, 388, 11, 9, 50195, 57515
889, 6921, 268, 8, 9, 50309, 57515
895, 6926, 277, 9, 6, 50297, 57515
901, 6872, 278, 10, 4, 50351, 57515
907, 6841, 182, 9, 5, 50478, 57515
913, 6836, 184, 8, 17, 50470, 57515
919, 6856, 123, 7, 23, 50506, 57515
925, 6728, 123, 9, 23, 50632, 57515
931, 6711, 123, 9, 174, 50498, 57515
937, 6739, 124, 7, 315, 50330, 57515
943, 6717, 93, 8, 316, 50381, 57515
949, 6815, 93, 11, 3, 50593, 57515
955, 6809, 93, 11, 5, 50597, 57515
961, 6882, 93, 11, 4, 50525, 57515
