ts, default broker, CrocodileAgent, SPOT, EWIIS3, Bunnie, total
359, 57509, 0, 0, 0, 0, 57509
360, 57509, 0, 0, 0, 0, 57509
361, 6817, 215, 0, 35, 50442, 57509
367, 6758, 190, 82, 14, 50465, 57509
373, 6579, 246, 96, 12, 50576, 57509
379, 6439, 309, 100, 10, 50651, 57509
385, 6450, 277, 101, 12, 50669, 57509
391, 6511, 273, 100, 15, 50610, 57509
397, 6524, 607, 110, 16, 50252, 57509
403, 6642, 504, 108, 16, 50239, 57509
409, 6738, 2654, 99, 160, 47858, 57509
415, 6655, 3853, 235, 134, 46632, 57509
421, 6708, 5147, 236, 45, 45373, 57509
427, 6759, 6322, 238, 44, 44146, 57509
433, 6623, 8187, 236, 42, 42421, 57509
439, 6639, 8715, 351, 42, 41762, 57509
445, 6537, 8759, 351, 43, 41819, 57509
451, 6578, 8715, 348, 41, 41827, 57509
457, 6579, 8707, 271, 43, 41909, 57509
463, 6533, 8652, 272, 12, 42040, 57509
469, 6571, 8456, 269, 14, 42199, 57509
475, 6641, 8322, 271, 13, 42262, 57509
481, 6664, 7190, 181, 13, 43461, 57509
487, 6661, 6617, 150, 14, 44067, 57509
493, 6387, 6069, 215, 14, 44824, 57509
499, 6256, 5140, 216, 15, 45882, 57509
505, 6273, 3990, 193, 15, 47038, 57509
511, 6244, 2682, 200, 12, 48371, 57509
517, 5887, 2124, 200, 11, 49287, 57509
523, 5862, 1821, 199, 12, 49615, 57509
529, 6296, 1332, 0, 12, 49869, 57509
535, 6448, 960, 0, 9, 50092, 57509
541, 6576, 858, 0, 9, 50066, 57509
547, 6636, 612, 0, 9, 50252, 57509
553, 6527, 560, 0, 10, 50412, 57509
559, 6623, 349, 0, 10, 50527, 57509
565, 6729, 450, 0, 12, 50318, 57509
571, 6531, 1104, 0, 12, 49862, 57509
577, 6655, 3231, 0, 13, 47610, 57509
583, 6691, 4392, 0, 11, 46415, 57509
589, 6735, 7954, 0, 13, 42807, 57509
595, 6734, 8356, 0, 13, 42406, 57509
601, 6739, 9996, 0, 12, 40762, 57509
607, 6748, 10830, 0, 11, 39920, 57509
613, 6778, 10783, 0, 10, 39938, 57509
619, 6765, 10743, 0, 10, 39991, 57509
625, 6768, 10710, 0, 11, 40020, 57509
631, 6796, 10544, 0, 11, 40158, 57509
637, 6601, 10510, 0, 13, 40385, 57509
643, 6562, 10363, 0, 12, 40572, 57509
649, 6552, 10029, 0, 11, 40917, 57509
655, 6457, 8787, 0, 9, 42256, 57509
661, 6574, 6614, 0, 8, 44313, 57509
667, 6647, 6016, 0, 7, 44839, 57509
673, 6566, 4548, 0, 9, 46386, 57509
679, 6670, 3309, 0, 10, 47520, 57509
685, 6550, 2477, 0, 9, 48473, 57509
691, 6515, 1859, 0, 9, 49126, 57509
697, 6578, 1267, 0, 8, 49656, 57509
703, 6658, 965, 0, 8, 49878, 57509
709, 6545, 809, 0, 7, 50148, 57509
715, 6682, 564, 0, 8, 50255, 57509
721, 6693, 478, 0, 9, 50329, 57509
727, 6729, 322, 0, 10, 50448, 57509
733, 6785, 436, 0, 11, 50277, 57509
739, 6744, 778, 0, 9, 49978, 57509
745, 6775, 2952, 0, 10, 47772, 57509
751, 6868, 4715, 0, 12, 45914, 57509
757, 6793, 7600, 0, 12, 43104, 57509
763, 6797, 8829, 0, 12, 41871, 57509
769, 6801, 9637, 0, 11, 41060, 57509
775, 6775, 10033, 0, 9, 40692, 57509
781, 6789, 9941, 0, 9, 40770, 57509
787, 6780, 9917, 0, 8, 40804, 57509
793, 6796, 9886, 0, 6, 40821, 57509
799, 6785, 9979, 0, 7, 40738, 57509
805, 6604, 10027, 0, 10, 40868, 57509
811, 6652, 9891, 0, 10, 40956, 57509
817, 6665, 8895, 0, 11, 41938, 57509
823, 6685, 7862, 0, 10, 42952, 57509
829, 6472, 5897, 0, 9, 45131, 57509
835, 6588, 4415, 0, 9, 46497, 57509
841, 6720, 3928, 0, 10, 46851, 57509
847, 6777, 2421, 0, 10, 48301, 57509
853, 6822, 2136, 0, 8, 48543, 57509
859, 6813, 1756, 0, 9, 48931, 57509
865, 6703, 1312, 0, 12, 49482, 57509
871, 6715, 907, 0, 12, 49875, 57509
877, 6645, 722, 0, 12, 50130, 57509
883, 6476, 711, 0, 12, 50310, 57509
889, 6582, 634, 0, 11, 50282, 57509
895, 6682, 465, 0, 9, 50353, 57509
901, 6305, 598, 0, 9, 50597, 57509
907, 6294, 1973, 0, 10, 49232, 57509
913, 6357, 3840, 0, 11, 47301, 57509
919, 6422, 4561, 0, 11, 46515, 57509
925, 6557, 7007, 0, 12, 43933, 57509
931, 6561, 8460, 0, 12, 42476, 57509
937, 6466, 9105, 0, 9, 41929, 57509
943, 6565, 9589, 0, 7, 41348, 57509
949, 6840, 9407, 0, 10, 41252, 57509
955, 6920, 9346, 0, 11, 41232, 57509
961, 6768, 9331, 0, 9, 41401, 57509
967, 6788, 9266, 0, 9, 41446, 57509
973, 6792, 9029, 0, 9, 41679, 57509
979, 6540, 8531, 0, 8, 42430, 57509
985, 6576, 7693, 0, 8, 43232, 57509
991, 6681, 6496, 0, 9, 44323, 57509
997, 6735, 5120, 0, 10, 45644, 57509
1003, 6800, 2762, 0, 9, 47938, 57509
1009, 6808, 1910, 0, 9, 48782, 57509
1015, 6822, 1244, 0, 9, 49434, 57509
1021, 6799, 1005, 0, 10, 49695, 57509
1027, 6824, 839, 0, 10, 49836, 57509
1033, 6700, 707, 0, 10, 50092, 57509
1039, 6735, 616, 0, 12, 50146, 57509
1045, 6766, 552, 0, 14, 50177, 57509
1051, 6678, 558, 0, 13, 50260, 57509
1057, 6730, 381, 0, 13, 50385, 57509
1063, 6482, 490, 0, 12, 50525, 57509
1069, 6611, 516, 0, 10, 50372, 57509
1075, 6656, 786, 0, 10, 50057, 57509
1081, 6791, 2292, 0, 11, 48415, 57509
1087, 6821, 2918, 0, 13, 47757, 57509
1093, 6627, 5689, 0, 12, 45181, 57509
1099, 6597, 6425, 0, 12, 44475, 57509
1105, 6633, 7664, 0, 10, 43202, 57509
1111, 6661, 7930, 0, 10, 42908, 57509
1117, 6726, 7896, 0, 12, 42875, 57509
1123, 6780, 7951, 0, 10, 42768, 57509
1129, 6783, 7868, 0, 11, 42847, 57509
1135, 6665, 7868, 0, 6, 42970, 57509
1141, 6568, 7604, 0, 9, 43328, 57509
1147, 6619, 6859, 0, 9, 44022, 57509
1153, 6750, 5262, 0, 20, 45477, 57509
1159, 6763, 4668, 0, 19, 46059, 57509
1165, 6770, 4081, 0, 10, 46648, 57509
1171, 6815, 2942, 0, 11, 47741, 57509
1177, 6735, 2496, 0, 12, 48266, 57509
1183, 6759, 1866, 0, 12, 48872, 57509
1189, 6654, 1726, 0, 12, 49117, 57509
1195, 6609, 1463, 0, 14, 49423, 57509
1201, 6732, 872, 0, 14, 49891, 57509
1207, 6590, 749, 0, 15, 50155, 57509
1213, 6539, 804, 0, 15, 50151, 57509
1219, 6568, 664, 0, 17, 50260, 57509
1225, 6646, 517, 0, 17, 50329, 57509
1231, 6581, 498, 0, 18, 50412, 57509
1237, 6612, 495, 0, 15, 50387, 57509
1243, 6688, 702, 0, 15, 50104, 57509
1249, 6658, 1549, 0, 15, 49287, 57509
1255, 6578, 2143, 0, 14, 48774, 57509
1261, 6481, 3249, 0, 13, 47766, 57509
1267, 6526, 4078, 0, 11, 46894, 57509
1273, 6638, 5805, 0, 13, 45053, 57509
1279, 6687, 5998, 0, 12, 44812, 57509
1285, 6638, 5975, 0, 12, 44884, 57509
1291, 6569, 5953, 0, 13, 44974, 57509
1297, 6549, 5931, 0, 14, 45015, 57509
1303, 6599, 5881, 0, 13, 45016, 57509
1309, 6642, 5828, 0, 13, 45026, 57509
1315, 6672, 5202, 0, 13, 45622, 57509
1321, 6814, 4871, 0, 12, 45812, 57509
1327, 6803, 4591, 0, 12, 46103, 57509
1333, 6686, 3749, 0, 12, 47062, 57509
1339, 6531, 3322, 0, 12, 47644, 57509
1345, 6607, 2404, 0, 9, 48489, 57509
1351, 6523, 1843, 0, 9, 49134, 57509
1357, 6684, 1297, 0, 8, 49520, 57509
1363, 6724, 1100, 0, 8, 49677, 57509
1369, 6687, 884, 0, 10, 49928, 57509
1375, 6614, 800, 0, 11, 50084, 57509
1381, 6539, 677, 0, 10, 50283, 57509
1387, 6428, 540, 0, 11, 50530, 57509
1393, 6596, 424, 0, 11, 50478, 57509
1399, 6655, 409, 0, 11, 50434, 57509
1405, 6563, 1306, 0, 11, 49629, 57509
1411, 6688, 1540, 0, 11, 49270, 57509
1417, 6631, 4042, 0, 12, 46824, 57509
1423, 6666, 5102, 0, 10, 45731, 57509
