ts, default broker, AgentUDE, Bunnie, total
359, 57521, 0, 0, 57521
360, 57521, 0, 0, 57521
361, 6866, 19814, 30841, 57521
367, 6784, 19818, 30919, 57521
373, 6703, 22213, 28605, 57521
379, 6775, 23805, 26941, 57521
385, 6693, 24889, 25939, 57521
391, 6803, 26216, 24502, 57521
397, 6897, 27693, 22931, 57521
403, 6892, 33728, 16901, 57521
409, 6928, 39206, 11387, 57521
415, 6957, 41651, 8913, 57521
421, 6985, 43206, 7330, 57521
427, 7000, 45266, 5255, 57521
433, 7023, 46134, 4364, 57521
439, 6973, 47041, 3507, 57521
445, 6981, 46862, 3678, 57521
451, 6924, 47284, 3313, 57521
457, 6925, 47571, 3025, 57521
463, 6922, 48374, 2225, 57521
469, 6944, 48685, 1892, 57521
475, 6931, 48968, 1622, 57521
481, 6943, 49283, 1295, 57521
487, 6900, 46718, 3903, 57521
493, 6847, 46990, 3684, 57521
499, 6844, 47634, 3043, 57521
505, 6752, 47960, 2809, 57521
511, 6773, 48245, 2503, 57521
517, 6842, 48599, 2080, 57521
523, 6870, 48990, 1661, 57521
529, 6859, 49609, 1053, 57521
535, 6886, 50183, 452, 57521
541, 6828, 50377, 316, 57521
547, 6891, 50395, 235, 57521
553, 6870, 50242, 409, 57521
559, 6896, 50098, 527, 57521
565, 6925, 50247, 349, 57521
571, 6887, 49793, 841, 57521
577, 6910, 48992, 1619, 57521
583, 6983, 49019, 1519, 57521
589, 6980, 49249, 1292, 57521
595, 6915, 49641, 965, 57521
601, 6921, 49205, 1395, 57521
607, 6958, 49157, 1406, 57521
613, 6870, 49402, 1249, 57521
619, 6840, 48219, 2462, 57521
625, 6853, 47525, 3143, 57521
631, 6868, 45796, 4857, 57521
637, 6872, 46207, 4442, 57521
643, 6933, 46979, 3609, 57521
649, 6949, 46700, 3872, 57521
655, 6942, 40170, 10409, 57521
661, 6986, 41054, 9481, 57521
667, 6979, 43150, 7392, 57521
673, 6959, 45123, 5439, 57521
679, 6993, 45876, 4652, 57521
685, 7002, 46806, 3713, 57521
691, 6946, 47115, 3460, 57521
697, 6981, 46352, 4188, 57521
703, 6932, 47348, 3241, 57521
709, 6843, 47953, 2725, 57521
715, 6905, 48699, 1917, 57521
721, 6924, 48825, 1772, 57521
727, 6861, 49277, 1383, 57521
733, 6942, 49487, 1092, 57521
739, 6946, 47040, 3535, 57521
745, 6929, 47294, 3298, 57521
751, 6911, 48069, 2541, 57521
757, 6877, 48673, 1971, 57521
763, 6862, 49097, 1562, 57521
769, 6884, 49415, 1222, 57521
775, 6924, 49752, 845, 57521
781, 6947, 48885, 1689, 57521
787, 6947, 48984, 1590, 57521
793, 6901, 49240, 1380, 57521
799, 6914, 49712, 895, 57521
805, 6814, 49885, 822, 57521
811, 6795, 49957, 769, 57521
817, 6791, 50015, 715, 57521
823, 6792, 50057, 672, 57521
829, 6846, 49667, 1008, 57521
835, 6890, 48785, 1846, 57521
841, 6862, 48905, 1754, 57521
847, 6899, 48913, 1709, 57521
853, 6902, 49129, 1490, 57521
859, 6909, 49146, 1466, 57521
865, 6868, 47635, 3018, 57521
871, 6917, 47858, 2746, 57521
877, 6916, 48420, 2185, 57521
883, 6829, 48502, 2190, 57521
889, 6862, 48792, 1867, 57521
895, 6886, 49108, 1527, 57521
901, 6752, 49336, 1433, 57521
907, 6790, 40288, 10443, 57521
913, 6716, 40421, 10384, 57521
919, 6779, 42118, 8624, 57521
925, 6703, 42428, 8390, 57521
931, 6676, 43052, 7793, 57521
937, 6672, 44774, 6075, 57521
943, 6741, 45394, 5386, 57521
949, 6841, 38920, 11760, 57521
955, 6926, 39316, 11279, 57521
961, 6965, 40552, 10004, 57521
967, 6944, 43132, 7445, 57521
973, 6982, 43931, 6608, 57521
979, 6962, 44312, 6247, 57521
985, 6956, 44837, 5728, 57521
991, 6921, 30231, 20369, 57521
997, 6941, 32603, 17977, 57521
1003, 6937, 37498, 13086, 57521
1009, 6975, 41113, 9433, 57521
1015, 6847, 44378, 6296, 57521
1021, 6872, 46506, 4143, 57521
1027, 6794, 47432, 3295, 57521
1033, 6687, 33924, 16910, 57521
1039, 6788, 34923, 15810, 57521
1045, 6811, 41872, 8838, 57521
1051, 6795, 43329, 7397, 57521
1057, 6819, 46163, 4539, 57521
1063, 6885, 47736, 2900, 57521
1069, 6910, 49198, 1413, 57521
1075, 6951, 40039, 10531, 57521
1081, 6946, 40072, 10503, 57521
1087, 6975, 43296, 7250, 57521
1093, 6957, 46150, 4414, 57521
1099, 6948, 47640, 2933, 57521
1105, 6957, 48652, 1912, 57521
1111, 6886, 48406, 2229, 57521
1117, 6838, 38838, 11845, 57521
1123, 6877, 37295, 13349, 57521
1129, 6880, 42267, 8374, 57521
1135, 6814, 44058, 6649, 57521
1141, 6861, 46573, 4087, 57521
1147, 6931, 46434, 4156, 57521
1153, 6902, 46588, 4031, 57521
1159, 6797, 39266, 11458, 57521
1165, 6864, 37438, 13219, 57521
1171, 6883, 38541, 12097, 57521
1177, 6958, 37685, 12878, 57521
1183, 7004, 38039, 12478, 57521
1189, 6959, 38661, 11901, 57521
1195, 6901, 37577, 13043, 57521
1201, 6850, 39491, 11180, 57521
1207, 6843, 45789, 4889, 57521
1213, 6831, 48583, 2107, 57521
1219, 6751, 49575, 1195, 57521
1225, 6793, 50056, 672, 57521
1231, 6808, 50234, 479, 57521
1237, 6846, 50325, 350, 57521
1243, 6898, 27103, 23520, 57521
1249, 6908, 27105, 23508, 57521
1255, 6947, 28960, 21614, 57521
1261, 6929, 30703, 19889, 57521
1267, 6972, 33302, 17247, 57521
1273, 6966, 35329, 15226, 57521
1279, 7008, 36203, 14310, 57521
1285, 7016, 45866, 4639, 57521
1291, 7010, 49558, 953, 57521
1297, 6952, 50184, 385, 57521
1303, 6949, 50295, 277, 57521
1309, 6960, 50306, 255, 57521
1315, 6895, 50338, 288, 57521
1321, 6790, 50343, 388, 57521
1327, 6850, 39576, 11095, 57521
1333, 6857, 39594, 11070, 57521
1339, 6876, 45559, 5086, 57521
1345, 6825, 47758, 2938, 57521
1351, 6878, 48860, 1783, 57521
1357, 6871, 49537, 1113, 57521
1363, 6904, 49944, 673, 57521
1369, 6889, 45515, 5117, 57521
1375, 6853, 42487, 8181, 57521
1381, 6864, 41011, 9646, 57521
1387, 6894, 42062, 8565, 57521
1393, 6905, 42232, 8384, 57521
1399, 6925, 40831, 9765, 57521
1405, 6885, 43308, 7328, 57521
1411, 6836, 48221, 2464, 57521
1417, 6808, 46813, 3900, 57521
1423, 6826, 45479, 5216, 57521
1429, 6858, 44542, 6121, 57521
1435, 6915, 43406, 7200, 57521
1441, 6822, 45405, 5294, 57521
1447, 6808, 45080, 5633, 57521
1453, 6727, 45896, 4898, 57521
1459, 6740, 45953, 4828, 57521
1465, 6769, 44813, 5939, 57521
1471, 6852, 43300, 7369, 57521
1477, 6852, 43907, 6762, 57521
1483, 6853, 43952, 6716, 57521
1489, 6836, 43874, 6811, 57521
1495, 6862, 43007, 7652, 57521
1501, 6760, 46265, 4496, 57521
1507, 6670, 47557, 3294, 57521
1513, 6815, 45940, 4766, 57521
1519, 6830, 45550, 5141, 57521
1525, 6842, 46829, 3850, 57521
1531, 6782, 46936, 3803, 57521
1537, 6785, 45746, 4990, 57521
1543, 6782, 48293, 2446, 57521
1549, 6804, 49464, 1253, 57521
1555, 6850, 49220, 1451, 57521
1561, 6877, 49335, 1309, 57521
1567, 6911, 49860, 750, 57521
1573, 6949, 50101, 471, 57521
1579, 6965, 35531, 15025, 57521
1585, 6846, 32781, 17894, 57521
1591, 6855, 36335, 14331, 57521
1597, 6870, 38871, 11780, 57521
1603, 6937, 39348, 11236, 57521
1609, 6813, 38055, 12653, 57521
1615, 6771, 40914, 9836, 57521
1621, 6833, 45962, 4726, 57521
1627, 6792, 44412, 6317, 57521
1633, 6760, 42538, 8223, 57521
1639, 6781, 42922, 7818, 57521
1645, 6841, 43308, 7372, 57521
1651, 6869, 43391, 7261, 57521
1657, 6903, 43299, 7319, 57521
1663, 6947, 40844, 9730, 57521
1669, 6804, 44620, 6097, 57521
1675, 6616, 47768, 3137, 57521
1681, 6655, 49307, 1559, 57521
1687, 6697, 49746, 1078, 57521
1693, 6798, 49988, 735, 57521
1699, 6819, 50100, 602, 57521
1705, 6797, 31232, 19492, 57521
1711, 6789, 31238, 19494, 57521
1717, 6863, 33397, 17261, 57521
1723, 6876, 34914, 15731, 57521
1729, 6834, 35188, 15499, 57521
1735, 6902, 35776, 14843, 57521
1741, 6862, 36762, 13897, 57521
1747, 6841, 18071, 32609, 57521
1753, 6839, 19490, 31192, 57521
