ts, default broker, COLDPower18, VidyutVanika, AgentUDE, Bunnie, total
359, 57513, 0, 0, 0, 0, 57513
360, 57513, 0, 0, 0, 0, 57513
361, 7, 0, 7100, 28221, 22185, 57513
367, 4, 0, 7099, 28226, 22184, 57513
373, 3, 0, 7098, 32025, 18387, 57513
379, 2, 0, 7100, 33247, 17164, 57513
385, 2, 0, 7101, 35148, 15262, 57513
391, 4, 0, 7100, 36912, 13497, 57513
397, 4, 0, 7144, 37558, 12807, 57513
403, 5, 0, 7220, 2913, 47375, 57513
409, 5, 0, 7292, 166, 50050, 57513
415, 5, 0, 7301, 8, 50199, 57513
421, 5, 0, 7301, 7, 50200, 57513
427, 5, 0, 7441, 5, 50062, 57513
433, 5, 0, 7440, 7, 50061, 57513
439, 4, 0, 7884, 8, 49617, 57513
445, 3, 0, 7884, 6, 49620, 57513
451, 2, 0, 7882, 11, 49618, 57513
457, 4, 0, 7886, 11, 49612, 57513
463, 5, 0, 9195, 13, 48300, 57513
469, 1, 0, 17362, 16, 40134, 57513
475, 5, 0, 23121, 13, 34374, 57513
481, 3, 0, 32789, 14, 24707, 57513
487, 3, 0, 34423, 7, 23080, 57513
493, 2, 0, 35429, 7, 22075, 57513
499, 6, 0, 36373, 8, 21126, 57513
505, 5, 0, 37057, 10, 20441, 57513
511, 5, 0, 37141, 12, 20355, 57513
517, 6, 0, 37130, 9, 20368, 57513
523, 7, 0, 36853, 9, 20644, 57513
529, 9, 0, 36818, 7, 20679, 57513
535, 11, 0, 36432, 5, 21065, 57513
541, 12, 0, 34124, 4, 23373, 57513
547, 11, 0, 31804, 4, 25694, 57513
553, 10, 0, 25635, 5, 31863, 57513
559, 9, 0, 21536, 6, 35962, 57513
565, 9, 0, 18110, 7, 39387, 57513
571, 6, 0, 15371, 9, 42127, 57513
577, 4, 0, 13396, 10, 44103, 57513
583, 6, 0, 12000, 8, 45499, 57513
589, 5, 0, 10885, 8, 46615, 57513
595, 5, 0, 10285, 7, 47216, 57513
601, 5, 0, 9415, 7, 48086, 57513
607, 5, 0, 8825, 7, 48676, 57513
613, 6, 0, 8531, 9, 48967, 57513
619, 7, 0, 8265, 8, 49233, 57513
625, 8, 0, 8200, 8, 49297, 57513
631, 9, 0, 8168, 9, 49327, 57513
637, 8, 0, 9895, 9, 47601, 57513
643, 7, 0, 10792, 9, 46705, 57513
649, 7, 0, 14178, 10, 43318, 57513
655, 7, 0, 15812, 8, 41686, 57513
661, 4, 0, 17058, 9, 40442, 57513
667, 6, 0, 19970, 9, 37528, 57513
673, 6, 0, 21632, 9, 35866, 57513
679, 6, 0, 22483, 9, 35015, 57513
685, 6, 0, 22527, 9, 34971, 57513
691, 6, 0, 22323, 10, 35174, 57513
697, 6, 0, 22270, 10, 35227, 57513
703, 6, 0, 22097, 10, 35400, 57513
709, 6, 0, 21586, 10, 35911, 57513
715, 6, 0, 21096, 9, 36402, 57513
721, 7, 0, 20245, 8, 37253, 57513
727, 8, 0, 18684, 8, 38813, 57513
733, 8, 0, 16282, 7, 41216, 57513
739, 6, 0, 15368, 9, 42130, 57513
745, 6, 0, 12967, 9, 44531, 57513
751, 4, 0, 11687, 9, 45813, 57513
757, 5, 0, 11007, 9, 46492, 57513
763, 5, 0, 9995, 7, 47506, 57513
769, 6, 0, 9477, 6, 48024, 57513
775, 7, 0, 8846, 6, 48654, 57513
781, 8, 0, 8439, 7, 49059, 57513
787, 7, 0, 8313, 8, 49185, 57513
793, 6, 0, 8020, 8, 49479, 57513
799, 5, 0, 8074, 8, 49426, 57513
805, 4, 0, 9303, 7, 48199, 57513
811, 3, 0, 11866, 10, 45634, 57513
817, 4, 0, 13256, 10, 44243, 57513
823, 5, 0, 16161, 8, 41339, 57513
829, 5, 0, 20698, 7, 36803, 57513
835, 5, 0, 22703, 7, 34798, 57513
841, 5, 0, 24354, 8, 33146, 57513
847, 6, 0, 24817, 8, 32682, 57513
853, 8, 0, 24732, 8, 32765, 57513
859, 5, 0, 24552, 10, 32946, 57513
865, 4, 0, 31637, 11, 25861, 57513
871, 1, 0, 35917, 13, 21582, 57513
877, 2, 0, 40384, 12, 17115, 57513
883, 1, 0, 43562, 12, 13938, 57513
889, 2, 0, 45120, 13, 12378, 57513
895, 2, 0, 48242, 14, 9255, 57513
901, 2, 0, 20621, 13, 36877, 57513
907, 4, 0, 22713, 9, 34787, 57513
913, 3, 0, 32108, 12, 25390, 57513
919, 4, 0, 38749, 12, 18748, 57513
925, 2, 0, 41921, 12, 15578, 57513
931, 2, 0, 45189, 13, 12309, 57513
937, 4, 0, 46562, 9, 10938, 57513
943, 3, 0, 11637, 13, 45860, 57513
949, 6, 0, 12812, 9, 44686, 57513
955, 6, 0, 24286, 8, 33213, 57513
961, 7, 0, 34191, 9, 23306, 57513
967, 7, 0, 38567, 9, 18930, 57513
973, 7, 0, 23998, 8, 33500, 57513
979, 7, 0, 29903, 9, 27594, 57513
985, 7, 0, 35184, 8, 22314, 57513
991, 7, 0, 40661, 9, 16836, 57513
997, 5, 0, 45875, 7, 11626, 57513
1003, 4, 0, 48576, 6, 8927, 57513
1009, 8, 0, 49976, 9, 7520, 57513
1015, 7, 0, 50669, 10, 6827, 57513
1021, 6, 0, 52460, 12, 5035, 57513
1027, 4, 0, 53132, 11, 4366, 57513
1033, 7, 0, 53478, 10, 4018, 57513
1039, 7, 0, 53996, 9, 3501, 57513
1045, 6, 0, 54115, 11, 3381, 57513
1051, 6, 0, 53994, 8, 3505, 57513
1057, 7, 0, 53739, 10, 3757, 57513
1063, 7, 0, 53209, 10, 4287, 57513
1069, 7, 0, 10926, 9, 46571, 57513
1075, 4, 0, 12202, 10, 45297, 57513
1081, 5, 0, 19001, 8, 38499, 57513
1087, 4, 0, 26526, 9, 30974, 57513
1093, 3, 0, 29474, 9, 28027, 57513
1099, 4, 0, 38256, 9, 19244, 57513
1105, 2, 0, 42121, 9, 15381, 57513
1111, 1, 0, 10726, 11, 46775, 57513
1117, 1, 0, 11592, 8, 45912, 57513
1123, 1, 0, 22467, 8, 35037, 57513
1129, 3, 0, 28807, 8, 28695, 57513
1135, 5, 0, 33783, 9, 23716, 57513
1141, 6, 0, 19612, 12, 37883, 57513
1147, 4, 0, 26853, 13, 30643, 57513
1153, 3, 0, 39029, 14, 18467, 57513
1159, 3, 0, 41715, 14, 15781, 57513
1165, 2, 0, 45444, 18, 12049, 57513
1171, 5, 0, 47724, 16, 9768, 57513
1177, 6, 0, 48696, 17, 8794, 57513
1183, 4, 0, 50524, 16, 6969, 57513
1189, 2, 0, 51806, 17, 5688, 57513
1195, 3, 0, 52845, 17, 4648, 57513
1201, 2, 0, 23455, 112, 33944, 57513
1207, 3, 0, 21320, 84, 36106, 57513
1213, 5, 0, 17820, 179, 39509, 57513
1219, 5, 0, 17058, 183, 40267, 57513
1225, 5, 0, 16090, 182, 41236, 57513
1231, 5, 0, 14821, 183, 42504, 57513
1237, 4, 0, 13079, 181, 44249, 57513
1243, 5, 0, 11919, 13, 45576, 57513
1249, 4, 0, 10546, 10, 46953, 57513
1255, 5, 0, 9904, 10, 47594, 57513
1261, 5, 0, 9550, 11, 47947, 57513
1267, 4, 0, 9232, 12, 48265, 57513
1273, 5, 0, 8622, 11, 48875, 57513
1279, 4, 0, 8136, 11, 49362, 57513
1285, 5, 0, 7927, 10, 49571, 57513
1291, 3, 0, 7624, 13, 49873, 57513
1297, 5, 0, 7610, 12, 49886, 57513
1303, 4, 0, 7620, 12, 49877, 57513
1309, 4, 0, 8986, 12, 48511, 57513
1315, 2, 0, 10624, 13, 46874, 57513
1321, 1, 0, 13353, 15, 44144, 57513
1327, 5, 0, 15233, 10, 42265, 57513
1333, 6, 0, 17807, 10, 39690, 57513
1339, 4, 0, 21723, 13, 35773, 57513
1345, 4, 0, 24228, 12, 33269, 57513
1351, 2, 0, 24310, 15, 33186, 57513
1357, 2, 0, 24263, 15, 33233, 57513
1363, 2, 0, 24245, 14, 33252, 57513
1369, 4, 0, 24205, 12, 33292, 57513
1375, 3, 0, 24174, 10, 33326, 57513
1381, 5, 0, 23504, 8, 33996, 57513
1387, 5, 0, 22951, 7, 34550, 57513
1393, 5, 0, 20792, 7, 36709, 57513
1399, 4, 0, 19599, 8, 37902, 57513
1405, 1, 0, 17778, 8, 39726, 57513
1411, 1, 0, 15944, 8, 41560, 57513
1417, 2, 0, 13335, 8, 44168, 57513
1423, 3, 0, 12075, 8, 45427, 57513
1429, 5, 0, 10575, 7, 46926, 57513
1435, 4, 0, 9857, 7, 47645, 57513
1441, 4, 0, 9086, 9, 48414, 57513
1447, 2, 0, 8594, 12, 48905, 57513
1453, 5, 0, 8206, 9, 49293, 57513
1459, 3, 0, 8026, 12, 49472, 57513
1465, 6, 0, 8119, 10, 49378, 57513
1471, 7, 0, 8253, 10, 49243, 57513
1477, 7, 0, 9887, 8, 47611, 57513
1483, 7, 0, 12428, 8, 45070, 57513
1489, 7, 0, 16477, 8, 41021, 57513
1495, 5, 0, 19760, 10, 37738, 57513
1501, 5, 0, 23426, 10, 34072, 57513
1507, 3, 0, 24980, 10, 32520, 57513
1513, 3, 0, 26305, 11, 31194, 57513
1519, 3, 0, 26776, 9, 30725, 57513
1525, 4, 0, 26814, 9, 30686, 57513
1531, 7, 0, 26551, 8, 30947, 57513
1537, 6, 0, 26359, 8, 31140, 57513
1543, 4, 0, 26257, 9, 31243, 57513
1549, 4, 0, 25245, 10, 32254, 57513
1555, 4, 0, 24552, 10, 32947, 57513
1561, 5, 0, 22169, 10, 35329, 57513
1567, 4, 0, 19488, 11, 38010, 57513
1573, 5, 0, 16988, 8, 40512, 57513
1579, 8, 0, 14122, 6, 43377, 57513
1585, 8, 0, 11603, 5, 45897, 57513
1591, 8, 0, 10403, 6, 47096, 57513
1597, 5, 0, 9485, 7, 48016, 57513
1603, 6, 0, 9469, 8, 48030, 57513
1609, 7, 0, 8827, 9, 48670, 57513
1615, 9, 0, 8202, 8, 49294, 57513
