ts, default broker, CrocodileAgent, COLDPower18, VidyutVanika, EWIIS3, total
359, 57503, 0, 0, 0, 0, 57503
360, 57503, 0, 0, 0, 0, 57503
361, 12, 14287, 0, 42932, 272, 57503
367, 10, 14283, 0, 42951, 259, 57503
373, 10, 14274, 0, 42922, 297, 57503
379, 9, 14275, 0, 42916, 303, 57503
385, 11, 14272, 0, 42915, 305, 57503
391, 10, 14248, 0, 42934, 311, 57503
397, 10, 14201, 0, 42934, 358, 57503
403, 10, 14094, 0, 42953, 446, 57503
409, 11, 13852, 0, 43183, 457, 57503
415, 11, 13748, 0, 43296, 448, 57503
421, 11, 13658, 0, 43452, 382, 57503
427, 9, 13595, 0, 43510, 389, 57503
433, 9, 974, 0, 52767, 3753, 57503
439, 9, 65, 0, 53469, 3960, 57503
445, 9, 51, 0, 54606, 2837, 57503
451, 9, 24, 0, 54470, 3000, 57503
457, 9, 22, 0, 55989, 1483, 57503
463, 9, 122, 0, 56531, 841, 57503
469, 10, 224, 0, 56701, 568, 57503
475, 10, 245, 0, 56859, 389, 57503
481, 10, 758, 0, 56450, 285, 57503
487, 11, 1060, 0, 56151, 281, 57503
493, 11, 1260, 0, 55966, 266, 57503
499, 10, 1537, 0, 55704, 252, 57503
505, 10, 3474, 0, 53775, 244, 57503
511, 28, 4568, 0, 52666, 241, 57503
517, 32, 6187, 0, 51045, 239, 57503
523, 32, 7401, 0, 49845, 225, 57503
529, 38, 9244, 0, 48001, 220, 57503
535, 41, 9874, 0, 47369, 219, 57503
541, 43, 10031, 0, 47210, 219, 57503
547, 35, 10273, 0, 46988, 207, 57503
553, 19, 10250, 0, 47027, 207, 57503
559, 12, 9955, 0, 47324, 212, 57503
565, 11, 9683, 0, 47488, 321, 57503
571, 10, 9239, 0, 47981, 273, 57503
577, 10, 8689, 0, 48538, 266, 57503
583, 11, 8417, 0, 48810, 265, 57503
589, 11, 7975, 0, 49251, 266, 57503
595, 10, 5766, 0, 51491, 236, 57503
601, 9, 5376, 0, 51881, 237, 57503
607, 9, 3736, 0, 53554, 204, 57503
613, 29, 3129, 0, 54139, 206, 57503
619, 32, 2041, 0, 55227, 203, 57503
625, 41, 1459, 0, 55798, 205, 57503
631, 33, 982, 0, 56279, 209, 57503
637, 14, 790, 0, 56486, 213, 57503
643, 10, 704, 0, 56573, 216, 57503
649, 11, 1135, 0, 56150, 207, 57503
655, 11, 1182, 0, 56101, 209, 57503
661, 10, 1214, 0, 56068, 211, 57503
667, 10, 1347, 0, 55938, 208, 57503
673, 10, 2177, 0, 55112, 204, 57503
679, 10, 3332, 0, 53959, 202, 57503
685, 11, 4438, 0, 52856, 198, 57503
691, 12, 6047, 0, 51247, 197, 57503
697, 11, 7170, 0, 50125, 197, 57503
703, 11, 8206, 0, 49091, 195, 57503
709, 11, 8385, 0, 48914, 193, 57503
715, 9, 8209, 0, 49090, 195, 57503
721, 9, 7702, 0, 49597, 195, 57503
727, 9, 7744, 0, 49554, 196, 57503
733, 9, 7764, 0, 49529, 201, 57503
739, 9, 7297, 0, 49999, 198, 57503
745, 9, 6509, 0, 50795, 190, 57503
751, 9, 5380, 0, 51927, 187, 57503
