ts, default broker, CrocodileAgent, SPOT, COLDPower18, VidyutVanika, EWIIS3, AgentUDE, Bunnie, total
359, 57518, 0, 0, 0, 0, 0, 0, 0, 57518
360, 57518, 0, 0, 0, 0, 0, 0, 0, 57518
361, 4, 3, 15, 0, 7545, 123, 24201, 25627, 57518
367, 5, 3, 15, 0, 7543, 109, 24208, 25635, 57518
373, 3, 2, 13, 0, 7545, 127, 29597, 20231, 57518
379, 3, 2, 12, 0, 7544, 110, 31451, 18396, 57518
385, 3, 1, 3, 0, 7596, 126, 34216, 15573, 57518
391, 4, 2, 3, 0, 7639, 148, 35082, 14640, 57518
397, 4, 2, 4, 0, 7719, 145, 36122, 13522, 57518
403, 3, 3, 5, 0, 7949, 406, 3019, 46133, 57518
409, 3, 5, 5, 0, 7949, 362, 3051, 46143, 57518
415, 3, 5, 2, 0, 8087, 442, 3549, 45430, 57518
421, 3, 4, 2, 0, 9050, 336, 3812, 44311, 57518
427, 2, 517, 2, 0, 10593, 289, 3896, 42219, 57518
433, 1, 2073, 5, 0, 13913, 167, 4029, 37330, 57518
439, 1, 2889, 5, 0, 16138, 166, 4123, 34196, 57518
445, 1, 4311, 6, 0, 20130, 166, 407, 32497, 57518
451, 1, 5272, 5, 0, 23464, 163, 737, 27876, 57518
457, 1, 5623, 4, 0, 24400, 142, 811, 26537, 57518
463, 1, 6009, 4, 0, 24598, 138, 1010, 25758, 57518
469, 1, 6069, 3, 0, 24687, 106, 1278, 25374, 57518
475, 1, 6070, 3, 0, 24566, 104, 1470, 25304, 57518
481, 1, 6070, 0, 0, 24342, 103, 1475, 25527, 57518
487, 1, 6069, 0, 0, 24128, 103, 113, 27104, 57518
493, 0, 6069, 1, 0, 23828, 100, 336, 27184, 57518
499, 0, 5849, 1, 0, 22992, 95, 406, 28175, 57518
505, 0, 5142, 1, 0, 21319, 94, 663, 30299, 57518
511, 0, 4192, 1, 0, 18913, 92, 846, 33474, 57518
517, 0, 3556, 2, 0, 17481, 91, 876, 35512, 57518
523, 0, 2875, 2, 0, 15291, 89, 1023, 38238, 57518
529, 0, 2375, 2, 0, 14374, 90, 580, 40097, 57518
535, 0, 2038, 2, 0, 13121, 90, 1105, 41162, 57518
541, 0, 1398, 2, 0, 11632, 90, 2376, 42020, 57518
547, 1, 1062, 4, 0, 10552, 88, 2863, 42948, 57518
553, 1, 812, 4, 0, 9832, 89, 3824, 42956, 57518
559, 1, 312, 5, 0, 9114, 86, 5474, 42526, 57518
565, 1, 293, 5, 0, 8704, 84, 6115, 42316, 57518
571, 3, 263, 1, 0, 8761, 87, 2084, 46319, 57518
577, 3, 183, 2, 0, 8603, 86, 2690, 45951, 57518
583, 0, 164, 1, 0, 8569, 88, 3459, 45237, 57518
589, 3, 120, 1, 0, 9648, 85, 4041, 43620, 57518
595, 2, 750, 1, 0, 11706, 81, 4509, 40469, 57518
601, 1, 2107, 0, 0, 14270, 78, 5071, 35991, 57518
607, 1, 2330, 0, 0, 15373, 68, 5363, 34383, 57518
613, 1, 4064, 0, 0, 18273, 65, 2551, 32564, 57518
619, 3, 4232, 0, 0, 18666, 60, 2973, 31584, 57518
625, 3, 4423, 0, 0, 18990, 55, 3308, 30739, 57518
631, 3, 4576, 0, 0, 19019, 54, 4202, 29664, 57518
637, 4, 4526, 0, 0, 18957, 49, 6083, 27899, 57518
643, 6, 4492, 0, 0, 18864, 48, 7239, 26869, 57518
649, 5, 4472, 0, 0, 18432, 49, 8882, 25678, 57518
655, 2, 4422, 1, 0, 18300, 51, 2002, 32740, 57518
661, 1, 4423, 1, 0, 17874, 52, 3025, 32142, 57518
667, 1, 4163, 1, 0, 16602, 52, 4291, 32408, 57518
673, 1, 3883, 1, 0, 15590, 54, 6051, 31938, 57518
679, 1, 3507, 1, 0, 14847, 54, 6469, 32639, 57518
685, 1, 2546, 1, 0, 13012, 54, 8711, 33193, 57518
691, 1, 2178, 2, 0, 11820, 53, 10496, 32968, 57518
697, 2, 1611, 2, 0, 10393, 50, 5242, 40218, 57518
703, 3, 1041, 2, 0, 9564, 53, 6001, 40854, 57518
709, 3, 572, 1, 0, 9062, 53, 7421, 40406, 57518
715, 1, 392, 2, 0, 8651, 55, 8153, 40264, 57518
721, 2, 316, 3, 0, 8690, 48, 9614, 38845, 57518
727, 2, 196, 4, 0, 8248, 49, 10350, 38669, 57518
733, 3, 173, 2, 0, 7970, 52, 11743, 37575, 57518
739, 4, 83, 2, 0, 7978, 50, 275, 49126, 57518
745, 4, 33, 2, 0, 7857, 50, 275, 49297, 57518
751, 4, 33, 0, 0, 7826, 52, 287, 49316, 57518
757, 4, 33, 1, 0, 10166, 52, 282, 46980, 57518
763, 4, 316, 0, 0, 12014, 51, 418, 44715, 57518
769, 3, 2011, 1, 0, 14431, 49, 541, 40482, 57518
775, 3, 2723, 1, 0, 15050, 49, 542, 39150, 57518
781, 1, 4924, 1, 0, 22326, 40, 8055, 22171, 57518
787, 0, 6060, 3, 0, 25373, 35, 11476, 14571, 57518
793, 1, 7193, 3, 0, 26965, 35, 13830, 9491, 57518
799, 0, 7284, 2, 0, 26711, 34, 15087, 8400, 57518
805, 0, 7281, 2, 0, 26537, 34, 17397, 6267, 57518
811, 3, 7230, 2, 0, 26238, 32, 18646, 5367, 57518
817, 4, 7090, 4, 0, 26217, 28, 20182, 3993, 57518
823, 4, 7080, 4, 0, 26280, 31, 1086, 23033, 57518
829, 3, 7020, 3, 0, 25260, 32, 1166, 24034, 57518
835, 2, 6572, 3, 0, 23967, 31, 1496, 25447, 57518
841, 3, 6152, 3, 0, 22657, 31, 2178, 26494, 57518
847, 4, 5591, 2, 0, 21981, 31, 2655, 27254, 57518
853, 4, 4531, 1, 0, 18284, 29, 3465, 31204, 57518
859, 3, 3463, 2, 0, 16004, 30, 4010, 34006, 57518
865, 3, 2355, 1, 0, 30544, 21, 6, 24588, 57518
871, 3, 1515, 1, 0, 11457, 22, 227, 44293, 57518
877, 2, 1244, 0, 0, 16156, 24, 283, 39809, 57518
883, 3, 1040, 0, 0, 22605, 24, 271, 33575, 57518
889, 3, 880, 0, 0, 30448, 15, 271, 25901, 57518
895, 4, 600, 1, 0, 35342, 13, 269, 21289, 57518
901, 3, 450, 2, 0, 38155, 13, 270, 18625, 57518
907, 2, 292, 2, 0, 43079, 12, 6, 14125, 57518
913, 2, 253, 2, 0, 45601, 12, 7, 11641, 57518
919, 2, 234, 1, 0, 9964, 14, 399, 46904, 57518
925, 2, 204, 1, 0, 10131, 13, 387, 46780, 57518
931, 2, 323, 0, 0, 19957, 14, 376, 36846, 57518
937, 2, 404, 0, 0, 24844, 14, 475, 31779, 57518
943, 2, 571, 0, 0, 29376, 15, 471, 27083, 57518
949, 2, 603, 2, 0, 35802, 14, 6, 21089, 57518
955, 2, 871, 1, 0, 39571, 12, 9, 17052, 57518
961, 1, 1191, 1, 0, 42292, 15, 11, 14007, 57518
967, 1, 1124, 0, 0, 46521, 14, 10, 9848, 57518
973, 1, 1083, 1, 0, 48797, 15, 6, 7615, 57518
979, 1, 1042, 1, 0, 50604, 15, 14, 5841, 57518
