ts, default broker, CrocodileAgent, COLDPower18, AgentUDE, Bunnie, total
359, 57502, 0, 0, 0, 0, 57502
360, 57502, 0, 0, 0, 0, 57502
361, 6862, 5175, 0, 26854, 18611, 57502
367, 6737, 5156, 0, 26852, 18757, 57502
373, 6720, 6849, 0, 33141, 10792, 57502
379, 6724, 7631, 0, 36446, 6701, 57502
385, 6743, 8017, 0, 38914, 3828, 57502
391, 6695, 8120, 0, 39626, 3061, 57502
397, 6772, 8116, 0, 40447, 2167, 57502
403, 6723, 8180, 0, 4007, 38592, 57502
409, 6720, 8259, 0, 246, 42277, 57502
415, 6597, 8367, 0, 6, 42532, 57502
421, 6508, 8443, 0, 9, 42542, 57502
427, 5993, 8586, 0, 7, 42916, 57502
433, 6142, 7704, 0, 5, 43651, 57502
439, 6045, 6418, 0, 6, 45033, 57502
445, 5448, 5112, 0, 127, 46815, 57502
451, 5927, 3562, 0, 258, 47755, 57502
457, 6140, 3016, 0, 253, 48093, 57502
463, 6357, 2582, 0, 250, 48313, 57502
469, 6581, 1575, 0, 254, 49092, 57502
475, 6619, 1357, 0, 399, 49127, 57502
481, 6614, 941, 0, 542, 49405, 57502
487, 6553, 352, 0, 37, 50560, 57502
493, 6675, 329, 0, 9, 50489, 57502
499, 6708, 323, 0, 159, 50312, 57502
505, 6662, 376, 0, 307, 50157, 57502
511, 6674, 367, 0, 301, 50160, 57502
517, 6403, 1520, 0, 307, 49272, 57502
523, 6508, 3552, 0, 306, 47136, 57502
529, 6550, 5622, 0, 11, 45319, 57502
535, 6478, 6789, 0, 9, 44226, 57502
541, 6598, 8250, 0, 7, 42647, 57502
547, 6599, 10013, 0, 8, 40882, 57502
553, 6633, 11147, 0, 6, 39716, 57502
559, 6767, 11045, 0, 5, 39685, 57502
565, 6734, 11025, 0, 17, 39726, 57502
571, 6676, 11077, 0, 4, 39745, 57502
577, 6687, 11077, 0, 6, 39732, 57502
583, 6640, 11070, 0, 5, 39787, 57502
589, 6587, 10940, 0, 9, 39966, 57502
595, 6597, 10143, 0, 8, 40754, 57502
601, 6702, 8706, 0, 8, 42086, 57502
607, 6757, 7430, 0, 7, 43308, 57502
613, 6796, 5944, 0, 8, 44754, 57502
619, 6688, 4503, 0, 8, 46303, 57502
625, 6707, 3093, 0, 10, 47692, 57502
631, 6576, 2286, 0, 5, 48635, 57502
637, 6539, 1878, 0, 9, 49076, 57502
643, 6618, 1619, 0, 6, 49259, 57502
649, 6626, 1395, 0, 4, 49477, 57502
655, 6715, 436, 0, 5, 50346, 57502
661, 6754, 265, 0, 6, 50477, 57502
667, 6727, 263, 0, 8, 50504, 57502
673, 6756, 249, 0, 9, 50488, 57502
679, 6695, 332, 0, 10, 50465, 57502
685, 6568, 1490, 0, 9, 49435, 57502
691, 6691, 3948, 0, 9, 46854, 57502
697, 6714, 7364, 0, 10, 43414, 57502
703, 6652, 9770, 0, 8, 41072, 57502
709, 6751, 13718, 0, 9, 37024, 57502
715, 6826, 15911, 0, 6, 34759, 57502
