ts, default broker, CrocodileAgent, COLDPower18, AgentUDE, Bunnie, total
721, 6753, 17688, 0, 8, 33053, 57502
727, 6806, 18485, 0, 4, 32207, 57502
733, 6807, 18677, 0, 10, 32008, 57502
739, 6734, 18709, 0, 8, 32051, 57502
745, 6787, 18689, 0, 7, 32019, 57502
751, 6696, 18804, 0, 5, 31997, 57502
757, 6693, 18475, 0, 6, 32328, 57502
763, 6788, 17599, 0, 6, 33109, 57502
769, 6774, 16339, 0, 6, 34383, 57502
775, 6841, 13952, 0, 8, 36701, 57502
781, 6562, 11023, 0, 10, 39907, 57502
787, 6565, 8743, 0, 5, 42189, 57502
793, 6587, 5728, 0, 6, 45181, 57502
799, 6692, 4556, 0, 9, 46245, 57502
805, 6672, 4088, 0, 6, 46736, 57502
811, 6650, 3117, 0, 8, 47727, 57502
817, 6651, 2681, 0, 8, 48162, 57502
823, 6680, 1983, 0, 8, 48831, 57502
829, 6628, 1448, 0, 7, 49419, 57502
835, 6725, 1291, 0, 7, 49479, 57502
841, 6743, 857, 0, 6, 49896, 57502
847, 6625, 964, 0, 5, 49908, 57502
853, 6686, 843, 0, 8, 49965, 57502
859, 6629, 2321, 0, 8, 48544, 57502
865, 6761, 8112, 0, 6, 42623, 57502
871, 6741, 10082, 0, 8, 40671, 57502
877, 6681, 13575, 0, 7, 37239, 57502
883, 6700, 17090, 0, 11, 33701, 57502
889, 6708, 19258, 0, 10, 31526, 57502
895, 6633, 19550, 0, 8, 31311, 57502
901, 6396, 19271, 0, 7, 31828, 57502
907, 6394, 19254, 0, 7, 31847, 57502
913, 6503, 19177, 0, 6, 31816, 57502
919, 6565, 19068, 0, 9, 31860, 57502
925, 6677, 18953, 0, 5, 31867, 57502
931, 6734, 18270, 0, 11, 32487, 57502
937, 6746, 15965, 0, 5, 34786, 57502
943, 6740, 13630, 0, 9, 37123, 57502
949, 6750, 10071, 0, 5, 40676, 57502
955, 6685, 8283, 0, 5, 42529, 57502
961, 6643, 5288, 0, 6, 45565, 57502
967, 6696, 4257, 0, 8, 46541, 57502
973, 6462, 3521, 0, 8, 47511, 57502
979, 6609, 2371, 0, 6, 48516, 57502
985, 6600, 1986, 0, 6, 48910, 57502
991, 6606, 1648, 0, 7, 49241, 57502
997, 6777, 1223, 0, 9, 49493, 57502
1003, 6755, 1070, 0, 9, 49668, 57502
1009, 6756, 797, 0, 8, 49941, 57502
1015, 6798, 871, 0, 4, 49829, 57502
1021, 6723, 951, 0, 7, 49821, 57502
1027, 6686, 2209, 0, 8, 48599, 57502
1033, 6633, 6958, 0, 6, 43905, 57502
1039, 6692, 10057, 0, 6, 40747, 57502
1045, 6619, 15663, 0, 7, 35213, 57502
1051, 6549, 18697, 0, 104, 32152, 57502
1057, 6464, 21363, 0, 73, 29602, 57502
1063, 6510, 21361, 0, 44, 29587, 57502
1069, 6524, 21140, 0, 120, 29718, 57502
1075, 6516, 21175, 0, 129, 29682, 57502
1081, 6548, 21112, 0, 105, 29737, 57502
1087, 6563, 21009, 0, 88, 29842, 57502
1093, 6605, 20907, 0, 56, 29934, 57502
1099, 6634, 20770, 0, 139, 29959, 57502
1105, 6571, 19636, 0, 188, 31107, 57502
1111, 6501, 17494, 0, 153, 33354, 57502
1117, 6345, 15646, 0, 305, 35206, 57502
1123, 6661, 10612, 0, 328, 39901, 57502
1129, 6696, 8783, 0, 126, 41897, 57502
1135, 6707, 6476, 0, 190, 44129, 57502
1141, 6773, 4871, 0, 227, 45631, 57502
1147, 6802, 3449, 0, 209, 47042, 57502
1153, 6880, 2750, 0, 557, 47315, 57502
1159, 6854, 1982, 0, 59, 48607, 57502
1165, 6876, 1210, 0, 332, 49084, 57502
1171, 6791, 876, 0, 68, 49767, 57502
1177, 6807, 686, 0, 27, 49982, 57502
1183, 6709, 556, 0, 177, 50060, 57502
1189, 6749, 404, 0, 33, 50316, 57502
1195, 6807, 2356, 0, 175, 48164, 57502
1201, 6754, 6644, 0, 30, 44074, 57502
1207, 6774, 9664, 0, 28, 41036, 57502
1213, 6737, 14492, 0, 31, 36242, 57502
1219, 6585, 17417, 0, 27, 33473, 57502
1225, 6688, 18753, 0, 27, 32034, 57502
1231, 6665, 19446, 0, 26, 31365, 57502
1237, 6696, 19620, 0, 114, 31072, 57502
1243, 6735, 19484, 0, 204, 31079, 57502
1249, 6755, 19396, 0, 177, 31174, 57502
1255, 6593, 19431, 0, 11, 31467, 57502
1261, 6557, 19466, 0, 290, 31189, 57502
1267, 6742, 18730, 0, 186, 31844, 57502
1273, 6755, 17366, 0, 47, 33334, 57502
1279, 6673, 14736, 0, 32, 36061, 57502
1285, 6364, 12267, 0, 45, 38826, 57502
1291, 6485, 10106, 0, 41, 40870, 57502
1297, 6593, 8194, 0, 14, 42701, 57502
1303, 6550, 7025, 0, 18, 43909, 57502
1309, 6698, 5369, 0, 15, 45420, 57502
1315, 6548, 3951, 0, 137, 46866, 57502
1321, 6530, 3002, 0, 48, 47922, 57502
1327, 6540, 749, 0, 12, 50201, 57502
1333, 6505, 457, 0, 15, 50525, 57502
1339, 6560, 406, 0, 166, 50370, 57502
1345, 6536, 417, 0, 202, 50347, 57502
1351, 6518, 510, 0, 44, 50430, 57502
1357, 6556, 791, 0, 21, 50134, 57502
1363, 6533, 2879, 0, 14, 48076, 57502
1369, 6480, 8935, 0, 7, 42080, 57502
1375, 6514, 12276, 0, 8, 38704, 57502
1381, 6538, 17333, 0, 9, 33622, 57502
1387, 6596, 19446, 0, 6, 31454, 57502
1393, 6606, 22467, 0, 90, 28339, 57502
1399, 6558, 22961, 0, 89, 27894, 57502
1405, 6458, 23238, 0, 86, 27720, 57502
1411, 6531, 23203, 0, 98, 27670, 57502
1417, 6580, 23082, 0, 35, 27805, 57502
1423, 6671, 23001, 0, 36, 27794, 57502
1429, 6848, 22773, 0, 37, 27844, 57502
1435, 6653, 21598, 0, 102, 29149, 57502
1441, 6758, 19693, 0, 34, 31017, 57502
1447, 6808, 17321, 0, 111, 33262, 57502
1453, 6892, 6733, 0, 111, 43766, 57502
1459, 6832, 4136, 0, 32, 46502, 57502
1465, 6734, 1215, 0, 154, 49399, 57502
1471, 6773, 595, 0, 198, 49936, 57502
1477, 6502, 559, 0, 352, 50089, 57502
1483, 6519, 477, 0, 206, 50300, 57502
1489, 6475, 528, 0, 55, 50444, 57502
1495, 6532, 536, 0, 10, 50424, 57502
1501, 6546, 483, 0, 8, 50465, 57502
1507, 6637, 426, 0, 7, 50432, 57502
1513, 6704, 354, 0, 12, 50432, 57502
1519, 6620, 377, 0, 9, 50496, 57502
1525, 6618, 604, 0, 7, 50273, 57502
1531, 6650, 1546, 0, 8, 49298, 57502
1537, 6690, 6748, 0, 172, 43892, 57502
1543, 6764, 10340, 0, 59, 40339, 57502
1549, 6493, 14486, 0, 26, 36497, 57502
1555, 6516, 18275, 0, 26, 32685, 57502
1561, 6597, 20616, 0, 26, 30263, 57502
1567, 6601, 21116, 0, 32, 29753, 57502
1573, 6594, 21210, 0, 28, 29670, 57502
1579, 6675, 21166, 0, 13, 29648, 57502
1585, 6600, 21237, 0, 9, 29656, 57502
1591, 6629, 21280, 0, 9, 29584, 57502
1597, 6644, 20870, 0, 9, 29979, 57502
1603, 6610, 19765, 0, 8, 31119, 57502
1609, 6734, 14878, 0, 102, 35788, 57502
1615, 6784, 11097, 0, 39, 39582, 57502
1621, 6793, 9571, 0, 29, 41109, 57502
1627, 6693, 7343, 0, 46, 43420, 57502
1633, 6706, 4758, 0, 133, 45905, 57502
1639, 6752, 2815, 0, 30, 47905, 57502
1645, 6739, 2166, 0, 426, 48171, 57502
1651, 6829, 1735, 0, 49, 48889, 57502
1657, 6805, 1209, 0, 314, 49174, 57502
1663, 6752, 1045, 0, 84, 49621, 57502
1669, 6779, 817, 0, 172, 49734, 57502
1675, 6743, 741, 0, 23, 49995, 57502
1681, 6704, 869, 0, 171, 49758, 57502
1687, 6707, 706, 0, 171, 49918, 57502
1693, 6464, 1535, 0, 22, 49481, 57502
1699, 6563, 3026, 0, 31, 47882, 57502
1705, 6596, 9202, 0, 30, 41674, 57502
1711, 6636, 12759, 0, 6, 38101, 57502
1717, 6752, 16784, 0, 8, 33958, 57502
1723, 6705, 18849, 0, 108, 31840, 57502
1729, 6591, 21350, 0, 15, 29546, 57502
1735, 6575, 21655, 0, 11, 29261, 57502
1741, 6594, 21483, 0, 32, 29393, 57502
1747, 6731, 21400, 0, 29, 29342, 57502
1753, 6737, 21372, 0, 11, 29382, 57502
1759, 6654, 21390, 0, 11, 29447, 57502
1765, 6485, 21321, 0, 93, 29603, 57502
1771, 6558, 20779, 0, 11, 30154, 57502
1777, 6636, 19288, 0, 81, 31497, 57502
1783, 6699, 17064, 0, 66, 33673, 57502
1789, 6714, 12787, 0, 7, 37994, 57502
