ts, default broker, CrocodileAgent, Bunnie, total
1387, 6632, 23644, 27233, 57509
1393, 6570, 23464, 27475, 57509
1399, 6672, 23383, 27454, 57509
1405, 6693, 22740, 28076, 57509
1411, 6616, 21572, 29321, 57509
1417, 6518, 20352, 30639, 57509
1423, 6555, 17526, 33428, 57509
1429, 6663, 14771, 36075, 57509
1435, 6684, 13001, 37824, 57509
1441, 6724, 8570, 42215, 57509
1447, 6697, 7447, 43365, 57509
1453, 6758, 5098, 45653, 57509
1459, 6737, 3664, 47108, 57509
1465, 6685, 3035, 47789, 57509
1471, 6696, 2377, 48436, 57509
1477, 6404, 1891, 49214, 57509
1483, 6451, 1516, 49542, 57509
1489, 6468, 1495, 49546, 57509
1495, 6491, 994, 50024, 57509
1501, 6595, 1007, 49907, 57509
1507, 6710, 3190, 47609, 57509
1513, 6716, 7576, 43217, 57509
1519, 6727, 9994, 40788, 57509
1525, 6750, 13922, 36837, 57509
1531, 6682, 18740, 32087, 57509
1537, 6701, 20577, 30231, 57509
1543, 6691, 21180, 29638, 57509
1549, 6695, 21180, 29634, 57509
1555, 6696, 21035, 29778, 57509
1561, 6637, 20988, 29884, 57509
1567, 6611, 20986, 29912, 57509
1573, 6613, 20909, 29987, 57509
1579, 6579, 19594, 31336, 57509
1585, 6573, 17808, 33128, 57509
1591, 6639, 15564, 35306, 57509
1597, 6657, 14354, 36498, 57509
1603, 6644, 12047, 38818, 57509
1609, 6640, 9763, 41106, 57509
1615, 6655, 6946, 43908, 57509
1621, 6671, 6091, 44747, 57509
1627, 6674, 4549, 46286, 57509
1633, 6667, 3319, 47523, 57509
1639, 6617, 2512, 48380, 57509
1645, 6595, 2020, 48894, 57509
1651, 6695, 1588, 49226, 57509
1657, 6743, 1290, 49476, 57509
1663, 6729, 1031, 49749, 57509
1669, 6790, 624, 50095, 57509
1675, 6769, 2154, 48586, 57509
1681, 6770, 5184, 45555, 57509
1687, 6774, 7573, 43162, 57509
1693, 6637, 10582, 40290, 57509
1699, 6691, 13380, 37438, 57509
1705, 6769, 15301, 35439, 57509
1711, 6784, 15544, 35181, 57509
