ts, default broker, CrocodileAgent, COLDPower18, VidyutVanika, AgentUDE, total
359, 57509, 0, 0, 0, 0, 57509
360, 57509, 0, 0, 0, 0, 57509
361, 9, 14610, 0, 41279, 1611, 57509
367, 9, 14604, 0, 41291, 1605, 57509
373, 9, 14597, 0, 41286, 1617, 57509
379, 9, 14595, 0, 41276, 1629, 57509
385, 12, 14593, 0, 41262, 1642, 57509
391, 12, 14591, 0, 41258, 1648, 57509
397, 11, 14592, 0, 41254, 1652, 57509
403, 11, 14595, 0, 42564, 339, 57509
409, 12, 14592, 0, 42677, 228, 57509
415, 11, 14593, 0, 42682, 223, 57509
421, 11, 14591, 0, 42685, 222, 57509
427, 13, 14588, 0, 42697, 211, 57509
433, 12, 8219, 0, 48766, 512, 57509
439, 11, 4671, 0, 51898, 929, 57509
445, 10, 3490, 0, 53767, 242, 57509
451, 11, 3018, 0, 54245, 235, 57509
457, 10, 2498, 0, 54678, 323, 57509
463, 9, 1881, 0, 55327, 292, 57509
469, 10, 1452, 0, 55755, 292, 57509
475, 8, 1193, 0, 56072, 236, 57509
481, 8, 1251, 0, 55898, 352, 57509
487, 10, 1062, 0, 56153, 284, 57509
493, 12, 1072, 0, 56183, 242, 57509
499, 9, 2170, 0, 55115, 215, 57509
505, 9, 3066, 0, 54233, 201, 57509
511, 9, 3917, 0, 53370, 213, 57509
517, 8, 4389, 0, 52930, 182, 57509
523, 7, 5337, 0, 51973, 192, 57509
529, 12, 6858, 0, 50508, 131, 57509
535, 11, 8674, 0, 48706, 118, 57509
541, 10, 9506, 0, 47891, 102, 57509
547, 9, 9501, 0, 47782, 217, 57509
553, 9, 9129, 0, 48132, 239, 57509
559, 12, 9140, 0, 48114, 243, 57509
565, 10, 8929, 0, 47877, 693, 57509
571, 12, 8716, 0, 48260, 521, 57509
577, 11, 8088, 0, 48611, 799, 57509
583, 13, 7328, 0, 49042, 1126, 57509
589, 13, 6829, 0, 49421, 1246, 57509
595, 12, 6031, 0, 50111, 1355, 57509
601, 13, 4971, 0, 50812, 1713, 57509
607, 12, 3571, 0, 52047, 1879, 57509
613, 10, 3081, 0, 53715, 703, 57509
619, 9, 2440, 0, 54544, 516, 57509
625, 9, 2009, 0, 54681, 810, 57509
631, 8, 1632, 0, 54980, 889, 57509
637, 8, 1273, 0, 55336, 892, 57509
643, 8, 1060, 0, 55530, 911, 57509
649, 8, 892, 0, 55583, 1026, 57509
655, 8, 947, 0, 56349, 205, 57509
661, 5, 993, 0, 56359, 152, 57509
667, 5, 1593, 0, 55637, 274, 57509
673, 6, 2998, 0, 54231, 274, 57509
679, 6, 3795, 0, 53339, 369, 57509
685, 6, 5039, 0, 52094, 370, 57509
691, 6, 6041, 0, 50968, 494, 57509
697, 10, 7356, 0, 50016, 127, 57509
703, 8, 8200, 0, 49172, 129, 57509
709, 8, 8726, 0, 48535, 240, 57509
715, 8, 8774, 0, 48483, 244, 57509
721, 9, 8762, 0, 48495, 243, 57509
727, 10, 8527, 0, 48231, 741, 57509
733, 11, 8574, 0, 46976, 1948, 57509
739, 11, 8310, 0, 48772, 416, 57509
745, 10, 7830, 0, 49117, 552, 57509
751, 8, 6885, 0, 49847, 769, 57509
757, 8, 5812, 0, 50870, 819, 57509
763, 8, 4813, 0, 51746, 942, 57509
769, 9, 4044, 0, 52486, 970, 57509
775, 9, 3060, 0, 53185, 1255, 57509
781, 9, 1682, 0, 55215, 603, 57509
787, 9, 1209, 0, 55422, 869, 57509
793, 8, 750, 0, 55644, 1107, 57509
799, 8, 570, 0, 55793, 1138, 57509
805, 10, 479, 0, 55885, 1135, 57509
811, 10, 420, 0, 55940, 1139, 57509
817, 8, 212, 0, 56071, 1218, 57509
823, 2, 213, 0, 56837, 457, 57509
829, 2, 180, 0, 56916, 411, 57509
835, 2, 1064, 0, 56065, 378, 57509
841, 2, 1784, 0, 55367, 356, 57509
847, 2, 2609, 0, 54435, 463, 57509
853, 1, 4017, 0, 53028, 463, 57509
859, 2, 5844, 0, 51207, 456, 57509
865, 2, 5816, 0, 51634, 57, 57509
871, 2, 5793, 0, 51709, 5, 57509
877, 2, 5793, 0, 51710, 4, 57509
883, 3, 5769, 0, 51732, 5, 57509
889, 4, 6121, 0, 49217, 2167, 57509
895, 5, 6090, 0, 48928, 2486, 57509
901, 12, 6190, 0, 48144, 3163, 57509
907, 2328, 5947, 0, 48587, 647, 57509
913, 2382, 5892, 0, 48698, 537, 57509
919, 2513, 5706, 0, 48654, 636, 57509
925, 2594, 4645, 0, 49646, 624, 57509
931, 2759, 3522, 0, 50594, 634, 57509
937, 3171, 2925, 0, 50477, 936, 57509
943, 3295, 1894, 0, 51380, 940, 57509
949, 3301, 1688, 0, 52109, 411, 57509
955, 3286, 1325, 0, 52616, 282, 57509
961, 3436, 913, 0, 52742, 418, 57509
967, 3467, 800, 0, 52825, 417, 57509
973, 3433, 753, 0, 52652, 671, 57509
979, 3344, 520, 0, 52954, 691, 57509
985, 3361, 684, 0, 52781, 683, 57509
991, 3413, 606, 0, 53235, 255, 57509
997, 3449, 1016, 0, 52788, 256, 57509
1003, 3488, 1594, 0, 52307, 120, 57509
1009, 3602, 2920, 0, 50802, 185, 57509
1015, 3567, 4028, 0, 49638, 276, 57509
1021, 3660, 5459, 0, 48117, 273, 57509
1027, 3597, 6865, 0, 46773, 274, 57509
1033, 3598, 7474, 0, 46399, 38, 57509
1039, 3510, 8547, 0, 45414, 38, 57509
1045, 3427, 9490, 0, 44583, 9, 57509
1051, 3524, 9512, 0, 44462, 11, 57509
1057, 3720, 9565, 0, 43876, 348, 57509
1063, 3832, 9767, 0, 43264, 646, 57509
1069, 3716, 9612, 0, 43128, 1053, 57509
1075, 3617, 9254, 0, 44482, 156, 57509
1081, 3668, 8892, 0, 44694, 255, 57509
1087, 3465, 8404, 0, 45384, 256, 57509
1093, 3422, 7404, 0, 46163, 520, 57509
1099, 3345, 6443, 0, 47116, 605, 57509
1105, 3296, 5545, 0, 48044, 624, 57509
1111, 3424, 4167, 0, 49178, 740, 57509
1117, 3423, 3004, 0, 50515, 567, 57509
1123, 3465, 2247, 0, 51247, 550, 57509
1129, 3497, 1983, 0, 51456, 573, 57509
1135, 3352, 1546, 0, 51827, 784, 57509
1141, 3478, 1112, 0, 51978, 941, 57509
1147, 3656, 673, 0, 52140, 1040, 57509
1153, 3434, 882, 0, 51887, 1306, 57509
1159, 3492, 846, 0, 53044, 127, 57509
1165, 3432, 921, 0, 53149, 7, 57509
1171, 3279, 1043, 0, 53181, 6, 57509
1177, 3378, 2096, 0, 52030, 5, 57509
1183, 3294, 3094, 0, 51115, 6, 57509
1189, 3275, 4134, 0, 50093, 7, 57509
1195, 3330, 4583, 0, 49579, 17, 57509
1201, 3363, 5846, 0, 48278, 22, 57509
1207, 3318, 6132, 0, 48037, 22, 57509
1213, 3456, 7028, 0, 46886, 139, 57509
1219, 3355, 6929, 0, 47080, 145, 57509
1225, 3420, 6807, 0, 46978, 304, 57509
1231, 3509, 6620, 0, 46493, 887, 57509
1237, 3538, 6611, 0, 45037, 2323, 57509
1243, 3250, 6522, 0, 46472, 1265, 57509
1249, 3273, 6062, 0, 46339, 1835, 57509
1255, 3508, 5389, 0, 46568, 2044, 57509
1261, 3584, 4493, 0, 47009, 2423, 57509
1267, 3492, 4087, 0, 47613, 2317, 57509
1273, 3500, 3251, 0, 47948, 2810, 57509
1279, 3445, 2981, 0, 48436, 2647, 57509
1285, 3482, 2127, 0, 51523, 377, 57509
1291, 3444, 1697, 0, 52234, 134, 57509
1297, 3407, 1225, 0, 52776, 101, 57509
1303, 3305, 1067, 0, 53035, 102, 57509
1309, 3287, 810, 0, 53310, 102, 57509
1315, 3423, 686, 0, 53206, 194, 57509
1321, 3364, 827, 0, 53124, 194, 57509
1327, 3434, 642, 0, 53417, 16, 57509
1333, 3402, 659, 0, 53442, 6, 57509
1339, 3323, 1299, 0, 52880, 7, 57509
1345, 3433, 2295, 0, 51775, 6, 57509
1351, 3308, 3557, 0, 50628, 16, 57509
1357, 3418, 4180, 0, 49904, 7, 57509
1363, 3410, 5075, 0, 49017, 7, 57509
1369, 3306, 5915, 0, 48280, 8, 57509
1375, 3410, 6532, 0, 47559, 8, 57509
1381, 3413, 6909, 0, 47179, 8, 57509
1387, 3496, 6915, 0, 47080, 18, 57509
1393, 3406, 6840, 0, 47245, 18, 57509
1399, 3397, 6780, 0, 47177, 155, 57509
1405, 3417, 6743, 0, 47193, 156, 57509
1411, 3279, 6501, 0, 47604, 125, 57509
1417, 3160, 6096, 0, 48159, 94, 57509
1423, 3353, 5944, 0, 48117, 95, 57509
1429, 3130, 5205, 0, 49079, 95, 57509
1435, 3195, 4614, 0, 49603, 97, 57509
