ts, default broker, VidyutVanika, Bunnie, total
359, 57509, 0, 0, 57509
360, 57509, 0, 0, 57509
361, 14, 7254, 50241, 57509
367, 9, 7252, 50248, 57509
373, 13, 7248, 50248, 57509
379, 13, 7250, 50246, 57509
385, 11, 7252, 50246, 57509
391, 12, 7251, 50246, 57509
397, 12, 7260, 50237, 57509
403, 11, 7272, 50226, 57509
409, 15, 7259, 50235, 57509
415, 12, 7260, 50237, 57509
421, 13, 7274, 50222, 57509
427, 11, 7264, 50234, 57509
433, 15, 7233, 50261, 57509
439, 12, 7174, 50323, 57509
445, 12, 7175, 50322, 57509
451, 13, 7324, 50172, 57509
457, 12, 7443, 50054, 57509
463, 14, 7709, 49786, 57509
469, 16, 8800, 48693, 57509
475, 15, 11102, 46392, 57509
481, 18, 13959, 43532, 57509
487, 16, 16308, 41185, 57509
493, 15, 18475, 39019, 57509
499, 14, 20994, 36501, 57509
505, 12, 21436, 36061, 57509
511, 15, 22438, 35056, 57509
517, 16, 22370, 35123, 57509
523, 15, 22296, 35198, 57509
529, 14, 22291, 35204, 57509
535, 15, 22258, 35236, 57509
541, 15, 22006, 35488, 57509
547, 14, 21556, 35939, 57509
553, 14, 20474, 37021, 57509
559, 16, 19331, 38162, 57509
565, 15, 17359, 40135, 57509
571, 19, 16126, 41364, 57509
577, 21, 13750, 43738, 57509
583, 18, 12778, 44713, 57509
589, 18, 11337, 46154, 57509
595, 15, 10634, 46860, 57509
601, 12, 10006, 47491, 57509
607, 12, 8853, 48644, 57509
613, 11, 8481, 49017, 57509
619, 10, 8467, 49032, 57509
625, 11, 8331, 49167, 57509
631, 12, 8069, 49428, 57509
637, 11, 9965, 47533, 57509
643, 13, 11374, 46122, 57509
649, 15, 13751, 43743, 57509
655, 14, 15985, 41510, 57509
661, 15, 18871, 38623, 57509
667, 16, 19818, 37675, 57509
673, 16, 21378, 36115, 57509
679, 17, 22139, 35353, 57509
685, 16, 22214, 35279, 57509
691, 15, 22103, 35391, 57509
697, 14, 21856, 35639, 57509
703, 15, 21672, 35822, 57509
709, 12, 20750, 36747, 57509
715, 11, 20366, 37132, 57509
721, 11, 18814, 38684, 57509
727, 12, 16882, 40615, 57509
733, 11, 15119, 42379, 57509
739, 10, 13128, 44371, 57509
745, 11, 11877, 45621, 57509
751, 10, 11017, 46482, 57509
757, 9, 10199, 47301, 57509
763, 7, 9759, 47743, 57509
769, 7, 9067, 48435, 57509
775, 6, 8720, 48783, 57509
781, 8, 8624, 48877, 57509
787, 12, 8252, 49245, 57509
793, 12, 7952, 49545, 57509
799, 12, 7920, 49577, 57509
805, 12, 10049, 47448, 57509
811, 16, 11701, 45792, 57509
817, 16, 13732, 43761, 57509
823, 16, 15202, 42291, 57509
829, 17, 17516, 39976, 57509
835, 14, 19347, 38148, 57509
841, 15, 21644, 35850, 57509
847, 14, 21939, 35556, 57509
853, 15, 21947, 35547, 57509
859, 16, 21862, 35631, 57509
865, 16, 21698, 35795, 57509
871, 16, 29904, 27589, 57509
877, 16, 33979, 23514, 57509
883, 18, 37131, 20360, 57509
889, 17, 41093, 16399, 57509
895, 17, 17176, 40316, 57509
901, 12, 20628, 36869, 57509
907, 15, 28750, 28744, 57509
913, 15, 33045, 24449, 57509
919, 17, 38775, 18717, 57509
925, 17, 45074, 12418, 57509
931, 18, 47645, 9846, 57509
937, 17, 48754, 8738, 57509
943, 16, 8409, 49084, 57509
949, 14, 10489, 47006, 57509
955, 15, 17938, 39556, 57509
961, 15, 22976, 34518, 57509
967, 14, 26671, 30824, 57509
973, 13, 35546, 21950, 57509
979, 15, 37981, 19513, 57509
985, 17, 41625, 15867, 57509
991, 17, 45072, 12420, 57509
997, 17, 47863, 9629, 57509
1003, 13, 49599, 7897, 57509
1009, 14, 48685, 8810, 57509
1015, 14, 49035, 8460, 57509
1021, 13, 50025, 7471, 57509
1027, 13, 50427, 7069, 57509
1033, 13, 51299, 6197, 57509
1039, 13, 51791, 5705, 57509
1045, 11, 52877, 4621, 57509
1051, 11, 53976, 3522, 57509
1057, 10, 53015, 4484, 57509
1063, 10, 10950, 46549, 57509
1069, 12, 11861, 45636, 57509
1075, 9, 21256, 36244, 57509
1081, 9, 30176, 27324, 57509
1087, 7, 33782, 23720, 57509
1093, 6, 39006, 18497, 57509
1099, 7, 42059, 15443, 57509
1105, 8, 41263, 16238, 57509
1111, 11, 8253, 49245, 57509
1117, 11, 10340, 47158, 57509
1123, 10, 21893, 35606, 57509
1129, 11, 27406, 30092, 57509
1135, 12, 31133, 26364, 57509
1141, 13, 35255, 22241, 57509
1147, 14, 40853, 16642, 57509
1153, 18, 43936, 13555, 57509
1159, 18, 44678, 12813, 57509
1165, 17, 47561, 9931, 57509
1171, 16, 50091, 7402, 57509
1177, 15, 50129, 7365, 57509
1183, 16, 50190, 7303, 57509
1189, 15, 51504, 5990, 57509
1195, 13, 52014, 5482, 57509
1201, 16, 11720, 45773, 57509
1207, 15, 11620, 45874, 57509
1213, 16, 11369, 46124, 57509
1219, 17, 11277, 46215, 57509
1225, 19, 11234, 46256, 57509
1231, 18, 10784, 46707, 57509
1237, 16, 10273, 47220, 57509
1243, 11, 9825, 47673, 57509
1249, 13, 9245, 48251, 57509
1255, 14, 8884, 48611, 57509
