ts, default broker, CrocodileAgent, SPOT, COLDPower18, EWIIS3, VidyutVanika, AgentUDE, Bunnie, total
359, 57516, 0, 0, 0, 0, 0, 0, 0, 57516
360, 57516, 0, 0, 0, 0, 0, 0, 0, 57516
361, 0, 2110, 1, 0, 61, 13201, 27606, 14537, 57516
367, 3, 2104, 1, 0, 37, 13199, 27624, 14548, 57516
373, 1, 2154, 1, 0, 30, 13200, 31390, 10740, 57516
379, 1, 2134, 1, 0, 21, 13232, 33018, 9109, 57516
385, 1, 2093, 2, 0, 28, 13228, 34427, 7737, 57516
391, 2, 2042, 3, 0, 57, 13227, 35385, 6800, 57516
397, 2, 2044, 4, 0, 58, 13226, 36191, 5991, 57516
403, 2, 1874, 5, 0, 176, 13288, 4585, 37586, 57516
409, 2, 1754, 5, 0, 167, 13287, 4693, 37608, 57516
415, 2, 1701, 5, 0, 237, 13289, 5133, 37149, 57516
421, 2, 1702, 5, 0, 226, 13288, 5631, 36662, 57516
427, 2, 1703, 4, 0, 223, 13495, 5937, 36152, 57516
433, 2, 1442, 3, 0, 178, 12096, 6368, 37427, 57516
439, 2, 1032, 2, 0, 230, 10527, 6436, 39287, 57516
445, 2, 692, 3, 0, 251, 9657, 822, 46089, 57516
451, 1, 542, 4, 0, 205, 9077, 953, 46734, 57516
457, 1, 372, 3, 0, 134, 8662, 1620, 46724, 57516
463, 0, 322, 3, 0, 119, 8221, 1659, 47192, 57516
469, 0, 142, 4, 0, 116, 8049, 1536, 47669, 57516
475, 0, 92, 5, 0, 92, 7888, 1598, 47841, 57516
481, 0, 52, 2, 0, 37, 7808, 1737, 47880, 57516
487, 0, 52, 2, 0, 37, 8085, 386, 48954, 57516
493, 0, 193, 2, 0, 34, 9565, 916, 46806, 57516
499, 0, 224, 1, 0, 37, 11665, 835, 44754, 57516
505, 0, 783, 0, 0, 32, 15112, 1101, 40488, 57516
511, 0, 1359, 0, 0, 33, 17939, 1356, 36829, 57516
517, 0, 2438, 0, 0, 33, 20661, 1734, 32650, 57516
523, 0, 2782, 0, 0, 31, 22832, 1779, 30092, 57516
529, 0, 3795, 0, 0, 32, 25182, 677, 27830, 57516
535, 0, 3962, 0, 0, 32, 25322, 728, 27472, 57516
541, 14, 3973, 1, 0, 33, 25270, 934, 27291, 57516
547, 10, 3941, 13, 0, 32, 25032, 1127, 27361, 57516
553, 10, 3916, 27, 0, 31, 24857, 1896, 26779, 57516
559, 9, 3908, 32, 0, 30, 24784, 1983, 26770, 57516
565, 5, 3850, 37, 0, 30, 24567, 1988, 27039, 57516
571, 3, 3624, 37, 0, 30, 23001, 836, 29985, 57516
577, 2, 3464, 38, 0, 30, 22169, 899, 30914, 57516
583, 2, 2982, 38, 0, 32, 19801, 864, 33797, 57516
589, 2, 2631, 32, 0, 29, 17457, 1062, 36303, 57516
595, 2, 2116, 28, 0, 29, 15673, 1376, 38292, 57516
601, 1, 1251, 23, 0, 31, 13090, 1357, 41763, 57516
607, 2, 891, 17, 0, 29, 11575, 1614, 43388, 57516
613, 2, 591, 13, 0, 30, 10616, 2262, 44002, 57516
619, 2, 393, 8, 0, 29, 9690, 2671, 44723, 57516
625, 2, 253, 5, 0, 29, 8912, 3099, 45216, 57516
631, 1, 184, 3, 0, 29, 8568, 3148, 45583, 57516
637, 1, 163, 3, 0, 30, 8434, 3854, 45031, 57516
643, 1, 103, 3, 0, 30, 8122, 4806, 44451, 57516
649, 2, 72, 1, 0, 30, 8133, 4123, 45155, 57516
655, 2, 72, 2, 0, 29, 8544, 830, 48037, 57516
661, 2, 186, 2, 0, 26, 10133, 827, 46340, 57516
667, 2, 782, 2, 0, 25, 14108, 1260, 41337, 57516
673, 2, 2460, 1, 0, 26, 17931, 1410, 35686, 57516
679, 2, 2810, 0, 0, 26, 20097, 1555, 33026, 57516
685, 1, 3060, 0, 0, 26, 20272, 1587, 32570, 57516
691, 1, 4298, 1, 0, 26, 22862, 1573, 28755, 57516
697, 2, 4888, 0, 0, 24, 24319, 681, 27602, 57516
703, 2, 5144, 0, 0, 24, 25126, 803, 26417, 57516
709, 2, 5143, 0, 0, 23, 24931, 828, 26589, 57516
715, 3, 5040, 0, 0, 23, 24775, 1295, 26380, 57516
721, 3, 5038, 0, 0, 22, 24654, 1470, 26329, 57516
727, 2, 5017, 0, 0, 25, 24330, 1383, 26759, 57516
733, 17, 4874, 0, 0, 24, 23762, 1779, 27060, 57516
739, 16, 4334, 15, 0, 25, 22355, 353, 30418, 57516
745, 5, 3623, 19, 0, 25, 19673, 504, 33667, 57516
751, 3, 3011, 20, 0, 26, 17550, 537, 36369, 57516
757, 4, 2809, 20, 0, 22, 16986, 422, 37253, 57516
763, 2, 2041, 21, 0, 20, 14231, 667, 40534, 57516
769, 2, 1560, 21, 0, 20, 12779, 709, 42425, 57516
775, 2, 870, 21, 0, 20, 11376, 693, 44534, 57516
781, 1, 619, 17, 0, 22, 10000, 305, 46552, 57516
787, 1, 478, 11, 0, 22, 9536, 578, 46890, 57516
793, 0, 369, 8, 0, 24, 9463, 530, 47122, 57516
799, 1, 289, 6, 0, 23, 8985, 486, 47726, 57516
805, 1, 230, 4, 0, 21, 8614, 460, 48186, 57516
811, 1, 139, 4, 0, 12, 8460, 414, 48486, 57516
817, 1, 118, 4, 0, 13, 8080, 339, 48961, 57516
823, 3, 1, 6, 0, 12, 8557, 283, 48654, 57516
829, 0, 289, 6, 0, 10, 15502, 1091, 40618, 57516
835, 0, 1802, 3, 0, 11, 23723, 1746, 30231, 57516
841, 1, 3963, 2, 0, 11, 32262, 2030, 19247, 57516
847, 1, 4930, 2, 0, 9, 35458, 2241, 14875, 57516
853, 2, 6042, 1, 0, 7, 38852, 2475, 10137, 57516
859, 1, 6685, 1, 0, 8, 40457, 2673, 7691, 57516
865, 2, 6981, 1, 0, 10, 43501, 68, 6953, 57516
871, 2, 7033, 1, 0, 11, 44143, 54, 6272, 57516
877, 1, 7032, 0, 0, 12, 44489, 83, 5899, 57516
883, 1, 7002, 0, 0, 13, 45186, 74, 5240, 57516
889, 1, 6942, 0, 0, 15, 44830, 106, 5622, 57516
895, 1, 6772, 1, 0, 14, 45503, 75, 5150, 57516
901, 1, 6502, 1, 0, 14, 45559, 33, 5406, 57516
907, 0, 5812, 2, 0, 14, 46037, 200, 5451, 57516
913, 0, 4950, 2, 0, 14, 44347, 505, 7698, 57516
919, 0, 3973, 41, 0, 15, 22682, 2417, 28388, 57516
925, 0, 3133, 40, 0, 15, 23783, 2361, 28184, 57516
931, 2, 2643, 40, 0, 13, 26222, 2455, 26141, 57516
937, 0, 2192, 41, 0, 14, 26983, 2472, 25814, 57516
943, 0, 1603, 40, 0, 15, 12613, 3533, 39712, 57516
949, 0, 1382, 40, 0, 16, 19045, 38, 36995, 57516
955, 1, 933, 40, 0, 15, 25014, 306, 31207, 57516
961, 1, 421, 40, 0, 15, 31862, 468, 24709, 57516
967, 1, 330, 32, 0, 14, 32130, 588, 24421, 57516
973, 0, 241, 34, 0, 12, 35672, 672, 20885, 57516
979, 0, 191, 3, 0, 11, 37591, 787, 18933, 57516
985, 1, 81, 5, 0, 10, 39233, 828, 17358, 57516
991, 0, 111, 3, 0, 14, 10068, 472, 46848, 57516
997, 0, 91, 2, 0, 15, 12664, 465, 44279, 57516
1003, 0, 121, 2, 0, 16, 18484, 390, 38503, 57516
1009, 0, 473, 2, 0, 17, 22351, 501, 34172, 57516
1015, 0, 1178, 2, 0, 13, 29191, 611, 26521, 57516
