ts, default broker, CrocodileAgent, AgentUDE, total
359, 57510, 0, 0, 57510
360, 57510, 0, 0, 57510
361, 6720, 50589, 201, 57510
367, 6652, 50684, 174, 57510
373, 6694, 50642, 174, 57510
379, 6823, 50515, 172, 57510
385, 6815, 50522, 173, 57510
391, 6909, 50430, 171, 57510
397, 6973, 50366, 171, 57510
403, 6975, 50478, 57, 57510
409, 6897, 50539, 74, 57510
415, 6882, 50544, 84, 57510
421, 6851, 50571, 88, 57510
427, 6751, 50647, 112, 57510
433, 6768, 46806, 3936, 57510
439, 6779, 28017, 22714, 57510
445, 6864, 19122, 31524, 57510
451, 6849, 12312, 38349, 57510
457, 6764, 9764, 40982, 57510
463, 6780, 7010, 43720, 57510
469, 6777, 5731, 45002, 57510
475, 6761, 4828, 45921, 57510
481, 6808, 3979, 46723, 57510
487, 6893, 5377, 45240, 57510
493, 6682, 5556, 45272, 57510
499, 6584, 5305, 45621, 57510
505, 6663, 5167, 45680, 57510
511, 6731, 5224, 45555, 57510
517, 6815, 7621, 43074, 57510
523, 6874, 11436, 39200, 57510
529, 6874, 48966, 1670, 57510
535, 6789, 49080, 1641, 57510
541, 6919, 48950, 1641, 57510
547, 6909, 48978, 1623, 57510
553, 6886, 49005, 1619, 57510
559, 6744, 49102, 1664, 57510
565, 6790, 48870, 1850, 57510
571, 6815, 48326, 2369, 57510
577, 6815, 47335, 3360, 57510
583, 6858, 46791, 3861, 57510
589, 6899, 45516, 5095, 57510
595, 6907, 44440, 6163, 57510
601, 6820, 29234, 21456, 57510
607, 6867, 22142, 28501, 57510
613, 6943, 16216, 34351, 57510
619, 6740, 11135, 39635, 57510
625, 6685, 9073, 41752, 57510
631, 6724, 5917, 44869, 57510
637, 6466, 5123, 45921, 57510
643, 6527, 3978, 47005, 57510
649, 6638, 3144, 47728, 57510
655, 6719, 9540, 41251, 57510
661, 6864, 9942, 40704, 57510
667, 6894, 9926, 40690, 57510
673, 6890, 9999, 40621, 57510
679, 6928, 10060, 40522, 57510
685, 6917, 12249, 38344, 57510
691, 6892, 15928, 34690, 57510
697, 6885, 48539, 2086, 57510
703, 6843, 50342, 325, 57510
709, 6697, 50706, 107, 57510
