ts, default broker, SPOT, COLDPower18, total
359, 57501, 0, 0, 57501
360, 57501, 0, 0, 57501
361, 7061, 50440, 0, 57501
367, 7059, 50442, 0, 57501
373, 7058, 50443, 0, 57501
379, 7059, 50442, 0, 57501
385, 7057, 50444, 0, 57501
391, 7058, 50443, 0, 57501
403, 7059, 50442, 0, 57501
409, 7060, 50441, 0, 57501
415, 7059, 50442, 0, 57501
421, 7059, 50442, 0, 57501
427, 7058, 50443, 0, 57501
433, 7058, 50443, 0, 57501
439, 7058, 50443, 0, 57501
445, 7058, 50443, 0, 57501
451, 7056, 50445, 0, 57501
457, 7054, 50447, 0, 57501
463, 7053, 50448, 0, 57501
469, 7053, 50448, 0, 57501
481, 7056, 50445, 0, 57501
487, 7057, 50444, 0, 57501
493, 7058, 50443, 0, 57501
499, 7060, 50441, 0, 57501
505, 7060, 50441, 0, 57501
517, 7060, 50441, 0, 57501
523, 7058, 50443, 0, 57501
529, 7058, 50443, 0, 57501
535, 7058, 50443, 0, 57501
541, 7059, 50442, 0, 57501
547, 7058, 50443, 0, 57501
553, 7060, 50441, 0, 57501
565, 7060, 50441, 0, 57501
571, 7060, 50441, 0, 57501
577, 7060, 50441, 0, 57501
583, 7059, 50442, 0, 57501
589, 7059, 50442, 0, 57501
595, 7058, 50443, 0, 57501
601, 7059, 50442, 0, 57501
607, 7060, 50441, 0, 57501
613, 7060, 50441, 0, 57501
619, 7060, 50441, 0, 57501
631, 7058, 50443, 0, 57501
637, 7059, 50442, 0, 57501
643, 7057, 50444, 0, 57501
649, 7057, 50444, 0, 57501
655, 7057, 50444, 0, 57501
661, 7056, 50445, 0, 57501
667, 7057, 50444, 0, 57501
673, 7057, 50444, 0, 57501
679, 7058, 50443, 0, 57501
685, 7059, 50442, 0, 57501
691, 7058, 50443, 0, 57501
697, 7059, 50442, 0, 57501
703, 7060, 50441, 0, 57501
709, 7059, 50442, 0, 57501
715, 7057, 50444, 0, 57501
721, 7058, 50443, 0, 57501
727, 7059, 50442, 0, 57501
733, 7059, 50442, 0, 57501
739, 7058, 50443, 0, 57501
745, 7059, 50442, 0, 57501
751, 7059, 50442, 0, 57501
757, 7059, 50442, 0, 57501
769, 7058, 50443, 0, 57501
775, 7058, 50443, 0, 57501
781, 7057, 50444, 0, 57501
787, 7059, 50442, 0, 57501
799, 7060, 50441, 0, 57501
805, 7061, 50440, 0, 57501
811, 7060, 50441, 0, 57501
817, 7058, 50443, 0, 57501
823, 7058, 50443, 0, 57501
829, 7059, 50442, 0, 57501
835, 7059, 50442, 0, 57501
841, 7059, 50442, 0, 57501
847, 7056, 50445, 0, 57501
853, 7056, 50445, 0, 57501
859, 7057, 50444, 0, 57501
865, 7057, 50444, 0, 57501
871, 7058, 50443, 0, 57501
877, 7058, 50443, 0, 57501
883, 7056, 50445, 0, 57501
889, 7058, 50443, 0, 57501
895, 7059, 50442, 0, 57501
901, 7058, 50443, 0, 57501
907, 7058, 50443, 0, 57501
913, 7059, 50442, 0, 57501
919, 7059, 50442, 0, 57501
925, 7058, 50443, 0, 57501
931, 7057, 50444, 0, 57501
937, 7059, 50442, 0, 57501
943, 7058, 50443, 0, 57501
949, 7059, 50442, 0, 57501
955, 7059, 50442, 0, 57501
961, 7060, 50441, 0, 57501
967, 7061, 50440, 0, 57501
973, 7062, 50439, 0, 57501
979, 7059, 50442, 0, 57501
985, 7059, 50442, 0, 57501
997, 7058, 50443, 0, 57501
1009, 7059, 50442, 0, 57501
1015, 7059, 50442, 0, 57501
1021, 7058, 50443, 0, 57501
1027, 7057, 50444, 0, 57501
1033, 7059, 50442, 0, 57501
1039, 7060, 50441, 0, 57501
1045, 7060, 50441, 0, 57501
1051, 7061, 50440, 0, 57501
1057, 7060, 50441, 0, 57501
1069, 7059, 50442, 0, 57501
1075, 7060, 50441, 0, 57501
1081, 7061, 50440, 0, 57501
1087, 7060, 50441, 0, 57501
1093, 7058, 50443, 0, 57501
1099, 7059, 50442, 0, 57501
1105, 7059, 50442, 0, 57501
1111, 7058, 50443, 0, 57501
1117, 7060, 50441, 0, 57501
1129, 7059, 50442, 0, 57501
1135, 7057, 50444, 0, 57501
1141, 7057, 50444, 0, 57501
1147, 7059, 50442, 0, 57501
1153, 7058, 50443, 0, 57501
1159, 7056, 50445, 0, 57501
1165, 7057, 50444, 0, 57501
1171, 7057, 50444, 0, 57501
1177, 7059, 50442, 0, 57501
1183, 7059, 50442, 0, 57501
1189, 7061, 50440, 0, 57501
