gameId;gameName;status;gameSize;gameLength;lastTick;weatherLocation;weatherDate;logUrl;AgentUDE;Bunnie;COLDPower18;CrocodileAgent;EWIIS3;SPOT;VidyutVanika
1198;PowerTAC_2018_Finals_26;game_complete;7;1361;1360;cheyenne;10.05.14;http://ts.powertac.org/log/PowerTAC_2018_Finals_26.tar.gz;308058.8577;883057.3116;38708.43168;285730.8381;-77402.50233;7009.557417;783078.4913
1199;PowerTAC_2018_Finals_27;game_complete;7;1338;1336;cheyenne;19.09.13;http://ts.powertac.org/log/PowerTAC_2018_Finals_27.tar.gz;259263.0035;-918579.1861;18508.38409;106596.5705;-242109.5193;-28062.59217;352620.4408
1200;PowerTAC_2018_Finals_28;game_complete;7;1491;1490;cheyenne;04.11.13;http://ts.powertac.org/log/PowerTAC_2018_Finals_28.tar.gz;835539.6696;-988771.2624;2867.06349;214224.5365;-579638.4446;-35595.99656;880407.9787
1201;PowerTAC_2018_Finals_29;game_complete;7;1403;1401;cheyenne;06.11.14;http://ts.powertac.org/log/PowerTAC_2018_Finals_29.tar.gz;854146.7894;-2272732.465;-53193.20766;548843.7893;-442226.7611;-34675.28617;826910.0792
1202;PowerTAC_2018_Finals_30;game_complete;7;1474;1473;cheyenne;17.11.13;http://ts.powertac.org/log/PowerTAC_2018_Finals_30.tar.gz;1324567.606;-1015610.63;-4932.283776;457180.7797;-86804.37931;15452.02454;-75525.73898
1203;PowerTAC_2018_Finals_31;game_complete;7;1324;1322;cheyenne;10.11.13;http://ts.powertac.org/log/PowerTAC_2018_Finals_31.tar.gz;752195.5065;127925.2063;-9725.381937;445032.2812;-875522.0261;3816.133583;1138043.279
1204;PowerTAC_2018_Finals_32;game_complete;7;1350;1348;cheyenne;05.10.14;http://ts.powertac.org/log/PowerTAC_2018_Finals_32.tar.gz;751423.0089;-1480222.095;-31531.5585;214611.3594;-627664.8864;-35815.32697;-1330888.124
1205;PowerTAC_2018_Finals_33;game_complete;7;1354;1353;cheyenne;05.10.13;http://ts.powertac.org/log/PowerTAC_2018_Finals_33.tar.gz;835119.4689;-389091.9855;9317.077579;120028.3097;-280105.9216;-1448.868623;-144597.27
1206;PowerTAC_2018_Finals_34;game_complete;7;1699;1698;cheyenne;05.04.14;http://ts.powertac.org/log/PowerTAC_2018_Finals_34.tar.gz;1887255.343;1383062.348;15228.51757;612980.6981;-1735338.978;-36293.97208;568126.3007
1207;PowerTAC_2018_Finals_35;game_complete;7;1346;1345;cheyenne;16.10.13;http://ts.powertac.org/log/PowerTAC_2018_Finals_35.tar.gz;573634.0133;-275347.2558;-52027.60014;353519.5508;-545897.2834;-76011.58407;513886.5244
1208;PowerTAC_2018_Finals_36;game_complete;7;1403;1402;cheyenne;27.04.13;http://ts.powertac.org/log/PowerTAC_2018_Finals_36.tar.gz;1009404.68;702837.9044;118140.5922;256529.337;-1324921.301;-73100.71422;345663.7595
1209;PowerTAC_2018_Finals_37;game_complete;7;1383;1382;cheyenne;11.10.14;http://ts.powertac.org/log/PowerTAC_2018_Finals_37.tar.gz;271199.5721;-1177997.857;-27136.3006;154355.291;-1130429.428;-60023.52978;-384744.7715
